iter	posterior	m_root	logX_root	sigma^2_m	sigma^2_logX	nu	omega	log.lik	m_anc_n29	m_anc_n30	m_anc_n31	m_anc_n32	m_anc_n33	m_anc_n34	m_anc_n35	m_anc_n36	m_anc_n37	m_anc_n38	m_anc_n39	m_anc_n40	m_anc_n41	m_anc_n42	m_anc_n43	m_anc_n44	m_anc_n45	m_anc_n46	m_anc_n47	m_anc_n48	m_anc_n49	m_anc_n50	m_anc_n51	m_anc_n52	m_anc_n53	logX_anc_n29	logX_anc_n30	logX_anc_n31	logX_anc_n32	logX_anc_n33	logX_anc_n34	logX_anc_n35	logX_anc_n36	logX_anc_n37	logX_anc_n38	logX_anc_n39	logX_anc_n40	logX_anc_n41	logX_anc_n42	logX_anc_n43	logX_anc_n44	logX_anc_n45	logX_anc_n46	logX_anc_n47	logX_anc_n48	logX_anc_n49	logX_anc_n50	logX_anc_n51	logX_anc_n52	logX_anc_n53	S_m1	S_m2	S_m3	S_m4	S_m5	S_m6	S_m7	S_m8	S_m9	S_m10	S_m11	S_m12	S_m13	S_m14	S_m15	S_m16	S_m17	S_m18	S_m19	S_m20	S_m21	S_m22	S_m23	S_m24	S_m25	S_m26	S_m27	S_m29	S_m30	S_m31	S_m32	S_m33	S_m34	S_m35	S_m36	S_m37	S_m38	S_m39	S_m40	S_m41	S_m42	S_m43	S_m44	S_m45	S_m46	S_m47	S_m48	S_m49	S_m50	S_m51	S_m52	S_m53	S_X1	S_X2	S_X3	S_X4	S_X5	S_X6	S_X7	S_X8	S_X9	S_X10	S_X11	S_X12	S_X13	S_X14	S_X15	S_X16	S_X17	S_X18	S_X19	S_X20	S_X21	S_X22	S_X23	S_X24	S_X25	S_X26	S_X27	S_X29	S_X30	S_X31	S_X32	S_X33	S_X34	S_X35	S_X36	S_X37	S_X38	S_X39	S_X40	S_X41	S_X42	S_X43	S_X44	S_X45	S_X46	S_X47	S_X48	S_X49	S_X50	S_X51	S_X52	S_X53	I_nu	I_omega	acc	update	temperature 
1000	-243.806360328504	-0.136320835918413	-1.41045528422879	0.284669407936744	0.756671634200029	0.963725799247622	0.0187720424402505	-96.9817915266596	-0.421571815618623	-0.482034065644934	-0.111335333315398	0.0138576891857328	-0.219885299450848	-0.0156836368348742	0.159415072760745	-0.101583125752578	-0.0735388607805438	-0.117190751786042	-0.0856279607816288	-0.244126149489042	0.608144411269322	0.569207291804502	1.05555037404862	0.0960669209822504	-0.489823691214263	-0.545834548788224	-0.431650115430254	-0.475873121879265	-0.202321096846292	-0.206601085642471	0.0217724826370568	-0.0245430112275468	-0.199839343334961	-2.08265058760551	-2.07410195881552	-1.01630639381859	-0.715297802911732	-1.38374356566116	-1.69202183164718	-0.688575795986539	-1.82372623527388	-1.70809612415178	-1.76826210839881	-1.79636873296529	-1.64039423400198	-0.0689912446884077	-0.0358428034201866	-0.130060514304401	-0.578666229044703	-1.48734864814881	-2.91600595454007	-1.67183563037626	-1.49962952359457	-2.17388810438698	-2.12855260947902	-0.956684461382454	-1.54616190023846	-2.26903363524039	1	1	1	-1	-1	1	1	1	-1	1	-1	-1	1	1	1	-1	1	-1	-1	-1	1	1	-1	1	1	-1	1	-1	1	1	1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1	1	-1	1	-1	-1	1	-1	-1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	-1	-1	1	-1	-1	1	1	1	-1	1	-1	1	-1	1	-1	1	-1	-1	-1	1	-1	-1	1	-1	-1	-1	-1	0	0	0.65	NA	1 
2000	-246.543808870672	-0.167213080118412	-1.40940176015748	0.355075876754709	0.5957444379339	0.980520548459608	0.0290937841823324	-100.625002466744	-0.420529414629169	-0.478431028180276	-0.0933108567893408	0.256420520007091	-0.197951737308252	0.0718920011696673	0.508697711342479	-0.083300821513666	-0.0479166293283257	-0.0609908943841238	-0.00397242233218077	-0.307223277655855	0.527367248827563	0.532907547939544	0.895741562568102	-0.116805710952511	-0.488148919798876	-0.544493052615486	-0.431150540691486	-0.422521480151714	-0.202074860034051	-0.207017334240641	0.00667761830058654	-0.000201430820694189	-0.195826365905067	-2.08903408431882	-2.07686684283611	-1.0014902948906	-0.694040063424173	-1.38222737699893	-1.69249930348098	-0.684881760173261	-1.82545334204049	-1.70925315319981	-1.76917638080313	-1.79721907427509	-1.64056189038737	-0.0656714576391147	-0.0339611488321141	-0.126900384069991	-0.574388247251229	-1.48737861920745	-2.9200576191498	-1.67558137313657	-1.49917822116478	-2.1841800403005	-2.13467765512708	-0.954935543821084	-1.54899240369113	-2.29779592777704	-1	-1	-1	1	1	1	-1	1	1	-1	1	1	-1	-1	1	-1	-1	1	-1	-1	-1	1	1	1	-1	1	1	1	-1	1	-1	-1	-1	-1	-1	1	1	1	-1	1	-1	1	1	1	-1	-1	-1	1	-1	1	1	-1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	1	1	1	-1	1	-1	1	-1	-1	-1	1	1	1	-1	1	1	1	1	-1	1	1	-1	-1	1	-1	1	1	1	-1	-1	1	1	1	1	-1	-1	-1	0	0	0.667	NA	1 
3000	-239.217319675664	-0.135928093920633	-1.41050979519689	0.279266725727357	0.765091511397623	0.965075286184437	0.0234051413601264	-92.368711562633	-0.417261220026539	-0.472525039803508	0.044578614201264	0.268492858998813	-0.193226293850552	0.097071507016359	0.124682139189899	-0.0953132107734253	-0.0923261851732328	-0.120290234617822	-0.0856283247644625	-0.307544127925108	0.550952583441958	0.55845331309434	0.929805514950184	0.0961253101642427	-0.489970272543468	-0.546330200425066	-0.444269257959701	-0.429030755782186	-0.203685296450704	-0.208034659839173	0.00665508847489394	-0.000214162358258475	-0.200159212429214	-2.08231912531978	-2.07395701368528	-1.01706062357528	-0.716380393088275	-1.38382194879216	-1.69199692704879	-0.688768510407587	-1.82363639209091	-1.70803586858899	-1.76821443249899	-1.79632438749886	-1.64038547523346	-0.0691645989655327	-0.0359411004979381	-0.130225378829099	-0.578888995738834	-1.48734712248345	-2.91579475664869	-1.67164479507889	-1.49965267001817	-2.17335680658629	-2.12823559350234	-0.956775864172332	-1.54602051384263	-2.26758745163862	-1	1	-1	1	-1	1	1	1	1	1	1	-1	-1	1	1	-1	-1	1	-1	-1	-1	-1	1	1	-1	1	1	-1	-1	1	1	-1	-1	1	1	1	1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	1	-1	1	1	-1	1	1	-1	1	-1	-1	-1	1	1	-1	1	1	-1	1	1	-1	1	-1	-1	-1	-1	1	-1	1	-1	1	1	1	1	1	1	-1	1	-1	1	1	-1	-1	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	1	-1	1	0	0	0.666666666666667	omega	1 
4000	-240.984906470734	-0.138887427193931	-1.41018148473691	0.299479427947663	0.714519381150604	0.969849633818957	0.0273989585996605	-94.4336193935687	-0.447797242193566	-0.505575023107502	-0.101932651235248	0.0278659367001705	-0.170120460806741	0.193369613767814	0.504500573560163	-0.10217271575398	-0.0758488777114413	-0.120265418634544	-0.085626963850536	-0.307458490712559	0.530058737427745	0.535682306948751	0.929640947188202	0.0959070564744262	-0.489426888815079	-0.544597746961136	-0.401332662513036	-0.427270863741243	-0.227751463354837	-0.244759175341883	0.0222633697829229	-0.00413075537344225	-0.242237929638473	-2.08431376281482	-2.07482720922638	-1.01249975726284	-0.709834577588802	-1.38334975639209	-1.69214662600411	-0.687610175640804	-1.82417679093453	-1.70839819979136	-1.76850102557179	-1.7965909554194	-1.64043810253328	-0.0681228766334639	-0.0353504723841431	-0.129234445531497	-0.577549414826977	-1.48735634900766	-2.91706444323962	-1.67279855357963	-1.49951295889234	-2.17655858072253	-2.13014480179105	-0.956226711883297	-1.54687946226185	-2.27635894725677	1	1	-1	1	-1	1	1	-1	1	1	-1	-1	-1	-1	-1	1	1	1	1	1	1	-1	-1	1	-1	1	1	-1	-1	-1	1	1	-1	1	-1	-1	-1	-1	1	1	-1	1	1	-1	-1	-1	1	1	1	-1	-1	-1	1	-1	1	-1	1	-1	1	1	1	-1	1	1	1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	1	1	-1	-1	-1	1	1	-1	-1	1	1	-1	-1	-1	1	-1	1	-1	1	-1	1	1	-1	1	-1	-1	1	1	1	0	0	0.6725	omega	1 
5000	-245.358345045174	-0.136430560277109	-1.40995492636843	0.235487282429822	0.679815275873989	0.97166375930421	0.0460346917272545	-99.7615552049364	-0.417372096985517	-0.473780154238231	0.0485854666406368	0.272845657431061	-0.193361846578721	0.0998032741667473	0.131429281501348	-0.095405583224673	-0.0923774732338453	-0.120338499075188	-0.0856312802141287	-0.307729837978366	0.561571961807898	0.569329113802891	1.0564216454523	0.0965998543939655	-0.490692831179153	-0.540153082229623	-0.452390353035549	-0.432905135641964	-0.194341642441167	-0.207479954855562	0.0226259575226812	0.000182339404686681	-0.202817844209609	-2.08568779254843	-2.07542379434481	-1.00932673976474	-0.70528154912168	-1.3830237675615	-1.69224951394456	-0.686814127157031	-1.82454870825088	-1.70864742572215	-1.76869802564367	-1.79677418354732	-1.64047424431645	-0.0674073094994068	-0.034944848282339	-0.128553448884459	-0.576627953380988	-1.48736276837697	-2.91793737497168	-1.67360090471131	-1.49941612221583	-2.17877060406549	-2.13146210390624	-0.955849650314989	-1.54748267605403	-2.28249878684583	-1	1	-1	1	-1	1	1	-1	1	1	1	-1	1	1	1	-1	1	1	-1	-1	-1	-1	1	-1	-1	1	1	-1	-1	1	1	-1	-1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	1	-1	1	1	1	-1	-1	1	-1	-1	1	1	-1	-1	1	-1	1	-1	-1	1	-1	1	1	1	-1	-1	-1	-1	-1	-1	1	-1	1	1	1	-1	1	-1	1	1	1	1	1	-1	-1	1	-1	1	1	-1	1	-1	-1	1	1	-1	-1	-1	1	0	0	0.6748	NA	1 
6000	-250.652435276459	-0.140317566020712	-1.40957436814137	0.231989520965144	0.621876973472535	0.945321759735233	0.0468798123928718	-105.663470038451	-0.453956339411557	-0.508730061642167	-0.111678824493438	0.0245876156789751	-0.194260822426658	0.0964174724945682	0.117634203292184	-0.0928251692905524	-0.0415789370697999	-0.0527610566462034	-0.00356529492125808	-0.307744688606656	0.539284830536336	0.54479663815476	1.02245893008208	-0.117048798556594	-0.513891917084751	-0.541180888743145	-0.481860657717338	-0.481172848761418	-0.239421264439303	-0.24615985227625	0.0217522714726777	-0.0247634849619117	-0.203035515213145	-2.08799124267891	-2.07641863943905	-1.00394922269696	-0.697566945296332	-1.38247594643147	-1.69242157643095	-0.685483013525539	-1.82517158911788	-1.709064568807	-1.76902751875393	-1.79708062976121	-1.64053463249844	-0.0662113913425712	-0.0342670843995257	-0.127414730454445	-0.575085570727049	-1.48737364638252	-2.91939771600243	-1.67496010708706	-1.49925267818552	-2.18249081873602	-2.13367441547207	-0.955219781259336	-1.54851560848405	-2.29297536418775	-1	-1	-1	1	1	1	1	1	1	-1	-1	1	1	-1	1	1	1	-1	1	-1	1	-1	1	-1	1	-1	-1	-1	-1	-1	1	1	-1	1	1	-1	1	-1	1	-1	-1	1	-1	-1	1	1	-1	1	-1	-1	-1	1	-1	1	1	-1	-1	1	-1	1	1	1	-1	-1	1	-1	1	-1	1	1	-1	-1	-1	1	1	1	1	-1	-1	1	1	1	-1	1	-1	-1	-1	1	1	1	-1	1	-1	1	-1	1	1	-1	-1	-1	-1	1	-1	-1	0	0	0.676166666666667	NA	1 
7000	-251.774712921265	-0.168385520703743	-1.40902485373977	0.314310650518164	0.538997188140637	0.945732847950421	0.079686653134413	-106.794357907751	-0.425506316656441	-0.479857828075852	-0.0935591941791892	0.258214265780891	-0.205877751175837	0.197376336815782	0.521141716103286	-0.105904411083999	-0.0899841340416009	-0.11716984198948	-0.0856259667112357	-0.244036217243992	0.556972825559595	0.564667366682591	1.01974551388026	-0.11688582268527	-0.489152985259038	-0.546234704376107	-0.465568571877515	-0.472952854681615	-0.236557774444925	-0.24426031751416	0.0210912760342889	-0.02899972400825	-0.241059565010713	-2.09130695421177	-2.07783891872199	-0.996077444373392	-0.686277848189715	-1.3816844041364	-1.69266834690585	-0.683574269819228	-1.82606691163983	-1.70966360368304	-1.76950016799529	-1.7975201914317	-1.64062112499714	-0.0644978546635645	-0.0332962974602588	-0.125781887586362	-0.572870459588468	-1.48738956132857	-2.92149326212455	-1.67694844274668	-1.49901493190493	-2.18787255502632	-2.13686786841526	-0.954318040805685	-1.55005193285595	-2.30847463677937	-1	1	1	-1	-1	-1	-1	1	1	-1	1	1	1	1	-1	1	1	-1	-1	1	1	-1	1	1	1	-1	1	1	1	1	-1	-1	1	1	-1	-1	1	1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	1	-1	-1	1	1	-1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	1	1	-1	1	1	1	1	-1	1	-1	-1	-1	1	1	-1	-1	1	1	1	-1	1	-1	1	-1	1	-1	-1	-1	-1	1	1	1	1	1	0	0	0.677285714285714	I_nu	1 
8000	-245.173533130146	-0.167839934380381	-1.40893115184468	0.340464868387208	0.524956362857483	0.924780226978472	0.0795544322277419	-100.100201171347	-0.424517942094464	-0.479456847505419	-0.101882276013773	0.258525084129513	-0.193398775944816	0.0924912388327079	0.110168864646945	-0.0902942571154203	-0.0735180372574462	-0.117146325016827	-0.0856242112649419	-0.243956948563	0.528237636131342	0.533491549909282	0.896575951394482	-0.116834379564548	-0.511379021918517	-0.543549256868543	-0.394602099953482	-0.423756863512985	-0.235601519310454	-0.243609357547807	0.0217325965850794	-0.00379081908268785	-0.239023777261109	-2.09187108132499	-2.07807916588517	-0.994722432849214	-0.684335039356508	-1.38154937675625	-1.69271022754279	-0.683250367749707	-1.82621909409769	-1.70976535870012	-1.76958039418446	-1.79759479823241	-1.64063579049292	-0.0642072345301112	-0.0331316877250597	-0.125504805365848	-0.572494167637184	-1.48739229925149	-2.92184904283557	-1.67729055304209	-1.49897418663344	-2.18879136527998	-2.13741226737829	-0.954165198972195	-1.55031931968662	-2.31116243686075	1	1	1	-1	-1	1	-1	1	1	-1	1	1	-1	-1	-1	1	1	1	-1	1	-1	-1	-1	1	-1	1	-1	1	1	1	-1	-1	-1	1	1	1	-1	1	-1	-1	-1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	1	-1	1	-1	1	1	1	-1	1	-1	1	1	1	-1	-1	1	-1	1	1	1	-1	-1	1	1	-1	1	1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	1	1	-1	1	-1	1	-1	-1	-1	1	1	-1	1	-1	0	0	0.67475	omega	1 
9000	-250.611801778478	-0.138200744114984	-1.40950339306331	0.299803194813431	0.56829263085965	0.902013919141608	0.0727221972425468	-105.49588986113	-0.442093545803648	-0.496093309065607	0.0438343475362065	0.2630842699946	-0.192661680536265	0.097484135901521	0.128052073572921	-0.0944660459386584	-0.0477910443459306	-0.0608945334069045	-0.00382912168103695	-0.307407130012819	0.557214141627295	0.565132632523452	1.02032522667075	-0.116891145042346	-0.489129015788275	-0.54425221424268	-0.399279240567191	-0.42622331917192	-0.237915589606043	-0.245788116417225	0.00592494113275436	-0.0288285393863544	-0.241272876597616	-2.08842019822142	-2.076603166702	-1.00293963912858	-0.696118829469786	-1.38237374368792	-1.69245356094014	-0.68523559444687	-1.8252875016209	-1.70914215994344	-1.7690887738421	-1.79713759853646	-1.64054585069749	-0.0659891866159976	-0.0341411748079155	-0.127203073844201	-0.574798666679269	-1.487375688245	-2.91966924856015	-1.67521520405045	-1.49922208656558	-2.18318527478457	-2.13408695497268	-0.955102795292239	-1.54871102961808	-2.29495229195951	-1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1	-1	1	-1	-1	1	1	1	-1	-1	1	-1	1	1	-1	-1	-1	1	-1	-1	1	1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	1	1	1	1	1	-1	-1	1	1	1	-1	1	-1	-1	-1	1	1	1	1	1	-1	-1	1	1	1	-1	-1	1	-1	-1	-1	1	1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	1	-1	1	1	-1	1	-1	-1	-1	-1	0	0	0.673444444444444	I_nu	1 
10000	-238.02314712361	-0.172145462919517	-1.40909594606867	0.259916950264014	0.549667835608124	0.911036904626525	0.0771144058858044	-93.4832353893094	-0.452664191700587	-0.507925861956373	-0.115485073949575	0.0160878349546625	-0.223336160058509	-0.0275403593542668	0.113375439486991	-0.0903194271396947	-0.0735451657016293	-0.117219377717707	-0.0856296297058509	-0.244201326520427	0.532201042092112	0.537112750373927	0.931820820739973	0.0963347428117239	-0.513446050973739	-0.546256156854283	-0.43605144619304	-0.478345554235681	-0.238360265222099	-0.245372982681411	0.0222756384543432	0.00037714532995891	-0.201319464979761	-2.09087869869988	-2.07765626337853	-0.997103013699874	-0.687748390327412	-1.38178684002093	-1.69263653327823	-0.683820322290945	-1.82595135500317	-1.70958632529343	-1.7694392280973	-1.79746351940849	-1.64060998206656	-0.0647186547738869	-0.0334213679295415	-0.125992373478444	-0.573156232147643	-1.4873874887103	-2.92122302820743	-1.67668947985532	-1.49904580570151	-2.18717566324889	-2.1364547999153	-0.954434182450576	-1.54985012966669	-2.30644421273113	1	1	1	-1	-1	1	-1	1	1	1	-1	-1	-1	-1	1	1	1	1	1	-1	-1	1	-1	1	1	-1	-1	1	-1	-1	1	1	-1	-1	1	1	-1	1	-1	-1	-1	1	1	-1	1	-1	1	1	-1	-1	-1	-1	-1	-1	1	-1	1	1	1	-1	1	1	-1	-1	-1	-1	1	1	1	-1	1	-1	1	-1	-1	1	-1	1	-1	-1	1	-1	-1	1	-1	1	-1	-1	1	1	-1	1	-1	1	1	1	1	-1	1	-1	1	-1	-1	1	0	0	0.6723	nu	1 
