iter	posterior	m_root	logX_root	sigma^2_m	sigma^2_logX	nu	omega	log.lik	m_anc_n29	m_anc_n30	m_anc_n31	m_anc_n32	m_anc_n33	m_anc_n34	m_anc_n35	m_anc_n36	m_anc_n37	m_anc_n38	m_anc_n39	m_anc_n40	m_anc_n41	m_anc_n42	m_anc_n43	m_anc_n44	m_anc_n45	m_anc_n46	m_anc_n47	m_anc_n48	m_anc_n49	m_anc_n50	m_anc_n51	m_anc_n52	m_anc_n53	logX_anc_n29	logX_anc_n30	logX_anc_n31	logX_anc_n32	logX_anc_n33	logX_anc_n34	logX_anc_n35	logX_anc_n36	logX_anc_n37	logX_anc_n38	logX_anc_n39	logX_anc_n40	logX_anc_n41	logX_anc_n42	logX_anc_n43	logX_anc_n44	logX_anc_n45	logX_anc_n46	logX_anc_n47	logX_anc_n48	logX_anc_n49	logX_anc_n50	logX_anc_n51	logX_anc_n52	logX_anc_n53	S_m1	S_m2	S_m3	S_m4	S_m5	S_m6	S_m7	S_m8	S_m9	S_m10	S_m11	S_m12	S_m13	S_m14	S_m15	S_m16	S_m17	S_m18	S_m19	S_m20	S_m21	S_m22	S_m23	S_m24	S_m25	S_m26	S_m27	S_m29	S_m30	S_m31	S_m32	S_m33	S_m34	S_m35	S_m36	S_m37	S_m38	S_m39	S_m40	S_m41	S_m42	S_m43	S_m44	S_m45	S_m46	S_m47	S_m48	S_m49	S_m50	S_m51	S_m52	S_m53	S_X1	S_X2	S_X3	S_X4	S_X5	S_X6	S_X7	S_X8	S_X9	S_X10	S_X11	S_X12	S_X13	S_X14	S_X15	S_X16	S_X17	S_X18	S_X19	S_X20	S_X21	S_X22	S_X23	S_X24	S_X25	S_X26	S_X27	S_X29	S_X30	S_X31	S_X32	S_X33	S_X34	S_X35	S_X36	S_X37	S_X38	S_X39	S_X40	S_X41	S_X42	S_X43	S_X44	S_X45	S_X46	S_X47	S_X48	S_X49	S_X50	S_X51	S_X52	S_X53	I_nu	I_omega	acc	update	temperature 
1000	-246.111122213866	-0.13950959290385	-1.40910310884506	0.265554339662194	0.550743787875399	0.976437425124459	0.00724984873086214	-101.494505187946	-0.449629016724399	-0.506289148128025	-0.0926203409905426	0.27421594255676	-0.170370224771484	0.194576128831098	0.50424527981703	-0.105989223942098	-0.0900269213193953	-0.11721417516363	-0.0856292493073006	-0.244184198692641	0.529430346584392	0.534147253081776	0.898108110451775	-0.116982153736589	-0.513360226095055	-0.547386772558625	-0.475107323070449	-0.477779716425947	-0.229818920892147	-0.246692698629167	0.00621087386749738	-0.0290050860723281	-0.245000971666524	-2.09083553879188	-2.07763784222127	-0.997206224223937	-0.687896385825368	-1.38179716025526	-1.69263332611361	-0.683845127473939	-1.82593970778226	-1.70957853561276	-1.76943308478036	-1.79745780630397	-1.64060885861001	-0.064740915653474	-0.0334339777824264	-0.126013593111729	-0.573185037883526	-1.48738728011112	-2.92119578690977	-1.6766634171194	-1.49904891442324	-2.18710545961276	-2.13641318060284	-0.954445892663824	-1.54982984810805	-2.30624006179389	-1	1	1	-1	-1	1	1	-1	1	-1	1	1	-1	-1	-1	1	-1	-1	1	1	1	-1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	1	1	-1	1	-1	1	1	1	1	-1	-1	1	1	-1	1	1	1	1	-1	1	-1	-1	1	1	-1	-1	1	1	1	-1	1	1	1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	-1	1	1	1	-1	1	1	-1	1	-1	1	-1	1	1	1	-1	-1	1	-1	1	-1	-1	-1	-1	1	0	0	0.65	NA	1 
2000	-239.579395132557	-0.17072751706793	-1.410472547351	0.278196491780691	0.759337133192457	0.9597992416122	0.0173749520117417	-92.7971120786431	-0.441449484786488	-0.498090510171114	0.0310716160285802	0.260173324631553	-0.222738362892528	-0.0271313007141976	0.114320960924231	-0.0861663389126994	-0.0169741183771657	-0.0418320658549302	-0.00371861646836414	-0.244145801920158	0.530090357960085	0.535650165684152	0.929873288903607	0.0961368811509858	-0.512709986810299	-0.539997724391576	-0.472425995820524	-0.4765166792473	-0.239149127071677	-0.24676680089754	0.00591056526115297	-0.0245253766924959	-0.200222786015524	-2.08254562864308	-2.07405607588875	-1.01654538169614	-0.715640831488385	-1.38376838963255	-1.69201394671766	-0.688636810041917	-1.82369778784766	-1.70807704590101	-1.76824701382131	-1.79635469286598	-1.64039146107777	-0.0690461274868601	-0.035873923184578	-0.130112710939561	-0.578736762154463	-1.48734816471399	-2.91593908673777	-1.67177516329699	-1.49963685602774	-2.17371983388776	-2.1284522142898	-0.956713398149503	-1.54611707188854	-2.26857520621801	1	-1	1	-1	1	1	-1	1	1	1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	1	1	-1	1	1	-1	-1	-1	-1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	1	-1	1	1	-1	-1	1	1	1	1	-1	-1	-1	1	-1	1	-1	1	1	1	1	-1	-1	1	1	-1	1	0	0	0.6495	nu	1 
3000	-253.114799727353	-0.169482637090253	-1.41012478172727	0.291912408093922	0.705818779417313	0.93312375294976	0.0349300810275599	-106.711461684161	-0.431896542425089	-0.497209386854268	0.0372401523340607	0.254936478833895	-0.233496863175717	0.0829487453640809	0.547232893068225	-0.0809300822057255	-0.0394504475222737	-0.0498131493614772	-0.00376401545560135	-0.244104164721901	0.584583214594745	0.543721007652433	1.02150032975084	-0.116930006408945	-0.489646168893649	-0.545631332623095	-0.430292508173712	-0.475155497602502	-0.194164594854162	-0.207906467491334	0.00671913251490921	-0.000142186946419409	-0.199413270773913	-2.08465784199268	-2.07497682350454	-1.01170759073103	-0.708697810656941	-1.38326817852933	-1.69217240858879	-0.68741068889074	-1.82426995094734	-1.70846063809402	-1.76855038973327	-1.79663686914508	-1.64044716147988	-0.0679435321517745	-0.0352488034067858	-0.129063789802067	-0.57731856548778	-1.48735795165243	-2.91728316897684	-1.67299889097875	-1.49948875526125	-2.17711201123201	-2.13047451170668	-0.956132195608091	-1.54702962449633	-2.27788890942234	-1	-1	1	-1	1	-1	-1	-1	-1	-1	1	1	1	-1	1	-1	-1	1	1	-1	-1	1	-1	1	1	-1	1	1	1	-1	1	-1	1	-1	-1	1	1	1	-1	1	1	1	-1	-1	-1	-1	1	-1	1	1	1	-1	-1	1	-1	1	-1	-1	1	1	-1	1	1	-1	1	-1	-1	1	1	1	-1	1	-1	1	1	1	1	-1	-1	-1	-1	1	-1	-1	1	-1	1	1	1	1	-1	-1	1	1	-1	1	1	-1	-1	1	-1	-1	-1	-1	0	0	0.654	NA	1 
4000	-251.486969944541	-0.136415808736329	-1.41032390013023	0.29218585003633	0.689665990369394	0.92144195486093	0.0484373664949089	-105.237097292801	-0.423190707105061	-0.480273131452533	-0.0872951088190555	0.26353891097015	-0.204161206438386	0.206802446126056	0.556484884125595	-0.0922755984258593	-0.0394497625597201	-0.0498129689262071	-0.00376492001250817	-0.244103334858473	0.605172340402373	0.566108390764624	1.02170790349501	-0.116929466290021	-0.489697928847016	-0.546885021993057	-0.469693968153484	-0.475128456916405	-0.203469211673987	-0.20792739260564	0.00589708452401738	-0.0246019174516701	-0.199397246821865	-2.08344902743474	-2.07445055469476	-1.0144835695204	-0.712681576322942	-1.38355461565997	-1.69208177672147	-0.688111948588916	-1.82394258499633	-1.70824119706833	-1.76837686869889	-1.7964754752444	-1.64041531060776	-0.0685740624955889	-0.035606264863403	-0.129663700969014	-0.578129881501479	-1.48735233561722	-2.91651435916744	-1.67229677848022	-1.49957365274298	-2.17516916162912	-2.12931665827287	-0.956464526400033	-1.54650467852061	-2.27253589229435	-1	-1	1	-1	1	-1	1	1	-1	-1	1	1	1	1	1	-1	-1	-1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	1	-1	-1	1	1	-1	-1	1	1	-1	1	1	-1	-1	1	-1	-1	-1	1	-1	1	1	1	-1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	-1	-1	-1	1	1	1	-1	1	-1	-1	-1	1	-1	-1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	0	0	0.6615	sig2_logX	1 
5000	-249.407049062906	-0.138966358111653	-1.41024498647373	0.303962737848051	0.724274987517856	0.91253895074362	0.0465402753348463	-102.714399748232	-0.449071781529154	-0.504803578369568	-0.0922171061040452	0.2553799511438	-0.227732991741677	0.10618431825565	0.162255726512104	-0.0861725802396183	-0.0170810450472716	-0.041898473992287	-0.00380385908225531	-0.244067601581586	0.604828318436678	0.565899747017938	1.02131856855844	-0.116906220674951	-0.488997419552136	-0.537328919753719	-0.400609001234776	-0.426882938074658	-0.238242570120456	-0.246151470583022	0.00575045986333577	-0.0285726220406947	-0.241879863063839	-2.08392828118906	-2.07465941822814	-1.01338534390418	-0.711105459403824	-1.38344110695571	-1.6921177268552	-0.687833780594444	-1.82407240037152	-1.70832822594704	-1.76844569584924	-1.79653949268949	-1.64042794679514	-0.068323924830602	-0.0354644500694809	-0.129425734212477	-0.577808122185937	-1.48735455738205	-2.91681929512098	-1.67257457081679	-1.49954003869855	-2.17593894884009	-2.12977554760297	-0.956332675764458	-1.54671193302667	-2.27465082777321	1	-1	1	-1	1	-1	1	1	-1	-1	1	1	1	1	-1	1	-1	-1	1	1	1	-1	-1	-1	-1	1	1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1	1	-1	1	-1	-1	1	-1	1	1	1	-1	-1	1	1	1	1	-1	1	-1	-1	1	1	1	-1	1	1	1	-1	-1	-1	-1	1	1	1	1	1	1	-1	-1	1	-1	-1	-1	-1	1	-1	1	-1	1	-1	-1	1	-1	-1	-1	1	-1	-1	1	1	-1	1	-1	1	1	-1	0	0	0.6604	NA	1 
6000	-245.353033534674	-0.171514396102775	-1.40871551904029	0.278867857498116	0.492745678848587	0.885842744926922	0.0449763699481264	-101.179153345331	-0.450015813402049	-0.515694987528143	-0.251617410036621	0.0162477335301315	-0.222924001200141	-0.0274024877640113	0.114687158583226	-0.103701585912945	-0.0818238971296334	-0.128242864516488	-0.0856283516429518	-0.307545818511137	0.54197116894244	0.547782304626586	1.05385409278516	0.0961296224111271	-0.512967718859218	-0.545776580893077	-0.43249909968366	-0.476449831756817	-0.193332423484185	-0.20708983551603	0.0220838009889217	0.000426951845138195	-0.200182897700489	-2.0931678603802	-2.0786298775978	-0.991589970182307	-0.67984422064776	-1.38123858564554	-1.69280638701441	-0.68250672277586	-1.82656876606873	-1.70999909017228	-1.76976460770643	-1.79776610514589	-1.64066944806364	-0.0635401725545731	-0.0327538999009074	-0.124868654397124	-0.571629799320315	-1.48739862636108	-2.92266607881993	-1.6780812625141	-1.49888019344125	-2.19090700842725	-2.13866490149033	-0.95381449289359	-1.55094076905146	-2.31739851912106	1	1	-1	1	-1	1	-1	-1	1	1	-1	-1	1	-1	1	-1	1	1	1	-1	1	1	-1	1	1	-1	-1	1	-1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	-1	1	-1	1	1	-1	1	1	1	1	-1	-1	-1	1	1	-1	-1	-1	1	-1	1	1	-1	-1	-1	-1	-1	-1	1	1	1	1	-1	1	1	1	1	-1	-1	-1	-1	-1	1	1	1	-1	1	1	1	-1	1	-1	-1	1	1	-1	1	-1	-1	1	1	1	-1	-1	0	0	0.657	omega	1 
7000	-242.284441313246	-0.172485462718089	-1.40996517708435	0.205220383116975	0.681382057443262	0.909515325005632	0.05859545892803	-96.9758518607709	-0.44609089191873	-0.510223056007943	-0.119443450024278	0.0139453357542594	-0.231879244089285	0.098085870636849	0.122327401414679	-0.0999959536707157	-0.0675792954523789	-0.109310835500388	-0.0856333297235614	-0.24436769901647	0.549616692610442	0.55598665030846	0.898569516871939	-0.117102143509789	-0.514468394801598	-0.539566900877777	-0.417363842236873	-0.435634955609709	-0.205883921089988	-0.209401687318907	0.00711849281957583	0.000314829275791421	-0.204728181991375	-2.08562566734175	-2.07539687104055	-1.00947075980192	-0.705488190133509	-1.38303851946142	-1.69224486606094	-0.68685008669925	-1.82453189835987	-1.70863616369635	-1.76868912588551	-1.79676590607791	-1.6404726121479	-0.0674396275136358	-0.0349631665141931	-0.12858421112301	-0.576669593181613	-1.48736247701251	-2.91789793603861	-1.67356449249865	-1.4994205111444	-2.17867047566746	-2.13140250578572	-0.955866677120771	-1.54745519621693	-2.28221943539884	1	1	1	-1	-1	-1	-1	1	1	-1	-1	1	-1	1	1	-1	-1	1	1	-1	1	-1	-1	-1	-1	1	-1	1	1	-1	1	1	1	1	1	-1	-1	-1	1	-1	-1	-1	1	-1	1	1	1	-1	-1	1	1	-1	1	1	1	-1	-1	1	1	-1	1	-1	1	1	1	1	1	1	1	-1	1	-1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	1	-1	-1	-1	-1	-1	1	1	-1	-1	1	1	-1	-1	1	0	0	0.662142857142857	sig2_m	1 
8000	-246.121991637604	-0.169503513843938	-1.40944708047299	0.283470250633545	0.602597038657405	0.891246610460804	0.0421828083647416	-100.815057183674	-0.431027791156546	-0.489576814934968	-0.232243918491101	0.0304658110596207	-0.167603397359317	0.205116861061124	0.548056831164002	-0.0860823548426344	-0.0169881445329027	-0.0418413923065213	-0.00373607842092526	-0.244129789888445	0.5875544103689	0.547201400667524	1.05450104220424	0.0960798775379624	-0.489540404337555	-0.539113177312726	-0.443640551480885	-0.428663276112727	-0.204013455702216	-0.20826245903485	0.00617254489216451	-0.024893971766795	-0.199910187976506	-2.08876039141111	-2.07674934522113	-1.00213712339826	-0.694967778131586	-1.38229264756799	-1.69247891428905	-0.6850394759252	-1.82537941068839	-1.7092036754224	-1.76913733058221	-1.79718275714278	-1.64055474146592	-0.0658130733373179	-0.034041386978222	-0.12703530293372	-0.574571202010103	-1.48737731119459	-2.91988450188278	-1.67541796184043	-1.49919779038041	-2.18373640383105	-2.1344142545377	-0.955010086037379	-1.54886670810405	-2.29652602539833	1	-1	1	-1	1	1	-1	1	-1	1	-1	-1	1	-1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	1	1	1	-1	1	-1	1	-1	1	-1	-1	-1	-1	1	1	1	1	-1	1	-1	1	-1	1	-1	1	1	1	1	1	1	-1	-1	1	-1	1	1	1	1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	1	-1	1	1	-1	-1	1	-1	1	-1	-1	1	1	-1	1	1	-1	-1	1	1	1	-1	1	1	1	0	0	0.659375	I_nu	1 
9000	-245.92233092607	-0.173992787941007	-1.40911737378656	0.201795515688136	0.596380629995838	0.910848784437404	0.0468620369397104	-101.47249566612	-0.460228542980869	-0.517786613372986	-0.237773914316242	0.0249245419533996	-0.199909650864239	0.0752290475218705	0.5114576042144	-0.0909854597419857	-0.0758985846176679	-0.120373946621524	-0.0856335619602849	-0.307872966880138	0.530616453381536	0.534826415669818	0.899557052325974	-0.117108980937293	-0.491444518440487	-0.539731622271716	-0.417866173201909	-0.435946542462985	-0.23075984787957	-0.246740948459734	0.0216249997162651	-0.0290730909640249	-0.250463770939535	-2.09074957776728	-2.07760114594941	-0.99741170717532	-0.688191033910572	-1.38181771311743	-1.6926269379191	-0.683894535912198	-1.82591650943246	-1.70956302018353	-1.76942084826065	-1.79744642668343	-1.64060662078291	-0.0647852569897667	-0.0334590954796845	-0.126055859644019	-0.573242412825076	-1.48738686480005	-2.92114152698785	-1.67661152776592	-1.49905510451901	-2.18696565209402	-2.13633029342677	-0.954469218673389	-1.54978948422489	-2.30583371633373	1	1	-1	1	-1	1	-1	-1	1	-1	-1	1	-1	-1	-1	1	1	-1	1	1	-1	1	-1	-1	-1	1	1	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	1	1	-1	1	1	1	-1	1	1	1	1	-1	-1	1	-1	1	1	-1	-1	-1	1	-1	-1	1	1	-1	1	-1	1	-1	-1	1	1	-1	1	1	-1	1	-1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	1	-1	1	-1	1	1	-1	1	-1	-1	1	1	1	1	1	-1	0	0	0.662222222222222	sig2_logX	1 
10000	-239.308515861993	-0.138763540346201	-1.409693996852	0.301392982681282	0.685322702210397	0.907918911466841	0.0240752253448591	-93.0308577462236	-0.445284036658024	-0.505751400085309	-0.0985554707986151	0.247472938042822	-0.258267568577003	-0.0214486640078721	0.137538281410494	-0.10599937829523	-0.0900009904536554	-0.11718976136406	-0.0856276429195699	-0.244111821914354	0.577566795170822	0.5362411191695	0.930423819496123	0.0960159400564335	-0.489382746445516	-0.538579767952512	-0.430698518768547	-0.475405166681301	-0.229180520929932	-0.246255219511671	0.00673379603469499	-0.00393630873622413	-0.243049750371062	-2.08726777554975	-2.07610689493333	-1.00564612491019	-0.700001097273481	-1.3826481865858	-1.69236759135518	-0.685900634537114	-1.82497603560062	-1.70893364125648	-1.76892413352349	-1.79698447766113	-1.64051569266192	-0.066586513232639	-0.0344796573534696	-0.127771988469229	-0.575569685338265	-1.4873702140974	-2.91893946052359	-1.67453128368656	-1.49930416293917	-2.1813207535648	-2.13297903304991	-0.955417307808876	-1.54818821358541	-2.28965972777384	-1	1	1	-1	-1	-1	1	-1	-1	1	1	-1	-1	-1	-1	1	-1	1	1	1	1	1	-1	-1	1	-1	1	-1	1	-1	-1	-1	1	-1	1	-1	1	1	-1	-1	1	1	1	1	-1	1	1	-1	1	-1	1	-1	1	1	1	-1	-1	1	1	-1	1	1	1	-1	1	1	-1	1	-1	1	1	1	1	-1	1	-1	-1	1	-1	-1	1	-1	-1	-1	-1	1	1	-1	-1	-1	1	-1	-1	-1	-1	1	1	1	-1	-1	1	-1	1	-1	0	0	0.6607	I_omega	1 
