iter	posterior	m_root	logX_root	sigma^2_m	sigma^2_logX	nu	omega	log.lik	m_anc_n30	m_anc_n31	m_anc_n32	m_anc_n33	m_anc_n34	m_anc_n35	m_anc_n36	m_anc_n37	m_anc_n38	m_anc_n39	m_anc_n40	m_anc_n41	m_anc_n42	m_anc_n43	m_anc_n44	m_anc_n45	m_anc_n46	m_anc_n47	m_anc_n48	m_anc_n49	m_anc_n50	m_anc_n51	m_anc_n52	m_anc_n53	m_anc_n54	m_anc_n55	logX_anc_n30	logX_anc_n31	logX_anc_n32	logX_anc_n33	logX_anc_n34	logX_anc_n35	logX_anc_n36	logX_anc_n37	logX_anc_n38	logX_anc_n39	logX_anc_n40	logX_anc_n41	logX_anc_n42	logX_anc_n43	logX_anc_n44	logX_anc_n45	logX_anc_n46	logX_anc_n47	logX_anc_n48	logX_anc_n49	logX_anc_n50	logX_anc_n51	logX_anc_n52	logX_anc_n53	logX_anc_n54	logX_anc_n55	S_m1	S_m2	S_m3	S_m4	S_m5	S_m6	S_m7	S_m8	S_m9	S_m10	S_m11	S_m12	S_m13	S_m14	S_m15	S_m16	S_m17	S_m18	S_m19	S_m20	S_m21	S_m22	S_m23	S_m24	S_m25	S_m26	S_m27	S_m28	S_m30	S_m31	S_m32	S_m33	S_m34	S_m35	S_m36	S_m37	S_m38	S_m39	S_m40	S_m41	S_m42	S_m43	S_m44	S_m45	S_m46	S_m47	S_m48	S_m49	S_m50	S_m51	S_m52	S_m53	S_m54	S_m55	S_X1	S_X2	S_X3	S_X4	S_X5	S_X6	S_X7	S_X8	S_X9	S_X10	S_X11	S_X12	S_X13	S_X14	S_X15	S_X16	S_X17	S_X18	S_X19	S_X20	S_X21	S_X22	S_X23	S_X24	S_X25	S_X26	S_X27	S_X28	S_X30	S_X31	S_X32	S_X33	S_X34	S_X35	S_X36	S_X37	S_X38	S_X39	S_X40	S_X41	S_X42	S_X43	S_X44	S_X45	S_X46	S_X47	S_X48	S_X49	S_X50	S_X51	S_X52	S_X53	S_X54	S_X55	I_nu	I_omega	acc	update	temperature 
100	-304.995392817745	0.421200149872019	-1.39484622506085	0.285701428796165	0.974050285904668	0.978583796215244	0.00848825850058347	-169.342823543091	0.476374037541871	0.0983268420615432	-0.62577245917983	0.282458018731082	0.776536302069264	0.762004720834625	0.289306482832757	0.472672165445666	0.164129814968317	0.199799024119903	-0.222021535217446	-0.162587238734989	-0.391014155789016	0.254276432419133	0.563586907736198	0.747619717331849	0.435344204496329	-0.391300002163697	-0.683764237052335	-0.157803635650848	-0.882345557712828	0.0530237866593721	-0.120597313667766	-0.061864066041122	0.555335886992545	-0.462340702718695	-3.25205952001931	-2.84661243007181	-1.38638341804829	-2.68317477829922	-2.59039235823213	-1.62942281263687	-2.54521737739046	-1.58827807320876	-1.40209887577785	-2.54615683985747	-2.46203460673202	-2.09191990391137	-2.41782263322376	-1.06400479784665	-0.840784082617493	-1.42463752868828	-2.91657044256741	-0.504951254590874	-3.05040149634686	-1.09460312694065	-0.913273956133735	-3.65638819165284	-3.40918565885764	-1.65822492926331	0.183378551590978	-2.47202179372156	1	1	-1	1	-1	-1	1	-1	1	1	-1	-1	-1	1	1	-1	-1	-1	1	1	-1	-1	-1	1	-1	-1	1	-1	-1	-1	-1	1	-1	1	1	1	1	1	-1	-1	1	-1	-1	-1	1	-1	1	1	-1	1	1	1	1	1	1	-1	-1	1	1	-1	-1	1	-1	-1	1	1	1	1	-1	-1	-1	1	1	1	1	-1	-1	-1	1	-1	1	1	1	-1	-1	-1	-1	-1	1	1	-1	1	-1	-1	1	1	1	-1	-1	1	-1	-1	1	1	-1	1	1	-1	0	0	0.71	NA	1 
200	-296.843626621824	0.479781319522205	-0.67566974361258	0.306627848697826	1.05797713972162	0.978099144920707	0.0109104445041157	-160.424335258331	-0.250219773740783	-0.60081832516922	0.229316653029291	0.0910486082270161	0.619436004229357	0.168448473486265	0.0923484023023019	0.202728245768555	-0.0948437569860032	-0.383007971004974	-0.0754790819856923	-0.0453202633790056	-0.240935200335359	0.500330628305028	0.491000999627722	0.318418507999724	-0.0238994463948842	-0.0978119473647611	-0.118892904520486	-0.183320445138842	-0.0634264576469911	-0.355432083259524	-0.193066986705332	0.10879902262454	-0.159490515782528	-0.362712780542965	-1.76825521860076	-2.05024460560614	-1.4457453282752	-2.69625812611976	-1.69667429030465	-3.08788545116865	-1.08435209280967	-0.983002643093659	-0.548722303636473	-1.92992069341811	-2.56048662746208	-2.37261362675446	-2.05805608218793	-1.02537047054889	-1.20178077317927	-1.89073860088196	-2.06576665278817	-1.26981655680425	-3.43947869924264	0.441478056959913	-0.1735732752697	-2.42195108509187	-3.74215880491147	-1.39746682808005	-1.26364942927771	-3.55380558260234	1	-1	-1	1	1	-1	1	1	-1	-1	-1	1	-1	1	1	-1	1	1	-1	1	-1	1	1	1	1	-1	1	-1	-1	-1	1	-1	-1	1	1	-1	-1	-1	-1	-1	1	1	1	-1	1	1	1	-1	-1	1	-1	1	-1	-1	-1	1	1	-1	-1	-1	1	-1	1	1	1	-1	-1	1	1	1	1	1	1	-1	-1	-1	-1	1	1	-1	1	1	-1	1	-1	1	1	-1	1	1	-1	1	1	1	-1	1	-1	-1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	0	0	0.645	NA	1 
300	-356.639495056984	-0.272961995277155	0.382970145479929	0.348604995035566	1.11732066260185	0.97998143882025	0.0109104445041157	-215.351548993153	-0.0282729825597567	0.232904763117881	0.507579568677339	-0.0391495296537502	0.089065326875123	0.593402904233189	0.0267317957991965	-0.0103685727500187	-0.418208693232145	0.234849040043412	-0.0159363945900546	0.217855078249631	0.0549361593751901	0.346918026355685	0.11124219527555	0.60552166600608	0.0525979229974229	-0.0724810040951503	0.2415461781471	1.34254285940835	-1.10863351664096	0.434139913017581	0.392684434597144	0.380432447755606	0.914475743554092	1.80738687891893	-1.03666760107732	-1.85051682598741	-0.167115199611219	-2.3572577083499	0.491153055162013	-1.04686692929828	-1.06791294228286	0.758430006501544	0.0932772094090223	0.330307234949794	-0.107800887191972	-1.16659792143586	-1.21530823184895	0.465609896189737	0.214187659901006	-1.42438840475418	-1.76643846564401	0.449896153284802	-2.53247500185628	-0.574393315022198	0.370991946655386	-0.630828080737876	-1.08638406663156	-0.0152040492535389	-0.502943591719334	1.44729537727765	1	-1	-1	1	1	-1	1	1	1	1	1	-1	1	1	1	1	1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	-1	1	1	-1	-1	-1	1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	1	-1	-1	-1	-1	-1	1	1	1	1	-1	-1	1	-1	-1	-1	1	1	-1	-1	1	1	-1	-1	-1	1	1	-1	-1	1	1	1	-1	1	-1	1	-1	-1	1	-1	-1	-1	-1	1	1	-1	1	-1	-1	1	-1	1	-1	1	-1	-1	1	1	1	1	1	0	1	0.65	NA	1 
400	-324.679266301255	-0.0135859815457233	-1.14982079457911	0.344317536754534	1.35182095428929	0.977005310032982	0.0130178914917633	-184.62471211819	-0.645280860250888	-0.294364074109335	0.154031779964822	0.140701283084916	0.420633241712553	0.114672448215347	-0.466029905331522	0.298305283527909	0.369490480068521	0.260825914844864	0.40298419008799	0.524025089588066	-0.261502066813204	0.695560301709095	0.583189620428208	0.595247632062453	-0.241857200412844	-0.0957553014333433	-0.446084654752566	0.926712542276031	-0.418385171766946	-0.769050054197643	-0.697969500803161	0.114366987289487	0.326063553923547	1.00433651517463	-2.1388369542013	-2.3997895218456	-2.14150567312814	-4.19151482711149	-1.87606224122558	-1.46976634425971	-3.64751083659787	0.018112569358798	-1.23647418100607	-1.63848013531647	-0.918727757458669	-0.851371528204009	-2.30332951410698	-0.827029950514481	-0.657661032925909	-1.53699530948791	-3.20413185014221	-0.293790374040149	-2.71901852101228	-1.7328749086213	-1.81876543473587	-1.3456880492088	-1.78648882546454	-1.50258480051433	-1.22730087670693	-3.79917788350878	-1	-1	-1	1	1	-1	1	-1	-1	1	-1	-1	-1	1	-1	1	1	-1	1	-1	1	1	1	1	1	1	-1	-1	-1	1	-1	-1	1	1	1	-1	1	-1	1	-1	1	-1	1	-1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	1	-1	1	-1	1	-1	-1	1	1	1	-1	-1	1	-1	-1	-1	1	1	-1	1	1	1	1	1	-1	1	1	1	1	-1	1	1	-1	-1	-1	-1	-1	1	1	-1	1	-1	-1	1	-1	-1	-1	-1	-1	1	1	1	-1	0	0	0.6575	I_nu	1 
500	-336.013659948607	0.654828605791856	0.0405843732222627	0.645072742225602	1.38770758449566	0.982111608420965	0.0147779082879424	-192.375232124273	0.437331131027003	-0.0606213348636151	0.292107055485436	1.04099542238042	0.626319617837795	0.869965182573677	0.690333889652231	0.173453430305327	0.226217385483011	-0.635624053842226	-0.638541024895361	-0.653929704479578	-0.111553713479701	0.0827185435611132	-0.0940541585674054	0.403398434791938	0.249922467526933	0.144400890471946	-0.0109483743417938	-0.909897576635964	-0.653758618980777	0.503066439026251	0.0837772582725266	0.171857272357127	-0.867231782177727	1.08445715783712	-3.50445919693556	-3.29638422274715	-0.912855484550049	-2.81231947125826	-0.3656526338388	-0.902523918930912	-1.54104274714815	-1.9784703193886	-1.7252939662631	-0.767614972237312	-1.34840375959468	-1.12650558586255	-1.810578876856	-1.29670303958092	-0.992573739984322	-1.81930358419257	-1.83141862887473	-0.444350765000036	-1.82307569832313	0.381536290968595	-2.57838322759026	-2.76747456160928	-3.48102331957954	-1.47736098814906	0.361706267286784	-4.45879614028976	1	1	1	-1	-1	1	-1	1	1	1	1	-1	-1	1	-1	-1	1	1	1	1	1	1	1	-1	-1	-1	1	1	1	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	1	1	-1	-1	1	-1	-1	1	-1	-1	1	1	-1	-1	-1	-1	-1	1	1	-1	-1	1	-1	1	-1	-1	-1	-1	1	-1	-1	1	1	-1	-1	1	-1	1	1	1	-1	1	1	-1	-1	-1	1	-1	1	1	1	1	-1	1	-1	1	1	1	1	-1	1	0	0	0.658	omega	1 
600	-364.997589728948	-0.0580017705293612	-1.23171362785475	0.860634643211961	1.35867478712928	0.985024925433099	0.00921628492418677	-219.623108030807	-0.964014701541396	-0.0456183080185217	0.619873303129091	1.11833521064884	1.3845268896679	0.266510170387939	0.0112823523583023	0.177141097366723	-0.763102972094731	0.0284289642478238	-0.0596355045451682	0.195893945018665	-0.685323702041866	0.609338595524092	0.455100272746711	-0.12782045015443	-0.180492174294074	0.297493805074855	0.431305557448128	-0.303312943504956	-0.896794392987403	-0.0280113793813677	0.110492912098081	0.0909539843081936	-0.0954521670906089	0.780160341348321	-1.63052036025853	-0.937807123783786	-1.9446669960266	-3.86375304193634	-1.40084068044673	-1.07743343270479	-1.98150250467068	-0.881018483981237	-1.49795031126626	-1.00260679430569	-1.53603145421375	-1.46118803194586	-1.35473076119832	-1.20606807273761	-0.738957051869028	-1.71590755087802	-2.38636124176066	-1.13713944643811	-4.06119496841423	0.540429374552085	-2.28597286016236	-2.85785183089991	-3.66601715091444	-1.41147124963101	-1.10519559178675	-3.4233112476393	-1	1	-1	1	-1	1	1	-1	-1	1	-1	-1	1	1	1	1	1	-1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	-1	1	1	-1	1	-1	1	1	-1	1	1	-1	-1	1	-1	-1	-1	-1	1	-1	1	1	-1	-1	1	1	1	-1	1	-1	-1	1	-1	1	1	-1	-1	-1	1	-1	1	1	1	-1	-1	1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	1	1	-1	1	1	-1	1	-1	-1	-1	-1	1	1	-1	1	1	1	1	-1	-1	-1	0	0	0.661666666666667	I_nu	1 
700	-318.585162055093	1.20990739409027	-0.0651257335649242	0.803980461601168	1.3140799836535	0.98707082253648	0.00804750237381086	-174.013720682612	0.0650909029969921	-0.052173022743243	-0.0260511989721019	-0.200539108006078	0.165275305967491	1.28638004769423	1.50907876060136	0.0708544016473635	-0.299793530609063	-0.0766458365425665	0.233629651370223	-0.03320709477254	-0.18281735672798	0.0773902659075799	0.380226640060696	0.239795144569547	-0.161431291094093	0.0818887826969316	0.0128869432831371	1.91773246546916	0.424248643610338	0.87434318635285	0.647111699289763	0.503839754401643	0.547585421744802	-0.0763412929714595	-2.67620100484204	-2.94514471730327	-1.33386869766478	-2.99930316876324	-3.37275621523075	-3.43069964814079	-1.24006802987454	-1.04031423421834	-2.07401492212836	-2.43728855292166	-1.6908156511989	-1.78288026161231	-1.90319768270024	-0.569366348312518	-0.98730036757787	-2.28726664276044	-2.22123691060799	-0.452546457528033	-2.87248577781427	-1.29340105559992	-1.6153236038673	-2.92562271333125	-3.85812435507077	-1.09698822488092	-0.61800907428766	-3.58345111063254	1	-1	1	-1	1	-1	1	-1	-1	-1	1	1	-1	1	1	1	1	1	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	1	-1	1	-1	1	1	-1	1	1	1	1	1	1	1	-1	-1	-1	-1	1	1	-1	-1	-1	1	-1	1	1	-1	-1	1	-1	-1	-1	1	1	1	1	1	1	1	1	1	-1	1	1	-1	-1	-1	-1	-1	1	1	-1	1	-1	1	1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	1	-1	-1	0	0	0.662857142857143	I_omega	1 
800	-304.914688819347	-0.666971098724333	-0.447244242512383	0.808908863575198	1.26631269513629	0.984508978179656	0.00809256317326799	-160.818350224702	0.999296194265106	0.109223435277673	0.187591018199605	0.380799644447832	0.657811649978811	-1.62018202183465	-0.591096727337547	-0.607434734355422	-0.350536753417078	-0.421840827502753	-0.411170183151483	-0.176567479980136	-0.0480278823044624	0.341299468629774	0.564865862548961	0.46608844327265	-0.404895345943641	0.37853368997769	0.0581625532892217	-0.538809425477916	-1.08284095778984	0.0301196232178882	0.641457516926709	-0.0543748174848306	0.0626375652025238	1.04774899322648	-1.35660891619055	-1.43895935372151	-1.44975125153929	-3.0298083253628	-2.40660630967892	-1.65686794486314	-0.750522168372968	-1.86278916100297	-0.916704576916842	-1.69754687565082	-1.54982477360984	-1.7355521866912	-2.65073875456817	-1.30443596579763	-1.04286040640225	-2.00495356359433	-2.12721100312025	-0.776780836152594	-3.59090284652155	-1.65858217384504	-0.0630071757750996	-1.38762304536562	-2.34115392618372	-1.55664009595728	-0.508342322554236	-2.18946770489537	1	1	1	-1	-1	-1	-1	1	1	-1	-1	1	1	1	-1	-1	1	-1	-1	1	1	1	1	1	1	1	-1	1	1	-1	1	-1	-1	1	1	-1	1	-1	-1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	1	-1	1	-1	1	1	-1	1	-1	1	-1	1	1	-1	-1	1	1	1	-1	1	1	1	1	1	1	-1	-1	-1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	1	-1	1	-1	1	1	1	-1	1	1	-1	1	1	-1	-1	-1	-1	0	0	0.665	omega	1 
900	-325.412698172823	-0.176208424802599	0.0612163039921109	0.896837308397517	1.31351429690141	0.985385808066931	0.00235973579576239	-179.660548070126	-0.0360853783132722	0.00620556617886095	-0.305768209511472	0.103938855099715	2.12684833192037	0.0572704271330274	1.1193508366728	-0.347801922925493	0.62749416424064	0.0150217545274766	0.353744174940531	0.485523045463933	-0.497267469058755	0.0970424360009524	0.527204511700918	0.412513440673798	-0.557567559069247	-0.699118984414842	-0.647359522828991	-0.435881196668389	-0.562423953861468	1.44724057501831	0.891007342937096	-0.446734055602723	-0.714811821022171	1.0562228703109	-1.98793498595204	-2.39253204356522	-1.40434174727332	-3.13106920479515	-2.63072330975121	-0.621483380369784	-1.76402888656458	-1.25489148024086	-1.98476964181207	-2.89549697296264	-2.14805815409808	-1.98566266454875	-2.16316639817299	-1.31628935860769	-1.22536904019717	-1.48000771983909	-1.16450848361153	-0.753780104223777	-3.38032811831613	-0.763013088925133	-1.17006365128039	-2.85208263282918	-2.51376585129036	-1.25176938714086	-0.436058400295043	-1.84083630283082	1	1	-1	1	-1	1	-1	-1	-1	1	1	-1	1	1	1	1	1	-1	1	1	-1	1	1	-1	-1	1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	1	-1	-1	1	-1	1	1	1	1	-1	-1	1	1	1	-1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	1	1	1	1	1	1	1	1	-1	1	-1	1	-1	1	1	-1	-1	-1	1	1	-1	1	-1	-1	1	-1	-1	1	1	1	1	1	-1	1	-1	1	-1	-1	-1	0	0	0.664444444444444	NA	1 
1000	-361.608983190771	-1.02082475219848	0.606528048798798	0.921565237524919	1.3392394081736	0.975420174272731	0.00630410360405222	-215.503569469204	-0.253185914425278	-0.277018033933952	-0.131253537404159	0.962130865900392	1.94586455344863	0.629384058840246	0.538288420085527	0.113662177756003	0.295836753577099	0.165111191728371	-0.189542768991537	-0.322800415871497	-0.0936596878062571	0.0819084710716219	0.385994413689913	0.461943507025674	-0.320731828152213	-0.354633548470518	0.19105706873203	-0.00410985767238259	0.343003780355994	0.497533187780881	1.03526029445938	0.97392718138468	1.09661486675138	-0.377805750991511	-1.82134309920393	-1.95890932515852	-0.779287649506511	-3.33164524642724	-0.717874231316585	-3.04637962099371	-2.19756701153574	-1.64692012397644	-1.48434729560904	-2.55751296825831	-2.60720960282775	-2.15092378325021	-2.29169859546608	-1.05694637614948	-0.926288912724967	-2.16146671319278	-1.77815063414614	-0.750451175606911	-2.36584891832648	1.97319920021068	-1.01811727670051	-2.33011140711864	-2.84219609900399	-1.41349525757101	0.14032515449359	-3.66609852918125	-1	-1	1	-1	1	1	1	-1	-1	-1	-1	1	1	-1	-1	-1	1	-1	-1	1	1	1	-1	-1	-1	-1	1	-1	-1	1	1	1	-1	1	-1	1	-1	-1	1	1	-1	1	1	1	-1	-1	1	1	1	-1	1	1	-1	1	1	-1	1	-1	1	1	1	-1	-1	1	-1	-1	-1	1	-1	1	1	-1	1	-1	1	1	1	1	1	1	-1	1	-1	1	-1	1	1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	1	-1	-1	-1	-1	-1	1	-1	-1	1	0	0	0.659	NA	1 
