iter	posterior	m_root	logX_root	sigma^2_m	sigma^2_logX	nu	omega	log.lik	m_anc_n30	m_anc_n31	m_anc_n32	m_anc_n33	m_anc_n34	m_anc_n35	m_anc_n36	m_anc_n37	m_anc_n38	m_anc_n39	m_anc_n40	m_anc_n41	m_anc_n42	m_anc_n43	m_anc_n44	m_anc_n45	m_anc_n46	m_anc_n47	m_anc_n48	m_anc_n49	m_anc_n50	m_anc_n51	m_anc_n52	m_anc_n53	m_anc_n54	m_anc_n55	logX_anc_n30	logX_anc_n31	logX_anc_n32	logX_anc_n33	logX_anc_n34	logX_anc_n35	logX_anc_n36	logX_anc_n37	logX_anc_n38	logX_anc_n39	logX_anc_n40	logX_anc_n41	logX_anc_n42	logX_anc_n43	logX_anc_n44	logX_anc_n45	logX_anc_n46	logX_anc_n47	logX_anc_n48	logX_anc_n49	logX_anc_n50	logX_anc_n51	logX_anc_n52	logX_anc_n53	logX_anc_n54	logX_anc_n55	S_m1	S_m2	S_m3	S_m4	S_m5	S_m6	S_m7	S_m8	S_m9	S_m10	S_m11	S_m12	S_m13	S_m14	S_m15	S_m16	S_m17	S_m18	S_m19	S_m20	S_m21	S_m22	S_m23	S_m24	S_m25	S_m26	S_m27	S_m28	S_m30	S_m31	S_m32	S_m33	S_m34	S_m35	S_m36	S_m37	S_m38	S_m39	S_m40	S_m41	S_m42	S_m43	S_m44	S_m45	S_m46	S_m47	S_m48	S_m49	S_m50	S_m51	S_m52	S_m53	S_m54	S_m55	S_X1	S_X2	S_X3	S_X4	S_X5	S_X6	S_X7	S_X8	S_X9	S_X10	S_X11	S_X12	S_X13	S_X14	S_X15	S_X16	S_X17	S_X18	S_X19	S_X20	S_X21	S_X22	S_X23	S_X24	S_X25	S_X26	S_X27	S_X28	S_X30	S_X31	S_X32	S_X33	S_X34	S_X35	S_X36	S_X37	S_X38	S_X39	S_X40	S_X41	S_X42	S_X43	S_X44	S_X45	S_X46	S_X47	S_X48	S_X49	S_X50	S_X51	S_X52	S_X53	S_X54	S_X55	I_nu	I_omega	acc	update	temperature 
100	-309.310858125667	0.167938469677905	-0.48417999819876	0.701742851091549	0.418256297428161	0.974253733828664	0.00765904719475657	-175.612392525022	-0.100196889437244	-0.149992096901498	0.230453110351095	0.210007230944207	0.179260983197125	-0.00141605302371608	0.229715502656812	0.369737826554565	0.104874137896198	0.121504735702942	0.0977505747231847	0.113581754454957	0.00517056290450987	0.43175957323754	0.438515920685521	0.558806096252583	0.0281959955744771	-0.0248294343970071	-0.241021785249906	-0.0431363572269637	-0.109992290387694	0.0678360945028721	0.0522322976324887	0.238325532839173	0.21797377318135	0.0732153969986578	-2.3392856821067	-2.2604990362563	-1.52305461653266	-3.00648179377991	-1.94605109042002	-2.2713143935835	-2.18546410637927	-1.21765959936816	-1.84666850697378	-2.14583212471587	-1.99402150737562	-1.96631161866099	-2.12681693186426	-0.875671994247432	-0.847798562603399	-1.83345224076506	-1.96474689320857	-0.42572919086293	-3.01499886604297	-1.28716435393185	-1.24716798393431	-2.69974627945791	-2.76775675940959	-1.32246494304521	-1.42423795314873	-2.35915421880231	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	0	0	0.84	omega	1 
200	-300.557861361159	0.170304363446103	-0.486638289916985	0.589598936899565	0.435716352355666	0.967777453684248	0.00671921331901103	-167.790723306486	-0.105797055664417	-0.154237161753132	0.231049599741974	0.211546315346785	0.1830733711511	-0.00360251796191823	0.233157258824946	0.372852280657665	0.104958270248714	0.121655277213597	0.0977649839945785	0.113685644401316	0.00480325079112939	0.433788082512402	0.439696514957303	0.560856847988505	0.0273405339921339	-0.0261493927361529	-0.243948086327424	-0.055540069696078	-0.119125887640024	0.0662659254512447	0.0510734692041612	0.239600380187406	0.220472133317812	0.0711517354624001	-2.33845232421507	-2.26017870636668	-1.52326690648633	-3.00577434069259	-1.94555774623356	-2.27065382290247	-2.18521040961428	-1.21800687978498	-1.84663421013909	-2.14569785488285	-1.99396414845824	-1.96626800916928	-2.12676906316469	-0.875921914037295	-0.847929608854646	-1.83344615819779	-1.96468424488862	-0.42645292985532	-3.01468566672667	-1.28989458619454	-1.24858645515152	-2.69795226237766	-2.76661536863895	-1.32268095690908	-1.42449039384347	-2.35671580607913	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	0	0	0.825	NA	1 
300	-289.553234749712	0.173169984037228	-0.490417809392008	0.472976149837487	0.462684516841546	0.947993762989063	0.011434849682264	-157.664194767245	-0.111881495545873	-0.158813823181602	0.231669528901017	0.213201546425707	0.187476590306554	-0.00598319091465388	0.236908512070186	0.376141593247596	0.105047214390656	0.121815104134183	0.0977807436107725	0.113795507008959	0.00441826744036687	0.435919911668276	0.440944554472509	0.563006497492746	0.0264292935905179	-0.0274558613468466	-0.247097978276875	-0.0704584560614576	-0.129502938121964	0.0645171094758926	0.049795583476391	0.240966021591359	0.223170109257983	0.0686521300074391	-2.33716969822627	-2.25968494410509	-1.52359453670818	-3.00468364319082	-1.94480300310357	-2.26963743890517	-2.18481945061138	-1.21854277569489	-1.84658137430203	-2.14549068946242	-1.99387563360512	-1.96620071628084	-2.12669515955038	-0.876307740539699	-0.84813195286594	-1.83343678978322	-1.96458761599113	-0.427569276564027	-3.01420096827202	-1.2940682393757	-1.25076432378463	-2.69519265087533	-2.76485806567897	-1.323014366049	-1.42488337688622	-2.3529951654365	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	0	0	0.823333333333333	omega	1 
400	-272.774892880112	0.177273649333444	-0.50150286429449	0.37902547582984	0.542658445774578	0.951772430522833	0.0149513445585035	-141.017957433428	-0.116956550378289	-0.162668042237374	0.232088318129212	0.214527247298798	0.191337711058787	-0.0080384720902351	0.240072003100161	0.378777199488	0.105110997463281	0.121948356161621	0.0977925097607683	0.113885396268622	0.00410587668231407	0.437663443188535	0.442032670449712	0.564747962250596	0.0256786220229324	-0.0278533349435704	-0.24971348024893	-0.084250915572703	-0.138602576041155	0.0630111536471221	0.0486441761817791	0.242177731269771	0.225457843484303	0.0663109750135832	-2.33339824035561	-2.25822784495061	-1.52456421189008	-3.00146340260418	-1.94261539419202	-2.26665097248439	-2.183666385327	-1.22012840439771	-1.84642566837719	-2.1448779279636	-1.99361371038473	-1.96600162053162	-2.12647623149063	-0.877450548524276	-0.848731537386665	-1.83340919606168	-1.96430202641044	-0.430869039614229	-3.01275714326337	-1.30614374803142	-1.25713116197391	-2.68708930598047	-2.7596867443465	-1.32400135852561	-1.42606953833543	-2.34227661424762	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	0	0	0.7975	NA	1 
500	-259.157800798827	0.181606669635836	-0.517028420656547	0.325620006453246	0.656921007460915	0.962189421043731	0.0230227320664562	-126.796070559352	-0.119887997165677	-0.16496402535131	0.232227454550829	0.21523262854532	0.193616737671042	-0.00931100903918712	0.241934507236877	0.380223691505097	0.105136161363477	0.122027666645493	0.097797482920689	0.113937054660683	0.00392739749232491	0.438673854038664	0.442743716555294	0.565739181423411	0.0252451254134563	-0.027286935218684	-0.251227990548826	-0.0928747519412865	-0.14410293880273	0.0621089180304745	0.0478821261738437	0.242983482130355	0.22684599775785	0.0648221934718804	-2.32809185932419	-2.2561643775427	-1.52594459813147	-2.9968988341469	-1.93961565320457	-2.26245440461443	-2.18203514790155	-1.22238464326356	-1.8462057189942	-2.14400654186833	-1.993240953054	-1.96571835330073	-2.126164040978	-0.879079815698107	-0.849586986232438	-1.83337025606555	-1.96389647221889	-0.435555890809391	-3.01067872104739	-1.32265001775679	-1.26599688986749	-2.67571617412366	-2.75240025287736	-1.32540689850862	-1.42781318325229	-2.32773306083666	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	0	0	0.802	NA	1 
600	-256.317998041579	0.184689185500167	-0.523820446435141	0.298983327215538	0.668743852199987	0.961594661502167	0.0247564197774045	-124.096082325415	-0.124020430283502	-0.168046166346344	0.232590187109421	0.216318278299615	0.197059550252296	-0.0109655927253022	0.244509681658767	0.382305925789866	0.105189218535549	0.122131978637834	0.0978076544651446	0.114007559462654	0.00368502834352701	0.440028645623335	0.443573112495042	0.567091379513633	0.024650993043044	-0.027737320487163	-0.253353266354239	-0.105763609656447	-0.151954502073692	0.060844312968834	0.0469524808896426	0.243920158978916	0.228668531061681	0.0625929542653453	-2.32576158500345	-2.2552532275199	-1.52655678144802	-2.99488163205216	-1.93832650310393	-2.2606134586865	-2.18131547299093	-1.22338494298408	-1.84610880724508	-2.14362041237819	-1.99307566887376	-1.96559277879651	-2.12602537834994	-0.879803330641677	-0.849967109954183	-1.83335311363583	-1.9637169770186	-0.437630646195247	-3.0097486419883	-1.32972528136151	-1.26985662010564	-2.67073218031277	-2.74919648075164	-1.32603040801309	-1.42860547909069	-2.32153592745818	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	0	0	0.795	sig2_logX	1 
700	-239.727381757296	0.189862684523276	-0.538602930893093	0.174784349962138	0.820225597545505	0.978422170099802	0.0224120718683116	-107.197950439593	-0.128831349541866	-0.171673820847253	0.232936142954936	0.217534613708876	0.201246951293371	-0.0129586097583102	0.2475372319506	0.38464330151863	0.105241350726057	0.122253973408886	0.0978181127396231	0.114088497793019	0.0034085202924167	0.441587374745274	0.444590247881654	0.568631189115294	0.0239653789408791	-0.027627245442877	-0.255840034370442	-0.122147987765744	-0.161496837744906	0.0593285047549734	0.045788948185872	0.245083972132816	0.230829622686681	0.0597045798473335	-2.32067116756483	-2.25325212833811	-1.5279069372101	-2.99044762928345	-1.93556856658787	-2.25659608633558	-2.17973621396048	-1.22559053940133	-1.84589642512095	-2.1427694483489	-1.99271117657897	-1.96531591890135	-2.12571908286194	-0.881401213476842	-0.850807139875946	-1.83331557908324	-1.96332186341724	-0.442198588073268	-3.00768007551847	-1.34482504597525	-1.27821786581031	-2.65986717760148	-2.74218943995283	-1.32740587863483	-1.43039037921936	-2.30838124269934	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	0	0	0.8	sig2_m	1 
800	-234.51196973352	0.193355281479149	-0.545318332196501	0.0658038282627242	0.872166478820146	0.978810988555197	0.0363778774812818	-102.459238857637	-0.133426839256843	-0.175046393337019	0.23334554710363	0.218744775459856	0.205542262641044	-0.014791398360022	0.250407776403044	0.386869294327493	0.105299586949116	0.12236543772915	0.0978297529764594	0.114163674414338	0.00315333471666569	0.44301820633189	0.445461149158765	0.570055398417607	0.0233251358713437	-0.0281362811528231	-0.258220859747097	-0.139257493862283	-0.170912061754026	0.0578671461495634	0.0447462454600366	0.246084281511365	0.232797361057562	0.0566417467252951	-2.31835021262566	-2.25233480790982	-1.52852844046239	-2.98841325808347	-1.93433703843051	-2.25476624554382	-2.17901286800114	-1.2266056156974	-1.84579928100123	-2.14237800728683	-1.99254340281591	-1.96518851088829	-2.12557786028679	-0.8821378003504	-0.851194618626397	-1.83329842627258	-1.96314032588011	-0.444297783825861	-3.0067201353333	-1.35155170416291	-1.28199855136685	-2.65492357889822	-2.73899069605417	-1.32803917929663	-1.43122811221749	-2.30255125011387	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	0	0	0.7875	sig2_m	1 
900	-233.147715018696	0.193353663703531	-0.544700360269929	0.0899189205700534	0.867364240624011	0.967074758762028	0.0469029769091867	-100.932296834741	-0.133722413230816	-0.175252682581308	0.233382847036069	0.218829849588825	0.205834798056264	-0.0148988243214017	0.250588825498922	0.387016988609781	0.105304672260018	0.122372118549407	0.0978307335718229	0.114168384415077	0.00313739890800005	0.443106005180598	0.445505024252346	0.570144797910307	0.0232849123126509	-0.0282619338096702	-0.258373354672976	-0.140405540365561	-0.171520789906293	0.0577747657185457	0.0446903461631468	0.246134179314239	0.232912496346098	0.0564358814405778	-2.3185640154569	-2.25241944003715	-1.52847103288791	-2.98860099775054	-1.93444981592453	-2.25493475913531	-2.17907958833263	-1.22651185868863	-1.84580823785472	-2.14241415738578	-1.99255889981051	-1.96520027859526	-2.12559091104944	-0.882069734152838	-0.851158806183739	-1.8333000073727	-1.96315708547947	-0.444103973958631	-3.0068090035256	-1.35093611625295	-1.28165110030228	-2.65537870594262	-2.73928546281879	-1.32798067837154	-1.4311503290395	-2.30308402527597	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	0	0	0.786666666666667	sig2_m	1 
1000	-232.609870950367	0.194370526736382	-0.552836868112863	0.117437399583869	0.930961697874591	0.972744875117205	0.0381490604672581	-99.5187154257175	-0.13207674323072	-0.17414707449201	0.233124567732219	0.218324318123912	0.204188373128339	-0.0143470593964349	0.249597934534832	0.386165321566723	0.105270205532603	0.122336705665308	0.0978242421638827	0.114142417869301	0.00322533047671359	0.442629123858605	0.445311246066588	0.569649425986301	0.0235065046858612	-0.0271419853629266	-0.257531395702086	-0.134126454973555	-0.168193059839632	0.058276709811764	0.0449503173746813	0.245918019463337	0.232316227741427	0.0575493515682578	-2.31574539066456	-2.25130158173236	-1.52923040124831	-2.9861204456081	-1.93297382635167	-2.25271398389459	-2.1781985727639	-1.22775198142762	-1.84569002549254	-2.1419360851011	-1.99235391033109	-1.96504463162545	-2.12541817643799	-0.882970568025251	-0.851632878991053	-1.8332791469868	-1.96293553823293	-0.446666162805622	-3.00563025325829	-1.35898623686665	-1.28621836830759	-2.64938304280562	-2.7353977726691	-1.3287545672918	-1.43218560057444	-2.29612866703667	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	0	0	0.776	NA	1 
