iter	posterior	m_root	logX_root	sigma^2_m	sigma^2_logX	nu	omega	log.lik	m_anc_n30	m_anc_n31	m_anc_n32	m_anc_n33	m_anc_n34	m_anc_n35	m_anc_n36	m_anc_n37	m_anc_n38	m_anc_n39	m_anc_n40	m_anc_n41	m_anc_n42	m_anc_n43	m_anc_n44	m_anc_n45	m_anc_n46	m_anc_n47	m_anc_n48	m_anc_n49	m_anc_n50	m_anc_n51	m_anc_n52	m_anc_n53	m_anc_n54	m_anc_n55	logX_anc_n30	logX_anc_n31	logX_anc_n32	logX_anc_n33	logX_anc_n34	logX_anc_n35	logX_anc_n36	logX_anc_n37	logX_anc_n38	logX_anc_n39	logX_anc_n40	logX_anc_n41	logX_anc_n42	logX_anc_n43	logX_anc_n44	logX_anc_n45	logX_anc_n46	logX_anc_n47	logX_anc_n48	logX_anc_n49	logX_anc_n50	logX_anc_n51	logX_anc_n52	logX_anc_n53	logX_anc_n54	logX_anc_n55	S_m1	S_m2	S_m3	S_m4	S_m5	S_m6	S_m7	S_m8	S_m9	S_m10	S_m11	S_m12	S_m13	S_m14	S_m15	S_m16	S_m17	S_m18	S_m19	S_m20	S_m21	S_m22	S_m23	S_m24	S_m25	S_m26	S_m27	S_m28	S_m30	S_m31	S_m32	S_m33	S_m34	S_m35	S_m36	S_m37	S_m38	S_m39	S_m40	S_m41	S_m42	S_m43	S_m44	S_m45	S_m46	S_m47	S_m48	S_m49	S_m50	S_m51	S_m52	S_m53	S_m54	S_m55	S_X1	S_X2	S_X3	S_X4	S_X5	S_X6	S_X7	S_X8	S_X9	S_X10	S_X11	S_X12	S_X13	S_X14	S_X15	S_X16	S_X17	S_X18	S_X19	S_X20	S_X21	S_X22	S_X23	S_X24	S_X25	S_X26	S_X27	S_X28	S_X30	S_X31	S_X32	S_X33	S_X34	S_X35	S_X36	S_X37	S_X38	S_X39	S_X40	S_X41	S_X42	S_X43	S_X44	S_X45	S_X46	S_X47	S_X48	S_X49	S_X50	S_X51	S_X52	S_X53	S_X54	S_X55	I_nu	I_omega	acc	update	temperature 
100	-324.99108557225	0.494734222785898	-1.06618197448274	0.447331724236719	0.73642433243338	0.99	0.00322930752532557	-190.191725478541	0.0816524514516506	0.379502253102453	-0.116668313056828	0.252774508276868	0.218418275353483	0.501490680916311	0.0986694562763948	0.804321970563698	0.00182257872308383	0.412220415141273	0.443374332871913	0.581580197015973	0.200676073256611	0.909421525649782	0.810826415939343	0.436661454796691	0.210734207275406	-0.127988432281811	-0.562075670826582	0.349664014381841	0.58275362122581	0.207615884112465	0.04678026438266	0.743033403613434	0.474580221730068	0.995358640128849	-2.30702127645639	-1.93759581412679	-2.25299578192287	-3.57469858480777	-3.17425834641298	-2.27200201982856	-2.55329530299658	-1.07884604591383	-1.67457724420767	-2.41824939725064	-2.09695129342819	-1.99509442452979	-2.12236184205842	-0.851227380857679	-0.957510701177979	-2.14310456372035	-2.64294243146088	-0.157146718510185	-2.7167699095232	0.488360146213764	-0.255640601904566	-2.43134210337201	-2.66311534798244	-1.33465903519625	-1.23681622163679	-2.35720443692169	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	0	0	0.67	NA	1 
200	-328.499281744083	0.283816601555991	0.139356662298311	0.413120233304799	0.919267280930653	0.989836972577032	0.0073268316523172	-188.779263215232	-0.922605199299569	-0.729192511376857	-0.401941663529279	0.175619875894878	-0.23930197499468	0.20837434768455	0.575439162601254	0.411920338839106	-0.400425663208	0.0775410046246212	0.0632850328948694	0.0634159965532963	0.0546808699503221	0.683020601914941	0.212655817093253	0.648275409462129	-0.166833368516263	-0.0747222269506941	-0.494105829085459	1.45753716830358	0.0232917586020084	-0.925307427081671	-0.856607497360225	0.45026583719277	0.356469704955963	0.863392533442359	-1.03329839003697	-1.42358928643134	0.077577329126396	-1.97651055243789	-1.37023968125912	-1.62565051750128	-0.249166627264142	0.591094467089219	-0.817198466704908	0.172162775379095	-0.2588071191893	-1.39280687862275	-1.01339227897034	0.722701793696258	-0.00377899041246121	-1.4627614689353	-0.942914910713903	-0.318994145440551	-1.7952315135147	-1.414826586411	-2.40948900353318	-2.20057130905242	-2.49652974700202	-0.952880098886443	-1.32497791286473	-0.797432133731508	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	0	1	0.68	NA	1 
300	-284.868635015494	-0.585147830711463	-0.360072703345514	0.46618271084968	1.02635070867371	0.984494878137484	0.00790857564657927	-146.882681836867	-0.0745942850374652	0.136628392915222	0.265722697943353	0.725615813045228	0.191595327887964	-0.335908272021993	0.353130524729222	0.52103148368548	0.216403134455992	-0.116914400008634	0.00867810890151378	0.0565522021638351	0.0106738276456367	0.508515433294892	0.191148905780139	0.751855523130376	0.433983424141197	0.117145787855437	-0.55985434981273	-1.21353417513452	0.528953117225328	0.19149289318017	0.578174466399843	0.194244713617481	-0.367361370765202	-0.951704791437515	-3.25510020766038	-2.679914918326	-2.09504335228011	-2.98686366309188	-2.9962073334192	-2.49227573913398	-3.49976942931951	-1.21625979896458	-2.17839785335203	-2.73252207662631	-2.2880133270852	-2.19348413757112	-2.47530362985563	-0.766543966480248	-0.77289089672875	-0.928021064682453	-2.49138453251614	-0.664005523942206	-2.66947455094285	-0.951140005880213	-0.606187997287935	-3.01499884740324	-3.34686317226893	-1.09231054147032	-1.39616064047356	-1.00143739665446	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	0	0	0.623333333333333	NA	1 
400	-299.552817694083	0.488228048766809	-0.121641765966906	0.515071585555561	1.16411562487017	0.978042881439906	0.00736147484742105	-159.727394485148	0.441396116701312	-0.335549035185388	0.542128557605247	-0.0388469464311914	0.956916004623769	0.264154813708582	0.202099343908712	0.478892862665541	0.206239742502932	0.129442984595072	-0.141622865997956	-0.136083094973427	0.177494682522615	0.62700895403822	0.439669841170287	0.569607482875918	0.00983079041029009	-0.714647378534927	-0.739676655561683	-0.881802175668043	0.919722586266803	0.578199196574078	0.472787286286946	0.427066528627249	0.774307238347966	-0.021032795045836	-1.23092903628733	-0.834307216609874	-0.683332642591844	-3.17597464353045	-1.10056351511838	-0.854511466975376	-1.6788463714961	-1.05072597477869	-1.14904630313356	-1.92830477595458	-1.63816635801965	-1.44903459551616	-2.11055890795604	-0.99517290032435	-0.73307331718552	-1.88860297071467	-1.52855143789198	0.298813701453877	-2.70360704970489	-0.824565352532253	-0.0559119734172917	-1.51083495274321	-2.17486475709824	-1.84615939573049	-1.60608398019621	-2.11029271572664	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	0	0	0.6225	NA	1 
500	-302.006869879181	0.448648965945406	-0.81382257418128	0.58934304845985	1.27327571529429	0.974796201463323	0.00131987935630605	-160.130961541279	0.540387322703386	0.238926769755149	-0.233063180491913	-0.438797271475623	-1.31912043108854	0.396401592212304	1.03523570964916	0.391305223849533	0.391450503863635	0.0951865136657682	0.0471089538949063	0.162239348249129	-0.0247731327419861	0.918091532541653	0.652206320445465	0.92665077200762	0.247789712739133	0.1106459268799	-0.174594253865518	0.0113038080617542	-0.644189643539814	-0.290958988304395	0.515435697846376	0.364753928448247	1.46822359144353	0.202780687075063	-2.53471019565751	-2.27391619151382	-0.904383206259963	-1.80403143044296	0.437800698305892	-4.13085426332587	-2.3384203072443	-1.42932460116176	-1.89016851503583	-1.99533334266225	-1.12006097059782	-0.902911243108835	-1.64409795294959	-1.3075533031721	-1.07412941634134	-1.99387747277895	-2.65174056579827	0.267945400277857	-2.68988470126517	-2.5020619722109	-1.63789291587413	-1.55306285079585	-1.49932125242446	-1.37235936227931	-2.05004609709049	-3.42415591212363	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	0	0	0.626	NA	1 
600	-328.264097696783	0.732547929273788	-1.70470247667368	0.532281846916303	1.23565118165687	0.979523778855801	0.00338966964045539	-187.634449780847	-0.0428567499369173	-0.0140865745186624	0.255208971549957	-0.433817513656706	-0.000543923618643694	0.075711711607117	0.122670933059575	0.183581219819673	-0.274685241274055	-0.0498039578638934	-0.0853175281290167	-0.174429251870462	0.14295983693372	0.156943055374368	0.437309563137671	0.472960670826179	0.0773291865152263	-0.327876684654164	0.305028110577483	-0.620030002452606	-1.53869490198376	0.826951549026755	0.17639993970353	0.202289683066214	0.318832049841063	0.426169727259279	-1.35360331566941	-2.43087511965285	-1.10409904417775	-3.34087822691247	-3.42011860988091	-1.79503457565101	-1.4354213573737	-0.560047069878063	-2.63264329059933	-1.8851074549622	-1.80641944419597	-1.35177510795638	-2.15430972005247	-0.595449000793246	-0.61796298467789	-1.44337082600241	-2.37117171217328	0.0520008542213017	-3.25445138292701	0.349130318988471	-1.64543526189985	-1.85582987462368	-1.96553829266145	-1.20752597522435	-1.48201106563157	-0.98898790807163	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	0	0	0.635	I_nu	1 
700	-317.925193332286	0.647883492653477	-0.986771618857974	0.54788918692153	1.26623431837186	0.968531252013054	0.0228105752775446	-176.921341923559	0.151642230326693	-0.009888777719072	0.260622460991859	0.180945283276357	0.102491280206045	0.776802548070963	-0.465177233349853	-0.04045736261707	-0.0850404117528438	0.549050562729767	-0.0763297406602267	-0.062379738954727	-0.203985947350796	0.0621239154198687	0.11972300830643	0.361614777125071	0.199870849341236	-0.327246899078502	-0.241323344277276	-0.407962053448149	-0.438556353550775	0.637651074543263	1.04830585452906	-0.047757222273294	0.0977415108233264	0.689775204393273	-2.91356117471167	-3.09043042981433	-1.54059285144855	-3.8234317933812	-1.98524508957906	-2.27319845747793	-1.80584517211755	-1.77749275250538	-2.26045237447747	-2.66307969262248	-2.30087089410789	-2.15372471462012	-2.11096537368373	-0.565705065483198	-0.567989729397095	-1.77147585557057	-1.88133604567641	-0.00722333882061671	-3.51298375756004	-0.422526347077798	-0.711198527375776	-3.3028957387215	-3.07825416983381	-1.63655028631452	-1.36859133587712	-4.19105200514626	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	0	0	0.652857142857143	NA	1 
800	-284.002212954904	-1.00949809150526	1.36760418801403	0.581409490844235	1.33494234457146	0.968141451750416	0.0239788887510076	-141.491691752606	-0.742801642436065	-0.835157819268985	-0.182843108717717	0.253722993748335	-0.264850155221735	-0.632982405698179	0.268302194905925	0.508164161218555	0.331347533546451	0.295123891563981	-0.201298007708314	-0.186011747450295	-0.0269455568031432	0.335039873994924	0.360927126211514	0.583936359699828	0.0827856903398845	0.249688672907171	-0.144984036089494	-1.33470371799328	-0.829584538657593	-0.0237485565220865	-0.052023081944505	-0.285689100977595	-1.00492461191014	0.410994467747087	-2.96596985834644	-2.9316212115328	-3.19899340153086	-3.98554331481244	-1.66393973546025	-0.617983120068094	-1.77359520225869	-1.57053215018707	-2.4642240613089	-2.57162231811914	-2.50455340911734	-2.10943489064499	-2.2537812179334	-0.952233681069067	-1.03863578336291	-1.92943348257096	-1.40693647050886	-2.27166709553832	-3.38788122800412	-2.77135715751068	-1.81417375590514	-2.91903752718482	-2.41425993763517	-0.759778072655911	-0.466572162822852	-1.46911208167303	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	0	0	0.66	I_omega	1 
900	-276.948902331207	-0.0989299397010185	-1.10121699615231	0.575743212704547	1.4706961837085	0.97497917070752	0.0305251369066536	-133.597118871918	-0.183695360938949	-0.282887402017324	0.493042642938767	-0.0166782506954721	0.463704842066316	-0.429354078990314	-0.177881269202986	0.783620387049634	0.382337429957247	0.231847558431761	0.511882188692586	0.387116507780444	0.138583730946911	0.818319005335654	0.55071833129152	0.585370742252263	-0.0783137937786742	0.955530425074851	0.0539502950636515	-0.58785312330265	-0.689738450783176	-0.27366682633616	-0.0644552633894393	-0.11391164900025	0.216700819395867	-0.0571281742632594	-2.10962036254564	-1.40388691536627	-1.8742960666222	-3.64833078166067	-5.11638732434544	-1.6563611865639	-3.61760403916121	-1.8911406805008	-1.17378121965381	-2.05815138885632	-1.82958092321972	-1.85641120773185	-2.42313225474438	-1.28682617224617	-1.03701394466561	-1.63434028328281	-1.6546780312612	-1.15020482728259	-2.94786177521321	-3.16104861521487	-2.44229604625931	-2.96230650915982	-2.84950608893016	-1.69392237043313	-2.84309490007985	-1.91397187444226	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	0	0	0.662222222222222	NA	1 
1000	-295.363639176322	0.343851805430036	-2.06113930497839	0.523573585101403	1.49524511538446	0.978987575590145	0.0368141038017347	-152.449150989832	0.672601173766574	0.569939811514812	0.194638499286594	-0.316765415289658	-0.245002037616766	-0.259997450929243	-0.108008041645047	0.443816129216901	0.401255493452624	0.0933895980206825	0.0285064006763541	0.0175243448904742	-0.359635088690591	0.267074202822859	0.202591787923392	0.564397927444186	-0.0375833225481124	0.304314585669914	0.197225777536866	-0.284893933182779	-0.572250813468578	-0.0929125182665408	-0.241979465071642	0.132199800371942	0.126758504170878	-0.63921583074582	-0.963099003103345	-2.21116858430399	-2.69614903066799	-3.88749686723661	-3.20012638417515	-1.60016843332142	-2.54186671214742	-1.00694064817768	-1.69621176771499	-0.972638649531143	-1.56058559444111	-1.45087733469785	-2.05211998160782	-1.24926913545997	-0.686183074716167	-1.69631601640051	-1.44660593244591	-1.4748717929904	-3.61952554937645	-0.436745380748585	-0.17769748699163	-1.86524404626313	-2.02785992506775	-1.07337431361556	-0.980582166632706	-4.05579355725326	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	0	0	0.672	sig2_logX	1 
