iter	posterior	m_root	logX_root	sigma^2_m	sigma^2_logX	nu	omega	log.lik	m_anc_n30	m_anc_n31	m_anc_n32	m_anc_n33	m_anc_n34	m_anc_n35	m_anc_n36	m_anc_n37	m_anc_n38	m_anc_n39	m_anc_n40	m_anc_n41	m_anc_n42	m_anc_n43	m_anc_n44	m_anc_n45	m_anc_n46	m_anc_n47	m_anc_n48	m_anc_n49	m_anc_n50	m_anc_n51	m_anc_n52	m_anc_n53	m_anc_n54	m_anc_n55	logX_anc_n30	logX_anc_n31	logX_anc_n32	logX_anc_n33	logX_anc_n34	logX_anc_n35	logX_anc_n36	logX_anc_n37	logX_anc_n38	logX_anc_n39	logX_anc_n40	logX_anc_n41	logX_anc_n42	logX_anc_n43	logX_anc_n44	logX_anc_n45	logX_anc_n46	logX_anc_n47	logX_anc_n48	logX_anc_n49	logX_anc_n50	logX_anc_n51	logX_anc_n52	logX_anc_n53	logX_anc_n54	logX_anc_n55	S_m1	S_m2	S_m3	S_m4	S_m5	S_m6	S_m7	S_m8	S_m9	S_m10	S_m11	S_m12	S_m13	S_m14	S_m15	S_m16	S_m17	S_m18	S_m19	S_m20	S_m21	S_m22	S_m23	S_m24	S_m25	S_m26	S_m27	S_m28	S_m30	S_m31	S_m32	S_m33	S_m34	S_m35	S_m36	S_m37	S_m38	S_m39	S_m40	S_m41	S_m42	S_m43	S_m44	S_m45	S_m46	S_m47	S_m48	S_m49	S_m50	S_m51	S_m52	S_m53	S_m54	S_m55	S_X1	S_X2	S_X3	S_X4	S_X5	S_X6	S_X7	S_X8	S_X9	S_X10	S_X11	S_X12	S_X13	S_X14	S_X15	S_X16	S_X17	S_X18	S_X19	S_X20	S_X21	S_X22	S_X23	S_X24	S_X25	S_X26	S_X27	S_X28	S_X30	S_X31	S_X32	S_X33	S_X34	S_X35	S_X36	S_X37	S_X38	S_X39	S_X40	S_X41	S_X42	S_X43	S_X44	S_X45	S_X46	S_X47	S_X48	S_X49	S_X50	S_X51	S_X52	S_X53	S_X54	S_X55	I_nu	I_omega	acc	update	temperature 
100	-268.823714926189	-0.0461118349269956	0.242199169143513	0.552706858520396	0.847734612631612	0.986680059344508	0.00544277613284066	-132.316605729303	-0.172632754702567	-0.187389562867686	0.174493393580368	0.146255212189987	0.0200105241901495	-0.00690789281725798	0.177196596003384	0.311021002766764	0.0934619195946938	0.129493963988948	0.103976984288116	0.11372019475256	0.00468179897823484	0.33978837825979	0.352101793329101	0.566148635508996	0.0270546953634074	0.166515481839462	-0.257304996772159	-0.0532158134705596	-0.122306000362475	-0.0264078966639954	-0.00627038077764485	0.247824309045824	0.209867711610812	0.0704039504242218	-2.40560968459902	-1.72752183189469	-1.67609644850436	-2.16337752824348	0.335539764622217	-2.84808478253178	-2.16920722128036	-0.428542563978371	-1.50926720881365	-2.12487643764145	-2.04814250829188	-1.93463480362677	-2.34934098311242	-0.479941708493823	-0.43705228712744	-1.87852018699361	-2.19882539131912	-1.60993643915862	-2.50866778729721	-1.93235351301233	-1.62984329632824	-2.00704428198427	-1.48192880655259	-1.39841885328472	-1.28069502952662	-3.03590003463396	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	0	0	0.6	sig2_logX	1 
200	-301.903634037245	0.198833164435444	-0.69294568519104	0.428340170420706	0.848998366072774	0.989175713818986	0.00973010681569576	-166.45075682287	-0.187685557913194	-0.230534013386797	0.172739189932881	0.0788097849739013	-0.416119254828451	-0.164907579037389	0.263367653088232	0.396021548201791	0.120360160604849	0.126149218330642	0.0879973627598771	0.113838057519384	0.00427010231145098	0.464706897725588	0.475674029637112	0.588751229397049	0.0260745260787417	-0.290373619211487	-0.257797954442415	-0.045307849223232	-0.133738380505629	0.0508956849010597	0.0250290355022604	0.166343693333772	0.148815363687069	0.067580656283142	-1.51524339161994	-1.368714397762	-0.925240298581921	-2.24590921493885	1.24205533295171	-0.15859412080495	-2.58929475272754	-1.64362260820556	-2.19908924074721	-2.46339137546889	-2.48491187338783	-2.49831223629639	-1.85716753099474	-1.10929418466602	-1.0321178802114	-2.33811426177617	-2.37513430969171	0.225777953107544	-2.57904170979812	-1.82467528847675	-2.23839091784163	-2.10831773880599	-2.35896815852371	-0.867619788886241	-0.791124811276791	-3.87175708123949	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	0	0	0.635	nu	1 
300	-272.996870130804	0.293618608376201	-1.3259084068456	0.393956845630892	0.934209611555561	0.977797409431078	0.0123449735483155	-137.146284747439	-0.0843983726946606	-0.150846560679333	0.214605365253816	0.199603273383181	0.0263323735151897	-0.155293524558138	0.237159310939978	0.365515161868455	0.0729695450040348	0.112117896500932	0.0874832272004499	0.113871026598544	0.00415565935372213	0.467562230292064	0.458180984749485	0.545618425724672	0.0257989341815773	0.0679321552994982	-0.258879801880989	-0.124008640015466	-0.137108655205803	0.0778004631502095	0.0578071699091308	0.241535197059678	0.214215474535888	0.0667054979295769	-2.08348702129605	-2.64673896135402	-1.31457207382417	-3.07637690253909	-0.74588154572581	-0.289705083169085	-2.06239546955683	-1.33491041813085	-1.26992064022234	-1.94991988077238	-1.83720700839341	-2.04138852863842	-2.26180760314583	-0.916535228011585	-0.968338633263782	-1.59833962591606	-1.61125813264102	-0.845477925479283	-2.8372183571016	-0.636378046610376	-0.55836044988893	-2.84360913541548	-3.24601069795939	-1.32777398871719	-1.27747911545589	-4.09218687476846	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	0	0	0.646666666666667	NA	1 
400	-239.308944165086	-0.0802031956853559	0.303209801473996	0.290055153919384	1.06115812029224	0.981632243334316	0.00873190512880683	-103.216277060517	-0.120198817969381	-0.163491764305396	0.181966670362947	0.175297271000647	0.169337711765825	-0.00179311458374972	0.251063919176415	0.358172544573614	0.106606842201633	0.128710776320243	0.0945167379962994	0.113956526677574	0.00386031915565236	0.452557356065383	0.478876997089881	0.53763129996483	0.0250813252377471	0.0465266309471708	-0.248990479985043	-0.0881564545681646	-0.146230593928487	0.0773408484473471	0.0627718052491924	0.257596564810607	0.230568105987784	0.0642305230283187	-2.78252266062153	-2.52226124646893	-0.980126832062109	-2.05707014830049	-1.03001579629662	-2.7804425641898	-1.93001417170235	-2.09623336594642	-1.61639948003019	-2.91397476937669	-2.67390079178047	-2.64158759967918	-2.49390441445082	-1.35755735503289	-1.12174348890863	-1.43055815317946	-1.81603715425822	-0.736606979708534	-2.98831846415675	-2.68428459074574	-1.84764591698131	-3.26187868058353	-3.49075201688624	-1.45023446315705	-1.43327697441517	-3.34148934579112	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	0	0	0.6425	sig2_m	1 
500	-249.121657889864	-0.0370897828302535	0.167955689240001	0.120855816085823	1.16014938052744	0.983807131035719	0.000939573161303994	-113.646805565415	-0.156902318170239	-0.194312390263912	0.248648206579418	0.220862421910863	0.112347499988202	-0.134635914925845	0.208836096463866	0.302865367690023	0.0516458608943216	0.100953966524537	0.117341566291779	0.114138993447615	0.00323694068048881	0.366758965320765	0.3854012007632	0.58111206308563	0.023535698238072	-0.0757567331762805	-0.260711265673574	-0.122214558650066	-0.167759301867622	0.0749570904696788	0.0668448594454127	0.319030887856836	0.156965797669677	0.0576923632642034	-1.93273201826189	-1.81091063539305	-2.29164765127624	-3.29783940314555	-2.35903884731115	-0.586372315270128	-2.11267174934429	-0.8454351370071	-1.06742718370064	-1.7818403245145	-1.32093028521578	-1.21050695046231	-1.86252838330928	-0.638377118938362	-0.550017417294747	-1.99500651091523	-2.33193327728696	-0.291305493180412	-2.77378116368921	-2.23484788733861	-1.78145626661185	-3.17300844480533	-3.09059242621841	-2.33451201559173	-0.935945212461217	-0.864941150170862	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	0	0	0.63	omega	1 
600	-233.81170819869	0.352197841719699	-1.84031828517158	0.125652380618267	1.24974940503947	0.984103116106708	0.00125363661907614	-97.4788364087173	-0.123323377638474	-0.155585182915421	0.21369262390894	0.19955527929629	0.187746909985349	-0.042231137431063	0.266815879153197	0.360103573401931	0.0821845437754541	0.129489955678751	0.108477512654152	0.114134191445567	0.00325322693151681	0.523640514091879	0.522114722278908	0.501261081702757	0.023576624180109	-0.00649177625890483	-0.264249407095197	-0.062599858496407	-0.167153024849061	0.00693106373689999	0.0244723013700097	0.25979947914241	0.297580197638601	0.0578914477608245	-2.90801592779936	-2.82169831872304	-1.50835948767493	-2.34713709160333	-2.80043136746885	-1.35142656853746	-2.64612912603334	-1.71078333801845	-1.34488744028715	-1.99580017142604	-1.8892158240986	-1.64755898081863	-1.66390599308006	-1.61863377839824	-1.57591648207098	-1.07604041582405	-1.48848753055262	-0.522864136293563	-2.84549503469525	-0.534231846983563	-1.60789889732729	-2.86979733662398	-2.09841832473779	-1.40753197697625	-2.64815540408137	-2.14142875575257	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	0	0	0.631666666666667	I_nu	1 
700	-262.805813211851	0.32558599493978	-1.45460790232497	0.10475881034974	1.24684397886507	0.988204256019089	0.00370428807800635	-126.576514358303	-0.130698909561281	-0.164516226871965	0.218838599760695	0.214890501926912	0.181569651450867	-0.024627920373391	0.282578351639556	0.495481907870982	0.113247127011702	0.158493128592466	0.116556502963868	0.114155134235812	0.00318224519755406	0.486425973727436	0.417014444460632	0.532029531592744	0.0233980358880652	0.0252841647999312	-0.251552286043612	-0.176820368845269	-0.169814131685865	0.0579795956105321	0.0482277615879028	0.169199041847724	0.288834284588158	0.0570105680220681	-2.9786933838723	-2.65618673260962	-1.07299447175501	-2.94139676100881	-1.60370627735971	-1.72612202558579	-2.17823042425529	-1.35301567795821	-1.88779928056342	-1.95165139910662	-2.35849813476774	-1.836082585918	-1.88739729804906	-0.455165190043338	-0.741489015238348	-1.31597092925652	-1.87467837847794	-0.64562818669973	-3.5527335863657	-0.947510367017342	-0.757861255513002	-4.28534527703524	-3.98672579566354	-0.823006523282185	-2.40462458399797	-1.84656301137032	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	0	0	0.63	I_omega	1 
800	-237.001071406569	0.113191900844205	-0.190108442153946	0.14542760327924	1.42246459758375	0.989145953732077	0.0116887998650782	-98.7236146569962	-0.0174998724944317	-0.14325443704116	0.241836580964561	0.223893112194042	0.194689360229084	-0.0392850159462362	0.203092462951921	0.347810062859205	0.120159850273156	0.151915737965115	0.145634493931004	0.114114430583574	0.00332031439457061	0.400612989055049	0.430692385838148	0.534347256437263	0.0237448970413128	0.104573142801372	-0.256102521365959	-0.0787694823271103	-0.164682100594355	0.139157623751475	-0.0447055753852556	0.172145396708519	0.237083405324861	0.0586932258811311	-2.46914409319305	-3.02293580896723	-2.87445994271742	-3.35203004093905	-1.83420387669615	-2.39368236737653	-1.32550084247817	-1.20559929802104	-1.83455525015508	-2.74065782691557	-2.14448560591566	-1.38659432430808	-1.82703182681529	-0.997807914047168	-0.803654687111531	-1.5047842092844	-1.15806823468729	-1.06171717615882	-2.84960498139877	-2.60542044493237	-3.7142696124177	-0.418341462110959	-1.34908470054867	-0.856858408072974	-1.5264549804097	-1.79967693754377	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	0	0	0.62625	NA	1 
900	-244.234680297974	0.328166300018027	-1.43960114320627	0.0534034134633837	1.43814054782037	0.98748232761398	0.00873787792399525	-106.651712985695	-0.0473489515053759	-0.158866786751785	0.242046953078317	0.225355758277094	0.163689814273878	-0.0317561101068988	0.241742821585536	0.366312697487977	0.110753805737477	0.127266115273976	0.100813779351783	0.114206893760753	0.00300733622117647	0.42341410392369	0.4527286437917	0.5786774081139	0.0229555493578267	0.167562140324733	-0.255739070703952	-0.096093213692049	-0.176585147738284	-0.0379018970233223	-0.0908578787992586	0.244560006302739	0.128409086707356	0.0546839999701265	-1.48400330292074	-2.58236966113903	-2.73372534403097	-3.90242649682895	-1.04629115842921	-2.10172321052619	-1.67311413685752	-1.63507984473754	-1.84040863416795	-2.44861466292486	-2.2216669612287	-2.11273107806219	-2.31835314022438	-1.0901250481959	-0.881794301040598	-1.95987637473965	-2.09047029760057	-1.57454708710559	-3.07764957537732	-1.5098615813583	-2.42558849202195	-0.690187095234341	-0.910981986130414	-1.37311626314737	-0.684235394364327	-2.51753625273668	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	0	0	0.62	omega	1 
1000	-284.40601929704	-0.130510084647908	0.308901721114116	0.129330051904544	1.4325812209025	0.98345211179927	0.0181299221515655	-143.010907452787	-0.109096449764965	-0.306760507101901	0.203768151450291	0.210035591251627	0.106195171015574	-0.0779379335980553	0.277935691780285	0.702402687857806	-0.0494545940544862	0.10082417910536	0.0810764524373512	0.114130511967	0.00326571041553519	0.573568431757607	0.24677362259075	0.524789405470464	0.0236079740308005	-0.256590789461556	-0.282921501081961	-0.0942054326731703	-0.166690023913091	0.135530573926049	0.0431345528624057	0.252883121449235	0.031189621011889	0.0580428541418731	-0.269456855184099	-0.98579524636962	-0.276015909212848	-3.10705757525621	-0.997237973816993	-0.949504355981748	-2.01528521661908	-0.407466747354945	-0.64218913613205	-0.484914848298755	-0.695071650245113	-0.879026004684945	-1.34676946300586	0.509251835326238	-0.122050871166549	-1.2297721847051	-1.99683652968379	0.136946832144626	-2.24328956679746	-1.20553832265665	-1.75806196180481	-1.32271108228502	-2.57028089593682	-1.50891599687654	-0.39128536972985	-0.324441774833923	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	0	1	0.62	nu	1 
