iter	posterior	m_root	logX_root	sigma^2_m	sigma^2_logX	nu	omega	log.lik	m_anc_n30	m_anc_n31	m_anc_n32	m_anc_n33	m_anc_n34	m_anc_n35	m_anc_n36	m_anc_n37	m_anc_n38	m_anc_n39	m_anc_n40	m_anc_n41	m_anc_n42	m_anc_n43	m_anc_n44	m_anc_n45	m_anc_n46	m_anc_n47	m_anc_n48	m_anc_n49	m_anc_n50	m_anc_n51	m_anc_n52	m_anc_n53	m_anc_n54	m_anc_n55	logX_anc_n30	logX_anc_n31	logX_anc_n32	logX_anc_n33	logX_anc_n34	logX_anc_n35	logX_anc_n36	logX_anc_n37	logX_anc_n38	logX_anc_n39	logX_anc_n40	logX_anc_n41	logX_anc_n42	logX_anc_n43	logX_anc_n44	logX_anc_n45	logX_anc_n46	logX_anc_n47	logX_anc_n48	logX_anc_n49	logX_anc_n50	logX_anc_n51	logX_anc_n52	logX_anc_n53	logX_anc_n54	logX_anc_n55	S_m1	S_m2	S_m3	S_m4	S_m5	S_m6	S_m7	S_m8	S_m9	S_m10	S_m11	S_m12	S_m13	S_m14	S_m15	S_m16	S_m17	S_m18	S_m19	S_m20	S_m21	S_m22	S_m23	S_m24	S_m25	S_m26	S_m27	S_m28	S_m30	S_m31	S_m32	S_m33	S_m34	S_m35	S_m36	S_m37	S_m38	S_m39	S_m40	S_m41	S_m42	S_m43	S_m44	S_m45	S_m46	S_m47	S_m48	S_m49	S_m50	S_m51	S_m52	S_m53	S_m54	S_m55	S_X1	S_X2	S_X3	S_X4	S_X5	S_X6	S_X7	S_X8	S_X9	S_X10	S_X11	S_X12	S_X13	S_X14	S_X15	S_X16	S_X17	S_X18	S_X19	S_X20	S_X21	S_X22	S_X23	S_X24	S_X25	S_X26	S_X27	S_X28	S_X30	S_X31	S_X32	S_X33	S_X34	S_X35	S_X36	S_X37	S_X38	S_X39	S_X40	S_X41	S_X42	S_X43	S_X44	S_X45	S_X46	S_X47	S_X48	S_X49	S_X50	S_X51	S_X52	S_X53	S_X54	S_X55	I_nu	I_omega	acc	update	temperature 
100	-235.296969163229	-0.0700985853420002	-0.531730063472068	0.0979695723298937	0.767618419802748	0.983286144344602	0.000141556321177632	-103.990244502227	-0.120940519102123	-0.179372366123045	0.162003517182252	0.226648751921977	0.186514348075373	0.0032171814319345	0.324379336371269	0.397083055428971	0.0983659649099324	0.187389785492765	0.150718107904574	0.185731835491512	0.00315915790058867	0.462324586672142	0.444971711760902	0.566157832650159	0.0395499571399014	-0.159980935619756	-0.256734463555881	-0.0930780325049518	-0.0957025809402219	0.0843264758204337	0.0734914076451491	0.244674271279246	0.193692914212163	0.0567165150241974	-2.32304106095099	-2.25418559793882	-1.52727615473257	-2.99251665016756	-1.9368427293307	-2.25846571223977	-2.1804726801642	-1.22456018508166	-1.84599541779433	-2.14316690720444	-1.99288145970896	-1.96544525126291	-2.12586226515297	-0.880654312735257	-0.850414393141039	-1.83333306844093	-1.96350632944517	-0.440065805603561	-3.0086494056469	-1.33785515649128	-1.27433711658742	-2.66492165252333	-2.74545309422103	-1.32676321397671	-1.42955030625587	-2.31444148285033	-1	-1	1	-1	1	1	-1	1	-1	-1	-1	1	-1	1	1	-1	1	-1	1	-1	-1	-1	-1	-1	1	-1	1	-1	1	1	-1	-1	1	1	-1	1	-1	1	1	-1	1	1	1	-1	1	1	1	-1	1	-1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	1	1	1	-1	-1	1	-1	-1	1	-1	1	-1	1	1	-1	-1	1	-1	-1	1	-1	1	-1	1	-1	-1	1	-1	1	1	1	1	-1	1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	1	-1	0	0	0.67	sig2_logX	1 
200	-235.842810159654	0.191061850476302	-0.540732362559421	0.122667842512019	0.836637800619937	0.984337049308233	0.00946719161700457	-103.643136084893	-0.137224427220095	-0.178348432334811	0.161095731097023	0.226100250357665	0.181645066307206	-0.00921906246230329	0.242023177292605	0.357400441184352	0.0956302469770296	0.177317984297679	0.137505074946377	0.185573189812605	-0.071818859752831	0.403334092462779	0.38080909873646	0.5656895023712	0.0397171342691744	-0.1600832037328	-0.255977957052155	-0.0885871379000206	-0.093414797605213	0.0488195661623879	0.0450288366999454	0.244486776779111	0.193208807402544	0.057767788745064	-2.31993577409896	-2.2529618117225	-1.52810345787913	-2.98980390879827	-1.93517662090447	-2.25601617636151	-2.17950724647633	-1.22591152069356	-1.84586566598772	-2.14264565590977	-1.99265812585889	-1.96527563000929	-2.12567444386847	-0.881634050751707	-0.8509296063584	-1.83331014684292	-1.96326443800747	-0.442862592989903	-3.00737705743804	-1.34696693394957	-1.27941789998256	-2.65830010316711	-2.7411761865282	-1.32760612020816	-1.43065422261157	-2.30652288999378	-1	-1	-1	1	1	-1	1	-1	-1	-1	-1	1	-1	-1	1	1	1	-1	1	-1	-1	-1	1	-1	1	-1	1	-1	-1	-1	-1	-1	1	1	1	-1	-1	1	1	-1	1	1	1	1	1	1	1	-1	1	1	1	-1	-1	1	-1	1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	1	-1	-1	1	-1	-1	-1	1	1	-1	1	-1	-1	1	1	-1	-1	1	1	-1	-1	-1	1	1	-1	1	1	-1	1	1	1	1	1	-1	-1	1	-1	1	1	0	0	0.665	NA	1 
300	-229.827456689821	0.198067248920121	-0.569696758310576	0.088053993335925	1.06533383623697	0.987350556040183	0.00435446688672528	-95.685498308075	-0.14091300209197	-0.194836047898203	-0.073309640478071	0.228026902003114	0.205042498988867	-0.0176458052689472	0.240600935256688	0.347656784522223	0.104017788953067	0.117814353366937	0.0917602689656998	0.114171926208918	0.00312541964914963	0.383386618585487	0.380601763442513	0.563804352953322	0.0232546566513354	-0.0259673434108029	-0.257001850133407	-0.0946020922983626	-0.0966362797696463	0.0475665767389636	0.044277109016252	0.24523804215179	0.193272324004517	0.0532898720356858	-2.30988003835564	-2.24896050986671	-1.53082840120294	-2.9809197615391	-1.92997591905714	-2.24809814665825	-2.17635528824617	-1.23036133608064	-1.84544312407304	-2.14093076296121	-1.99192251095712	-1.96471716268107	-2.12505392696628	-0.884869731056224	-0.852633090703646	-1.83323562712041	-1.96247030581772	-0.452047953021356	-3.0031275081575	-1.37529430766984	-1.29563135639467	-2.63693724775385	-2.72729589837934	-1.33038351597521	-1.43440644684373	-2.2821145498772	1	1	1	-1	-1	1	1	-1	1	1	1	-1	-1	-1	-1	1	1	-1	1	-1	1	1	1	1	1	-1	1	1	-1	1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	1	1	-1	-1	-1	-1	-1	1	-1	-1	1	-1	-1	1	-1	1	-1	-1	-1	1	-1	1	1	1	1	-1	1	1	1	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	-1	-1	1	1	-1	1	1	-1	1	1	-1	-1	-1	1	1	1	1	1	1	-1	-1	-1	0	0	0.676666666666667	omega	1 
400	-229.130382848091	0.199068947980609	-0.567823551917251	0.0978711353987455	1.01074664808344	0.980714983218349	0.00811621442902833	-95.4414662792264	-0.124317641572789	-0.161578882551514	0.232823623692926	0.217208908416246	0.179169265654299	-0.0228547146527056	0.217542255940238	0.259358640480045	0.0984156723234233	0.187379957384642	0.15072706229906	0.185732468976204	0.00315882307843413	0.442517115795518	0.445123271422664	0.563619420515344	0.0233389824250303	-0.0255422939477056	-0.246693657679544	-0.0927541421015929	-0.0957118068605484	0.0478136464927038	0.0444276208952725	0.245098093673679	0.193127614640756	0.053751145176877	-2.31053335754197	-2.24922227636789	-1.53064920671225	-2.98150167424909	-1.93030501232522	-2.24861192613511	-2.17656127598781	-1.2300687469936	-1.84547068615298	-2.14104345064667	-1.99197088956266	-1.96475388013925	-2.1250948245323	-0.884656525171654	-0.852520752546288	-1.83324048191503	-1.96252241035706	-0.451445113986939	-3.00340961760742	-1.3735068666097	-1.29458891329888	-2.63832147217271	-2.72819913682641	-1.33020082557897	-1.43415473229136	-2.28364572545083	-1	-1	1	-1	1	1	1	-1	1	1	-1	-1	-1	1	-1	1	1	-1	-1	1	1	-1	1	1	-1	-1	1	1	-1	-1	1	-1	-1	1	-1	-1	1	1	1	-1	1	-1	-1	-1	1	1	-1	1	-1	1	1	-1	-1	1	-1	1	1	-1	-1	-1	-1	1	-1	-1	1	1	-1	-1	1	1	-1	-1	-1	1	-1	-1	-1	-1	-1	1	-1	1	1	1	1	1	-1	-1	1	1	-1	1	1	1	-1	1	1	1	1	-1	-1	1	1	-1	-1	-1	1	1	0	0	0.665	sig2_logX	1 
500	-231.298452619421	0.198215057958384	-0.562265795192524	0.0873630007868632	0.995758626554161	0.976559669207781	0.0113543332298286	-97.8423543349804	-0.124909128410021	-0.181370248816697	-0.0742123237271727	0.227998008425573	0.205381903659661	-0.0168781922965027	0.243608141415238	0.359301535182011	0.0984326415465481	0.187482605171611	0.150784889291963	0.185800147883623	0.00312306764458784	0.404181461364764	0.381239040185493	0.570217169836184	0.023248714363757	-0.026727402370771	-0.258512523850486	-0.14185054997019	-0.172070389020549	0.07464419342013	0.0734718754239253	0.24154779137536	0.232889800454008	0.0532570646059621	-2.31246930632405	-2.24999647422175	-1.53011997936767	-2.98322213911662	-1.93128726267012	-2.25013491377571	-2.17717067763508	-1.22920460516688	-1.84555227030356	-2.14137632473991	-1.99211376437479	-1.964862325397	-2.12521553298424	-0.884027207077288	-0.852189240636565	-1.83325485725052	-1.96267638935667	-0.449663750483653	-3.00424066087822	-1.36816782018796	-1.29149104675242	-2.64242632278383	-2.73087447437177	-1.32966131045931	-1.43341517110682	-2.28822632043032	-1	-1	1	-1	1	1	1	-1	-1	1	1	-1	1	-1	-1	-1	-1	1	-1	-1	1	-1	1	-1	1	1	-1	1	-1	1	1	1	1	-1	-1	-1	-1	1	1	-1	1	1	1	1	-1	-1	-1	-1	1	-1	1	1	1	-1	1	-1	1	-1	1	-1	-1	1	1	-1	1	1	-1	-1	-1	1	-1	1	1	-1	1	1	-1	-1	1	-1	1	-1	1	1	-1	-1	1	-1	1	1	1	-1	-1	1	-1	-1	-1	1	1	1	1	-1	1	-1	-1	-1	1	-1	0	0	0.67	sig2_logX	1 
600	-229.546409061847	0.200236657527981	-0.572640755658298	0.110787598919123	1.08916343377437	0.979457362294197	0.0176441992656328	-94.9560362154384	-0.118301148883512	-0.160989442060553	0.232944691171276	0.218274581460174	0.204341485741021	-0.0147474649298706	0.219445741770873	0.267909433796437	0.0848014103460011	0.137650842239462	0.084735980652625	0.114149084435817	-0.0718902300435212	0.463085424913906	0.44558819947465	0.569766942243642	0.0234496517035361	-0.0254310894630175	-0.257755168190802	-0.13630205074872	-0.16904086830678	0.0752140992442131	0.0740656837223164	0.245003201092796	0.192872363137378	0.0543446043854279	-2.30885242311269	-2.24854826098344	-1.53111087112196	-2.98000311518213	-1.92946069941351	-2.24729019757747	-2.17603094403696	-1.23082254866437	-1.84539974057653	-2.1407531520453	-1.9918462481949	-1.96465928534024	-2.12498943174767	-0.885205939894539	-0.852810265499422	-1.83322798730859	-1.96238820452774	-0.452997898422049	-3.00268207790174	-1.37809131970072	-1.29726799572573	-2.63476103302237	-2.72587477143805	-1.33067150925384	-1.43480453177896	-2.27972087653285	-1	1	-1	1	-1	-1	1	-1	-1	1	1	-1	1	1	-1	-1	1	-1	-1	1	1	-1	1	-1	1	1	-1	1	-1	-1	1	-1	-1	-1	1	-1	1	1	1	1	-1	-1	1	-1	-1	1	-1	-1	1	1	1	1	-1	1	-1	1	-1	1	-1	1	1	-1	1	-1	-1	1	-1	1	-1	-1	1	1	-1	-1	1	1	-1	-1	1	1	-1	1	-1	-1	1	-1	1	1	-1	1	1	-1	1	1	-1	-1	-1	-1	1	1	-1	-1	1	1	1	1	-1	-1	0	0	0.665	sig2_logX	1 
700	-226.230435980873	-0.0848867935555305	-0.588665643721865	0.0815152306482195	1.22083687217906	0.966705530311446	0.034716600808315	-90.6001975059569	-0.135316946899236	-0.181586455513638	-0.0757409464046356	0.217433009696306	0.182282834320938	-0.0158131865096318	0.218516940420061	0.261354096836943	0.102536429190094	0.11252084409974	0.0847169172145271	0.114178510693657	-0.0720663350654747	0.442863935951953	0.44552108004368	0.563935647228289	0.0231983892073261	-0.0243036026664153	-0.257232050578324	-0.0968751123300732	-0.0972568685713583	0.0749765393973184	0.0740983727427542	0.245550777892166	0.193203802434395	0.0529775996558781	-2.30324094177691	-2.24628596435245	-1.53266664641448	-2.97496821500334	-1.9266985689485	-2.24288214826271	-2.17425234399229	-1.23336275933157	-1.84516217681988	-2.13977537297332	-1.99142615403455	-1.96434053536207	-2.12463360175258	-0.887060512075551	-0.853788166189605	-1.83318619174091	-1.96193671378006	-0.458222945425266	-3.00021306640384	-1.39305832823886	-1.30614030620872	-2.6229002029073	-2.71810552405799	-1.33225797645166	-1.43702397406791	-2.26695922215443	1	1	-1	1	-1	-1	-1	-1	1	1	-1	-1	-1	1	-1	-1	1	-1	-1	1	1	1	1	-1	1	-1	1	1	1	-1	1	1	-1	1	1	-1	1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	1	1	1	1	-1	1	-1	1	1	-1	-1	-1	1	-1	-1	1	-1	-1	1	-1	1	1	1	1	-1	-1	-1	-1	-1	1	-1	-1	1	-1	-1	1	1	-1	1	1	1	1	1	1	1	-1	1	-1	1	1	-1	1	1	1	-1	-1	1	-1	-1	-1	0	0	0.677142857142857	omega	1 
800	-228.028355599031	-0.0847192021547387	-0.590604184047966	0.0803691907227039	1.23699411858339	0.971161988349631	0.0360046300874092	-92.2391847626374	-0.12920287186512	-0.167284999501509	0.152097827055023	0.218889201356996	0.210792444489533	0.0005365580601428	0.317461625117588	0.367882876894758	0.123160148083158	0.187541242604489	0.150831193963527	0.185845252258002	0.00309925570301588	0.404448699776461	0.381220998509776	0.572900652669733	0.0394302656224858	-0.165486234732264	-0.248731730261996	-0.143930638649491	-0.172988129290731	0.0470217591616534	0.0439570756977678	0.24558876235334	0.19320386234098	0.0529224458708941	-2.30256006311104	-2.24601017458191	-1.53285695877787	-2.97435387985314	-1.9263692337924	-2.24234773638441	-2.17403566981249	-1.23367349793908	-1.84513327592095	-2.13965581475134	-1.99137475730471	-1.96430154555502	-2.12459000257483	-0.887287709226239	-0.853908033115123	-1.83318111172039	-1.9618815645562	-0.458861312410516	-2.99990925957905	-1.39483976545192	-1.30720945201366	-2.62146368125418	-2.71716179374547	-1.33245207402236	-1.4372984148411	-2.2654454124739	-1	-1	1	-1	1	1	-1	-1	-1	-1	1	1	1	-1	-1	1	1	-1	-1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1	-1	-1	1	-1	-1	1	-1	1	1	1	1	-1	1	1	1	1	1	1	-1	-1	1	1	-1	-1	1	1	-1	-1	-1	-1	1	1	-1	-1	-1	1	-1	1	1	-1	1	-1	-1	-1	-1	-1	1	-1	1	1	1	1	-1	-1	-1	1	1	1	1	-1	-1	1	-1	1	1	1	1	-1	1	1	-1	1	1	-1	-1	0	0	0.6825	sig2_m	1 
900	-228.45463735667	-0.0824907809672106	-0.572409709909277	0.0741853284556418	1.08728928343859	0.967437878074124	0.0429515607724897	-94.2027713931365	-0.140041613568618	-0.19552130427922	-0.0732283783212059	0.227487618651687	0.189972438964405	0.00909711486210015	0.322720741861205	0.386890825661629	0.104023397740248	0.117831437965453	0.0917618721596974	0.1141858996311	0.00307819174273774	0.44348115500668	0.445977938809337	0.570463603728229	0.0231352168334521	-0.0254651694039488	-0.247431751354258	-0.0981100183604039	-0.0979571953478103	0.0568549446367886	0.0435952020845993	0.240329032389237	0.193475579993795	0.0526226406426953	-2.30893310759218	-2.24858065192047	-1.53108866552453	-2.98007514654462	-1.92950104601811	-2.24735362665185	-2.17605642552493	-1.23078629188468	-1.84540314824239	-2.14076711346778	-1.99185224347886	-1.96466383514438	-2.12499450306843	-0.885179504162638	-0.852796333269253	-1.83322858731799	-1.96239465725117	-0.452923235556183	-3.00271712646424	-1.37787234670717	-1.29713962692271	-2.63493185463383	-2.72598637114714	-1.33064886889533	-1.43477318057005	-2.27990817085008	1	1	1	-1	-1	-1	-1	1	1	1	-1	-1	1	1	-1	1	-1	-1	1	-1	1	1	-1	-1	-1	-1	1	1	1	1	-1	1	1	1	1	1	-1	-1	-1	-1	1	1	-1	-1	-1	-1	-1	1	1	-1	-1	-1	1	1	-1	-1	-1	1	1	1	1	1	1	-1	-1	1	1	-1	1	-1	1	1	-1	1	-1	-1	1	-1	1	-1	1	-1	-1	1	1	1	-1	1	-1	-1	-1	1	1	-1	1	1	-1	1	-1	-1	1	-1	1	-1	-1	1	-1	-1	0	0	0.688888888888889	NA	1 
1000	-230.869515171502	0.197882099018057	-0.566276026759977	0.07554263709113	1.03778357029892	0.958544994946569	0.0322561494936235	-97.0987521357049	-0.140153817751447	-0.187069538649337	-0.156320379533494	0.219259318040522	0.213028687633221	0.00614581511134657	0.310630117794183	0.340391386752696	0.0805317404530816	0.122402136580276	0.0978285487359265	0.114184530769552	0.00308281589169243	0.384355898462656	0.381525341783818	0.573005542898042	0.0393973609926552	-0.163756784496264	-0.257411720287653	-0.0977701906324481	-0.0978271397321714	0.0745293237619864	0.0734432872389873	0.241648904978791	0.233505319364263	0.0557165397743767	-2.31107277681858	-2.24943821591568	-1.53050148064936	-2.98198163591118	-1.93057763541199	-2.24903620106431	-2.1767312242649	-1.22982753746536	-1.84549343160507	-2.14113635758072	-1.9920107716886	-1.9647841502498	-2.12512853008392	-0.884480806708971	-0.852428176269948	-1.83324448896183	-1.96256537699517	-0.450948017051852	-3.00364191256357	-1.37202562474108	-1.29372707670867	-2.63946476169455	-2.72894475202396	-1.33005022225605	-1.43394771121941	-2.28491548887337	1	1	1	-1	-1	-1	1	-1	1	-1	1	1	1	-1	1	-1	-1	1	-1	1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	-1	-1	1	1	-1	1	-1	1	-1	1	-1	1	-1	-1	1	-1	1	1	1	1	1	-1	1	-1	1	-1	1	1	-1	1	-1	1	-1	-1	-1	-1	1	1	1	1	-1	1	-1	1	-1	-1	1	1	-1	1	1	-1	1	1	-1	1	-1	1	1	-1	-1	1	-1	-1	1	1	1	-1	-1	-1	1	1	-1	-1	-1	-1	0	0	0.688	I_omega	1 
