iter	posterior	m_root	logv_root	sigma^2_m	sigma^2_logv	nu	omega	log.lik	m_anc_n30	m_anc_n31	m_anc_n32	m_anc_n33	m_anc_n34	m_anc_n35	m_anc_n36	m_anc_n37	m_anc_n38	m_anc_n39	m_anc_n40	m_anc_n41	m_anc_n42	m_anc_n43	m_anc_n44	m_anc_n45	m_anc_n46	m_anc_n47	m_anc_n48	m_anc_n49	m_anc_n50	m_anc_n51	m_anc_n52	m_anc_n53	m_anc_n54	m_anc_n55	logv_anc_n30	logv_anc_n31	logv_anc_n32	logv_anc_n33	logv_anc_n34	logv_anc_n35	logv_anc_n36	logv_anc_n37	logv_anc_n38	logv_anc_n39	logv_anc_n40	logv_anc_n41	logv_anc_n42	logv_anc_n43	logv_anc_n44	logv_anc_n45	logv_anc_n46	logv_anc_n47	logv_anc_n48	logv_anc_n49	logv_anc_n50	logv_anc_n51	logv_anc_n52	logv_anc_n53	logv_anc_n54	logv_anc_n55	So29	So30	So31	So32	So33	So34	So35	So36	So37	So38	So39	So40	So41	So42	So43	So44	So45	So46	So47	So48	So49	So50	So51	So52	So53	So54	So55	Sn29	Sn30	Sn31	Sn32	Sn33	Sn34	Sn35	Sn36	Sn37	Sn38	Sn39	Sn40	Sn41	Sn42	Sn43	Sn44	Sn45	Sn46	Sn47	Sn48	Sn49	Sn50	Sn51	Sn52	Sn53	Sn54	Sn55	In	Io	acc	update 
100	-5709.78431521523	13.3973566308711	0.297373317090648	0.0284230247542635	0.0209408623811416	0.00719473858363926	0.0219462263351306	-5517.26998693834	13.7146673131971	11.9485248662255	12.867586657296	16.6894672505114	16.0881034354924	14.9993597043287	17.465518296359	17.937717194145	15.0934219238821	15.837660870846	14.4582331437122	15.8920434631807	12.9250979784694	20.8192316904648	19.600899423693	18.9060374644617	13.8592346461455	9.98376948363793	10.2120366765595	11.1813384446109	11.4166088890129	15.3949132231725	15.224275960712	16.1355337295752	15.9626521124143	13.9271615624993	-0.842569088360335	-0.491310283644441	-0.17620062055206	-0.0690388905346566	-0.726237379686435	-0.404090066391247	-0.126583555678861	0.219043258097297	-0.0965051143730136	-0.461371236790444	-0.30673223999312	-0.23313953120106	-0.354788980394732	0.405985421965436	0.381926153744446	-0.200152522444954	-0.429969504899412	-0.235802289232393	-0.47017773397132	0.173295743926312	0.151139775502712	-0.0999350772645171	-0.665496200325731	0.48502060542012	-0.301580600531084	-0.400861457238141	1	-1	1	1	-1	-1	1	1	-1	1	1	1	1	-1	1	-1	-1	1	1	1	-1	1	1	1	-1	-1	1	-1	-1	1	-1	-1	-1	1	1	-1	-1	-1	1	-1	1	1	-1	-1	1	-1	1	-1	-1	1	1	-1	-1	1	0	1	0.42	sig2_m 
200	-2638.87803766671	13.6357935793789	-0.0495316750561854	0.0424625324534625	0.0455111134045385	0.000781071139499543	0.050194893674925	-2443.14448012773	13.5344439886457	11.6593712628029	13.7052173848343	16.5854063861834	16.4734185638863	15.0038932073347	17.7649743814518	18.0024995279906	15.2990103095248	15.7036913630907	14.588725742445	15.9715693877275	12.9559736740446	20.8334138319782	19.5290945286492	18.9822832255096	13.9671523203735	10.058813218012	10.2440824948037	10.9951631784936	11.4881216100898	15.0319207720824	15.2312755937101	16.8905492154689	15.7081769484246	13.5506157818941	-0.240598651689076	-0.23651136758243	-0.164138532871919	-0.00442252445006514	0.057279885541924	-0.591127144554762	-0.251051976587311	0.166753687339219	-0.18439941782844	-0.55067833424153	-0.0961359834997298	-0.314123517787018	-0.103357232769037	0.464276303910613	0.309027515680241	-0.0732068893670391	-0.280834758459409	0.263523383582263	-0.440188946318245	0.189290687244173	0.833748572732432	-0.363943749691204	-0.333510213931376	0.658308415081807	0.073315164487957	-0.121967205260136	1	-1	1	1	1	-1	1	1	-1	1	1	1	1	-1	1	-1	-1	1	-1	1	-1	1	1	1	-1	-1	1	-1	-1	1	-1	-1	-1	1	1	-1	-1	-1	1	-1	1	-1	-1	-1	-1	-1	1	-1	-1	1	1	-1	-1	-1	1	1	0.385	nu 
300	-1808.85366834104	12.9437886273282	-0.0218785600273448	0.042468099857904	0.0674558869486302	0.00586380275664851	0.073565252290573	-1615.85236845531	13.319796824824	11.7210141712708	13.0037463698101	16.3780515996476	16.5141793395538	14.9161594340481	17.7989885855487	18.0915285631881	15.0940461381817	15.7764595430648	14.426283953925	15.9762199265383	12.9195112299947	20.8638139630246	19.8223537581348	18.8207281392659	13.6743910584506	10.1955727595653	9.54821454828402	10.6218908407427	11.1291789313651	15.8943900737401	15.5099245662608	16.9549506662984	14.4944416390262	13.5309541958354	0.142810700384153	-0.491582239067457	0.215736151181338	-0.462724161538146	-0.115256571112272	-0.201713613374816	-0.355633381341348	0.465274648078647	-0.118433093486753	-0.446165550744561	-0.0450538924914966	-0.282284031739661	-0.261750764454501	0.680459394516622	0.381859606217909	-0.0684620540388107	-0.268021331045338	0.266271622923043	-0.513997166739549	0.334937089763948	0.0412555148546987	-1.17339924700514	-0.642739679333293	0.581072262650458	0.496698839586291	-0.470820249728609	1	-1	1	1	-1	-1	1	1	-1	1	1	1	1	-1	1	-1	-1	1	1	1	-1	1	1	1	-1	-1	1	-1	-1	1	-1	1	1	1	1	-1	-1	-1	1	-1	1	1	-1	-1	1	-1	1	1	-1	1	1	-1	-1	-1	0	1	0.356666666666667	sig2_m 
400	-1602.05222854659	13.5982495911393	0.190997850957172	0.0557017482358404	0.0747352748240903	0.00604044841136783	0.0888362672063522	-1408.88250049256	13.6321839149245	11.1777769158202	13.3608153141439	16.1528005116336	17.4273720910998	15.0039997629609	17.6165499296901	18.1901193878083	15.100264586042	15.6820830499198	14.6056853722457	15.8692657584662	12.9490005658411	20.8870127661065	19.6164702488807	18.9865309255138	14.1254154019056	9.5897006232867	9.3946383791661	10.9308304218137	11.2044155645166	15.8145422561839	14.7613253487631	16.1656509271122	15.3312897905128	13.7503475704066	-0.13530690146138	-0.652115229734845	-0.434969821245245	-0.520465098016029	-0.00590253635827204	-0.269415754203565	0.0447903442150832	0.26810404511607	0.0546692642756188	-0.320611687524167	-0.274639131174759	-0.199926418232095	-0.217801158557152	0.558597058447275	0.521382211835609	0.20074434059185	-0.274372401104444	0.0403855914185614	-0.298045497464561	0.671018709394253	1.05400079832651	-0.325970062642777	-0.389601591242021	0.29069684386544	0.40325394904127	-0.176706371392978	1	-1	1	1	-1	-1	1	1	-1	1	1	1	1	-1	1	-1	-1	1	1	1	-1	1	1	1	-1	-1	1	-1	-1	1	-1	1	-1	1	1	-1	-1	-1	1	-1	1	1	-1	-1	-1	1	1	-1	-1	1	1	-1	-1	-1	0	1	0.3125	I_nu 
500	-1417.9738849906	13.6906498396391	0.0865027981180598	0.0605367564556561	0.0825951159063354	0.00531735965516418	0.111900435506832	-1224.68827331832	12.9704609793873	11.1316156326914	13.1400510318359	16.9828477424328	16.1111316248959	14.779968209943	17.7715860338227	18.081294620872	15.2542755569012	15.8664326201749	14.2912854839269	15.9731416831567	12.895306951779	20.5851772844394	19.48863023604	18.8851047778594	13.8942048795605	9.68417033461462	10.0935309826171	10.7367741817886	11.0874916622803	15.5061154538488	15.3102963699141	15.8262092842075	15.2823889973992	14.0411041242358	0.199765574761801	0.217013810850862	0.0465225051480587	-0.326572867138843	-0.170082916129806	0.182854782556238	-0.313319816217358	0.22954342314326	-0.25312338511397	-0.266987920403355	0.0231326887269108	-0.196306204281775	-0.136342557414248	0.705928123257367	0.400487216208329	0.0432040266315279	-0.232754252758568	0.0830201154828225	0.252957014343832	0.819543281052486	0.632648663209036	-0.287522420639763	-0.149320729777604	0.477508441274994	0.464644078212758	-1.16207576043871	1	-1	1	1	-1	-1	1	1	-1	1	1	1	1	-1	1	-1	-1	1	1	1	-1	1	1	1	-1	-1	1	-1	-1	1	-1	1	1	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	1	-1	-1	1	1	-1	-1	1	0	1	0.286	I_omega 
600	-1094.7531056295	13.9234477508299	0.659944454161905	0.0632640250336751	0.112386368226036	0.00344736587023362	0.117250506787095	-901.185087626445	13.9177526629151	11.3725941464284	13.7886290237365	16.1466279090978	16.6115336104813	15.0273655555375	17.2669002651339	17.9697847547953	14.9500763614764	15.7339889079968	14.4755919437264	15.9148844309061	12.8117920056884	20.79920731041	19.6204110615424	18.7864303686665	13.8869538866114	9.64067020183826	10.7666734761533	10.9720450452818	11.650349503186	15.1834031094131	15.1197867982908	16.1467134066039	14.8490369450958	13.1350672609296	0.734045529152685	-0.157926683473358	-0.243404549433729	0.14814903994767	-0.423585589382174	0.185419616279187	-0.281034190585809	0.384342541418635	0.180533102691852	-0.145660850194279	-0.0938542827202213	-0.0015044238179525	-0.156970667323079	0.637083789090437	0.61966396684081	0.166300300303809	-0.251675925613378	-0.361206695682173	-0.167615648004304	0.496106202717697	0.581088037471774	-0.721651911721429	0.286979869186059	-0.63895356844685	0.139118960699227	-0.218044980236289	1	-1	1	1	-1	-1	1	1	-1	1	1	1	1	-1	1	-1	-1	1	1	1	-1	1	1	1	-1	-1	1	-1	-1	1	1	1	-1	1	1	-1	-1	-1	1	-1	1	1	-1	-1	-1	1	1	-1	-1	1	1	-1	1	1	0	1	0.281666666666667	sig2_logv 
700	-980.877032936044	13.3303105778982	0.26740072280353	0.0696926009335928	0.126289433722161	0.00268379494082183	0.126857721430715	-787.113738888612	14.2114914788764	10.6410331166866	12.6858634586654	16.5722013997066	16.8416136521145	15.0092784829446	17.5210614622088	17.8334918041124	15.0291255202948	15.5736648445931	14.5119939360966	16.0845331162494	13.0051233432344	20.5975938638791	19.8478707251078	18.9904939000287	13.936039359339	10.2923235337766	9.74962721843278	11.4862354680844	11.5840121301971	15.0135005793732	14.6876271426843	17.065473845881	16.3952432686786	13.4524533085224	-0.231876359717073	-0.473464050413178	0.334967541382471	0.401225248431313	-0.0859071270358275	-0.208657178621715	-0.20439929358775	0.424570024394623	0.148613091517015	-0.105010347948955	-0.0409463817084796	-0.0996542054789687	-0.0737397525297917	0.82004487426926	0.434635366021684	0.251154935374387	-0.0829679778507643	0.550967900715962	-0.609701482300081	0.940930283862083	0.115170513608842	-0.477123748388841	-0.708380564422915	0.025670063975501	-0.242778206026565	-0.97209638461288	1	-1	1	1	1	-1	1	1	-1	1	1	1	1	-1	1	-1	-1	1	1	1	-1	1	1	1	-1	-1	1	-1	1	-1	-1	1	-1	1	1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	-1	1	1	-1	1	1	-1	-1	-1	0	1	0.261428571428571	sig2_m 
800	-915.63526676585	13.1559245046987	0.718851859210986	0.0696926009335928	0.137799451369103	0.000948126465082167	0.129702648150269	-721.766783561599	13.2423479770473	11.6567521981709	13.8217699368635	17.3474666370708	15.8847606559517	14.6942338489672	17.309130089747	17.916819296318	15.0119514957877	15.8606816288432	14.422188461678	15.9356178004761	12.7978141411157	20.9965476736563	19.357236908864	19.1097281910215	13.7947429880608	9.91608335181578	10.7480382610871	10.7896751163088	11.097455255036	14.8148684010873	14.9311902155672	15.8494605333627	15.5243979912164	13.9749922331206	0.135825196641835	0.622466243185944	0.578331859843667	-0.263953339285516	0.314585302239906	-0.105475446418625	0.0337415888648295	0.712334353396168	0.072933464398672	-0.435911768990981	0.0966053235478517	-0.011095576672215	-0.260079173572199	0.709259008616495	0.407436411402424	0.132015070184504	0.0251747356022649	-0.0176821502936781	-0.425883296171482	0.333980947856308	0.626208284149098	-0.331761480427162	-0.0804672824379328	0.356030564678453	0.0286640148811132	0.186278596841913	1	-1	1	1	1	-1	1	-1	-1	1	1	1	1	-1	1	-1	-1	1	-1	1	-1	1	1	1	-1	-1	1	-1	1	1	-1	1	-1	1	1	-1	1	-1	1	-1	1	-1	-1	1	-1	-1	1	-1	1	1	1	1	-1	-1	0	1	0.2375	I_nu 
900	-825.395722819391	14.1214727698511	0.93095233802124	0.076212113176696	0.159361882560663	0.00500319248996675	0.135394728202373	-628.289007865257	13.3286856857976	11.4862211667964	13.3669861528389	16.468874996413	16.6612886276286	15.0921556205471	17.9589943987833	18.2242327548459	15.7692334275376	15.8653775562693	14.4557466210527	16.2252708398232	12.970534864248	20.852960305965	19.5198823543882	18.9030440523953	13.9067344385635	9.55325817454313	9.85751249591653	11.3944974607946	12.5140780635698	15.1315548239304	15.8332611488938	15.9388209236061	14.4251510013088	13.6804542366046	0.279764335568479	-0.0247581390225001	0.427792964728665	0.0172815533755121	0.00777723179574673	-0.258045407956443	0.25934913608537	0.48180379503304	-0.227792729931118	-0.444984671127283	-0.0619657758040745	-0.0860739256659799	-0.0568586567876681	0.831559387598091	0.394728793477574	0.211363011069856	-0.0938149314994042	0.24141009090497	-0.0683982689414334	1.00455677184569	1.02858871281386	0.472525240336539	-0.125428126294612	0.327599600774065	0.526117608730625	-0.0447448203292662	1	-1	1	1	1	-1	1	1	-1	1	1	1	1	-1	1	-1	-1	1	1	1	-1	1	1	1	-1	-1	1	-1	-1	1	-1	1	-1	1	1	-1	-1	-1	1	-1	1	-1	-1	1	-1	-1	1	-1	-1	-1	1	1	-1	1	1	1	0.227777777777778	sig2_m 
1000	-760.905292111036	13.3829745930043	0.694465555163865	0.076212113176696	0.180918326838184	0.00609668825985864	0.134681347473525	-566.602690185887	14.405973156044	12.398383485928	13.9322470577514	16.2557241197982	15.8409901549147	14.3024135060946	17.751238913097	17.6577520807863	15.1117420167053	16.2006378500543	14.5649290300132	15.7732738464635	12.8854260987749	20.679831749451	19.7164328411714	18.9042054811931	13.5884664384386	10.2065716895887	10.9035287897021	11.2175466091724	11.5300797681241	16.061449512798	14.985355106587	15.8727948674809	16.3507055889222	14.2994056910183	-0.519380763904624	-0.327180947147464	0.450728337433541	-0.0171951947473694	-0.099090672728127	-0.664426049367089	-0.310568372259901	0.725753313230381	-0.0332016210148068	-0.281034464907256	-0.0117861981743554	-0.0504345300701094	-0.254029418249843	0.724750860762787	0.282436780185801	0.147872170039355	0.0584708441910368	0.331469445971899	-0.168392557406114	-0.137029546420683	0.60298401863621	0.0270242496125038	0.236107241170816	0.143283098593865	0.26374577574594	-0.284173750002448	1	-1	1	1	1	-1	1	1	-1	1	1	1	1	-1	1	-1	-1	1	1	1	1	1	1	1	-1	-1	1	-1	-1	1	-1	1	1	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	1	-1	1	-1	1	1	-1	1	0	1	0.217	omega 
