iter	posterior	log.lik	prior.mean	prior.logvar	mean.sigma_sq	mean.root	mean_Certhidea_olivacea	mean_Platyspiza_crassirostris	mean_Pinaroloxias_inornata	mean_Geospiza_fuliginosa	mean_Geospiza_difficilis	mean_Geospiza_conirostris	mean_Geospiza_magnirostris	mean_Geospiza_scandens	mean_Geospiza_fortis	mean_Camarhynchus_heliobates	mean_Camarhynchus_pauper	mean_Camarhynchus_pallidus	mean_Camarhynchus_parvulus	mean_Camarhynchus_psittacula	logvar.sigma_sq	logvar.root	logvar_Certhidea_olivacea	logvar_Platyspiza_crassirostris	logvar_Pinaroloxias_inornata	logvar_Geospiza_fuliginosa	logvar_Geospiza_difficilis	logvar_Geospiza_conirostris	logvar_Geospiza_magnirostris	logvar_Geospiza_scandens	logvar_Geospiza_fortis	logvar_Camarhynchus_heliobates	logvar_Camarhynchus_pauper	logvar_Camarhynchus_pallidus	logvar_Camarhynchus_parvulus	logvar_Camarhynchus_psittacula	acc	temperature 
1000	-384.168734388864	-309.959045187189	-39.0516602623723	-24.6272458608278	7.81351419619654	4.85197391548919	3.7125	10.7666666666667	5.16982744519595	6.9125	7.35714285714286	12.25625	17.6730629098924	8.35882352941177	11.14375	6.91099037782983	8.39848387719003	7.42	6.53333333333333	9.74285714285714	0.69541639987957	-1.64969425084658	-1.95722390895559	-1.10866262452161	-0.800627684589556	-1.49091441024999	-1.10633433476202	1.00648177059951	0.267949433724231	-0.544600408629054	-0.0906999897467307	-2.0827247557273	0.167566890451103	-2.10373423424888	-2.59472151579521	0.0323288871153603	0.465	1 
2000	-383.283900993987	-312.205594001376	-38.4269709467027	-22.4449666974632	5.96523005587068	9.31459188455692	3.58741366485779	10.7830471281483	5.48273685010665	6.9125	7.35714285714286	12.8770684135211	17.5211366912132	8.35882352941177	11.1691930859876	6.91099037782983	8.2530141157255	7.42	6.53333333333333	9.29855761479421	0.934346640433328	-1.66429179457985	-1.82311344623839	-1.0090656508185	-1.33948370687618	-1.49091441024999	-1.10633433476202	0.872647812732631	0.633846607711555	-0.544600408629054	-0.0359476456229032	-2.0827247557273	-0.260807820309582	-2.10373423424888	-2.59472151579521	-0.497637835545629	0.439	1 
3000	-384.808716973264	-311.749223820716	-39.6977511442582	-23.2612409209961	5.29354359623806	3.01950909494606	3.58741366485779	10.7830471281483	5.48273685010665	6.9125	7.35714285714286	12.8770684135211	17.9629735943327	8.35882352941177	11.1691930859876	7.14675166275375	7.99091892718573	7.42	6.53333333333333	9.29855761479421	1.09737738190189	-0.593144848681944	-1.82311344623839	-1.0090656508185	-1.33948370687618	-1.49091441024999	-1.10633433476202	0.872647812732631	0.158316715547294	-0.544600408629054	-0.0359476456229032	-2.60946787024028	-0.274416686641558	-2.10373423424888	-2.59472151579521	-0.497637835545629	0.433	1 
4000	-390.338809548246	-315.141629626411	-40.3438409837183	-24.3729957412133	7.55809381418786	9.09767477713526	3.58741366485779	10.5874199306528	5.03770351671144	6.9125	7.35714285714286	11.4492879701777	18.085577684727	8.15093991138839	11.2420462771929	7.14675166275375	8.22037368947002	7.44344632408799	6.53333333333333	9.85993672654178	0.642263036529047	0.0946254791512971	-1.82311344623839	-0.867986693824397	-1.28648038768813	-1.49091441024999	-1.10633433476202	1.29756445912967	0.0393846866600722	-0.856432414720331	-0.194418587491752	-2.60946787024028	-1.04050505557449	-1.79505186993154	-2.59472151579521	-0.263673533437935	0.4265	1 
5000	-392.54470201529	-316.534464995224	-39.1762886841527	-26.2678449133403	7.58931793175049	8.27630404272182	3.77802729968052	10.5874199306528	5.09553081431807	6.9125	7.35714285714286	11.7411914047482	17.6064081414433	8.60439838885709	11.2420462771929	7.14675166275375	8.71249998775961	7.44344632408799	6.53333333333333	9.88900736846356	1.44856771575606	-4.99421331733346	-1.43969418791464	-0.867986693824397	-0.836286806986055	-1.49091441024999	-1.10633433476202	1.53593704690367	0.552705647812953	-0.568612717204003	-0.194418587491752	-2.60946787024028	-1.54199298419271	-1.79505186993154	-2.59472151579521	-0.497601023389036	0.4216	1 
6000	-388.435680859887	-316.478997446199	-40.2609869245434	-21.5017882217101	6.00159565398782	2.82113631056553	3.77802729968052	10.5874199306528	5.09553081431807	6.9125	7.35714285714286	11.2715767731581	17.6064081414433	8.60439838885709	11.3051288294384	7.14675166275375	8.10803078782346	7.44344632408799	6.53333333333333	9.88900736846356	0.67938405455633	-1.30870811004751	-1.43969418791464	-0.867986693824397	-0.836286806986055	-1.49091441024999	-1.10633433476202	0.986246572850841	0.552705647812953	-0.568612717204003	0.167539734935417	-2.60946787024028	-1.35897321112658	-1.79505186993154	-2.59472151579521	-0.497601023389036	0.4175	1 
7000	-388.243685297046	-317.209004868573	-39.1162260859396	-21.2277799519908	8.69650478671918	3.03340794331318	3.77802729968052	10.5874199306528	4.86946242685767	6.9125	7.35714285714286	12.6743946908656	17.6064081414433	8.60439838885709	11.3051288294384	7.14675166275375	8.45411760443665	7.44344632408799	6.53333333333333	9.88900736846356	0.521855964329083	-0.0436861471401192	-1.43969418791464	-0.867986693824397	-1.12121813651727	-1.49091441024999	-1.10633433476202	0.510036713616095	0.552705647812953	-0.568612717204003	0.167539734935417	-2.60946787024028	-1.43291146010337	-1.79505186993154	-2.59472151579521	-0.497601023389036	0.419142857142857	1 
8000	-387.923940173924	-317.209004868573	-39.1107995413576	-21.1857551928561	7.16915770114064	10.9337553982143	3.77802729968052	10.5874199306528	4.86946242685767	6.9125	7.35714285714286	12.6743946908656	17.6064081414433	8.60439838885709	11.3051288294384	7.14675166275375	8.45411760443665	7.44344632408799	6.53333333333333	9.88900736846356	0.812576923695724	-1.15654506499891	-1.43969418791464	-0.867986693824397	-1.12121813651727	-1.49091441024999	-1.10633433476202	0.510036713616095	0.552705647812953	-0.568612717204003	0.167539734935417	-2.60946787024028	-1.43291146010337	-1.79505186993154	-2.59472151579521	-0.497601023389036	0.419125	1 
9000	-387.339699544433	-315.741358298694	-39.3488133641173	-21.3262501761309	9.91027747401918	10.0829886099338	3.77802729968052	10.5257617736004	5.05771809038332	6.9125	7.35714285714286	12.6743946908656	17.6113311471548	8.15496775556436	11.3051288294384	7.14675166275375	8.45411760443665	7.44344632408799	6.53333333333333	9.88900736846356	0.632832522303879	0.111232651067354	-1.43969418791464	-1.2904372334564	-1.01166411668472	-1.49091441024999	-1.10633433476202	0.510036713616095	0.464400320352007	-0.547791751083613	0.167539734935417	-2.60946787024028	-1.43291146010337	-1.79505186993154	-2.59472151579521	-0.497601023389036	0.418888888888889	1 
10000	-393.986197810275	-319.988395133329	-39.25109733896	-23.7689108740784	9.9345810792616	3.38865439808991	3.70659096323932	10.3767038655519	5.76864971335598	6.9125	7.35714285714286	12.514197013317	17.7038529083502	8.46117347593381	10.5120455483332	6.77291736752079	8.9701459233359	7.57799087471512	6.53333333333333	9.52016269340923	1.20389190708026	0.152264866831252	-1.10050269118671	-1.15483311692816	-0.511452945812118	-1.49091441024999	-1.10633433476202	1.03018506701015	0.89794688147936	-0.643297241817413	0.244878278932966	-2.33615337283021	-0.249548363149474	-2.00946085347575	-2.59472151579521	-0.540184472700083	0.4199	1 
