iter	posterior	log.lik	prior.mean	prior.logvar	mean.sigma_sq	mean.root	mean_Certhidea_olivacea	mean_Platyspiza_crassirostris	mean_Pinaroloxias_inornata	mean_Geospiza_fuliginosa	mean_Geospiza_difficilis	mean_Geospiza_conirostris	mean_Geospiza_magnirostris	mean_Geospiza_scandens	mean_Geospiza_fortis	mean_Camarhynchus_heliobates	mean_Camarhynchus_pauper	mean_Camarhynchus_pallidus	mean_Camarhynchus_parvulus	mean_Camarhynchus_psittacula	logvar.sigma_sq	logvar.root	logvar_Certhidea_olivacea	logvar_Platyspiza_crassirostris	logvar_Pinaroloxias_inornata	logvar_Geospiza_fuliginosa	logvar_Geospiza_difficilis	logvar_Geospiza_conirostris	logvar_Geospiza_magnirostris	logvar_Geospiza_scandens	logvar_Geospiza_fortis	logvar_Camarhynchus_heliobates	logvar_Camarhynchus_pauper	logvar_Camarhynchus_pallidus	logvar_Camarhynchus_parvulus	logvar_Camarhynchus_psittacula	acc	temperature 
1000	-561.74178141978	-490.83175758633	-34.4930222554138	-26.4187079865122	4.01036523462622	10.4177065980036	8.39295063122793	10.2578330816645	10.1733562695226	9.02349775959662	11.1557291666667	15.8200260976799	18.4943175716027	14.1584909435945	12.6050019165747	11.5511018136773	9.65088121672584	11.0886882898058	7.30311001965473	8.71150903000071	1.37759205270792	-2.39312030034752	-0.598733579092332	-1.13794168639243	-1.38874899198401	0.113428268713625	0.593221832436164	1.45148970554755	1.31950456202972	1.58716712937365	0.469948465729408	-0.119932169569706	-1.65906808096193	-2.12379583978693	0.995744578513079	1.94315535616966	0.409	1 
2000	-566.507994456966	-497.615857050894	-32.8902653475031	-26.1527546840387	2.76818564382467	7.36964273022673	8.32389848323854	9.9818008415969	9.28882381410416	8.62083642835528	11.1373255917366	15.9899195461369	16.5242769563594	13.5702948344058	12.4835327623129	10.4530025864775	9.36421955838974	10.9856275897104	6.74580923282504	9.41422520375258	1.83073592321387	-1.87995726230571	-0.599724992190218	-1.0050392790852	-1.64567613167406	0.00681836838553388	0.507545713303623	1.57812672758469	1.80305578772117	1.25618939439014	0.253670838564274	-0.453305938853151	-0.936995183039823	-1.59590845445781	0.00541385306964887	2.13238927386348	0.418	1 
3000	-561.066618496865	-491.168340821641	-36.1840752059366	-23.007409727087	7.8983958454574	9.62174034702712	8.00968650674903	10.375676443702	9.78361424453337	8.75421215528502	11.1373255917366	15.4658077164107	18.0123140816784	15.2774329149997	13.3671289741927	11.914571246877	9.53155505293766	11.3910656781104	6.74465786765529	9.89948117422018	1.36713655866941	-1.47799534881343	-0.310110868638177	-1.3227981914512	-1.18425558896366	0.506510938382451	0.507545713303623	0.890099500513489	1.89441460468459	2.17810431531834	0.685805271159332	-0.0727272844900682	-1.24177157595277	-1.39847358978353	-0.188053398161143	0.0286735945252726	0.433666666666667	1 
4000	-562.646996224172	-497.442906411948	-34.0924030186288	-21.2318601071238	3.56397793813555	10.8270405396284	7.60863582241039	11.5306180356229	9.87700655621863	8.67146680807711	11.1262412469689	16.4291980928031	17.9466502819196	13.6188510691332	12.3248335137397	11.287527176407	9.73764009365583	11.3910656781104	7.38883009316129	9.54118177285464	1.02464868587995	-0.623355832830868	-1.0966059237404	-1.08161804033873	-1.51302522633066	0.809840509382702	0.423604286490316	0.689529288984632	1.65889673875274	1.34585418419616	1.27480805201469	-0.252438237959447	0.233389645173941	-1.39847358978353	0.543611181303745	0.4549008174493	0.445	1 
5000	-559.893785219338	-495.06617653261	-35.6558058439195	-18.5494750915255	7.83629283644747	12.3413950317468	6.81337707500386	10.6324427632519	9.39331100644313	9.2964114633182	11.2896184625592	15.6340298925959	17.9946906512362	14.0671626547792	12.7101100024613	11.0286726976597	9.63802266469593	10.6075070335086	7.36443241947716	9.18093413312387	0.494116252287068	-0.156160398123447	0.706973040787978	0.539069845698566	-1.02123274097451	-0.0217895262498927	0.638999993726053	1.26224904966663	1.99329692164171	1.8278265118027	1.29910633391414	-1.18552667563697	0.21378529101443	-0.564781547572313	-0.0514371900287733	0.754160779892776	0.4478	1 
6000	-566.765245855815	-503.64985929304	-34.4705900483022	-18.9442884566926	2.69317876905936	14.0563662056803	8.65198383347764	10.9814456096571	9.9122354385206	9.21245391224797	11.2896184625592	15.7548408245758	17.8230057256264	13.6204241245846	14.592209868209	10.952176856749	9.35347681241498	10.3755889603399	7.27112371553767	10.2092979231194	0.505372118133959	1.38755167473759	0.225623125938086	0.164265405690022	-0.786081446566024	-0.530716594360327	0.638999993726053	1.38433746737105	2.16501489307399	1.37230130895096	2.13441933289488	-0.657242355685964	0.298231566656477	-0.800357769821236	-0.205355110208187	0.00750514145228098	0.448333333333333	1 
7000	-557.551914253824	-496.614311312538	-35.3029323101022	-16.1140545038152	1.49069840838808	8.8347512299788	8.01221460468613	11.088710218453	9.93696412428636	8.54746593439118	11.1965723404154	15.5163866715884	16.3750849632855	15.0535395711822	13.1153620513681	11.843461619606	9.71951644414469	11.1537857388054	6.75422451368193	8.88934248763163	0.419300446118655	0.76888665509818	0.497011607416947	-0.0171937831732831	-1.36518501147731	0.228062914025126	0.537747818099182	1.69102032850519	1.449393565355	1.3229316341361	1.67650783257738	-0.290754735498321	-0.734687458508468	-0.788545919023082	-0.264420185254308	-0.980878734085202	0.448142857142857	1 
8000	-548.428582591019	-491.750261661993	-34.7172282417122	-11.7581728489104	5.32345315930212	8.76914218490014	8.07916547194054	10.8823327392512	10.057595882494	8.59153688468645	11.1965723404154	16.3653737049705	18.1452090943147	13.6313791180511	12.5054386066198	11.2398544442253	9.03656080558669	10.7685266717346	6.88566529057716	9.13568055074572	0.163443842432084	0.0388928194317952	0.191751780845401	-0.374185891851066	-0.78254113026792	-0.243513992847228	0.537747818099182	1.07477813980047	1.25828633188402	1.22526200771821	0.637700657406706	-1.02588463719677	-0.21783629961805	-0.113854248766184	-0.577889270204984	-0.559329801661015	0.451125	1 
9000	-553.368682205772	-493.933789831409	-34.4542378543293	-15.0304217608441	4.1014808337376	5.57415198550838	7.42701359060292	10.5273805447629	9.99616514014742	8.93701841222023	11.1965723404154	16.6520735782636	17.9441818336476	14.0322132476262	12.5989675748594	10.49704550264	9.17909806878805	10.9338513024621	7.37796415577784	9.31919558832798	0.307345890516982	-0.357207370674283	-0.49113618690772	1.09398765991375	-0.138777360736734	-0.605662304780312	0.537747818099182	1.33285619330001	1.55372677437415	1.35566736771944	1.45902696564259	-1.00391946285904	-0.760897064539864	-0.807109853623966	-0.463993144229794	-0.105501302323873	0.453777777777778	1 
10000	-553.128303685045	-494.96384416152	-33.8019492264509	-14.4127879418623	3.97465677113744	12.9439309441841	7.0390643921444	11.3989042233688	9.98029353089414	9.59577068322763	11.1965723404154	16.1408839024424	17.3452727521333	13.90889800327	12.7726220962307	10.8890027431115	10.057671378995	11.5031939870325	7.08782542599852	9.35496416383669	0.199278921538233	-0.609997865226598	0.322624987577993	-0.275462712490376	-1.39151153484435	-0.0963205393047511	0.537747818099182	0.902100915257042	1.3359535519998	1.37479182995892	0.60284534034591	-0.682497240214566	-0.969691997461676	-1.00084558640608	-1.05095806063423	-0.462816509617515	0.4516	1 
