iter	posterior	log.lik	prior.mean	prior.logvar	mean.sigma_sq	mean.root	mean_Certhidea_olivacea	mean_Platyspiza_crassirostris	mean_Pinaroloxias_inornata	mean_Geospiza_fuliginosa	mean_Geospiza_difficilis	mean_Geospiza_conirostris	mean_Geospiza_magnirostris	mean_Geospiza_scandens	mean_Geospiza_fortis	mean_Camarhynchus_heliobates	mean_Camarhynchus_pauper	mean_Camarhynchus_pallidus	mean_Camarhynchus_parvulus	mean_Camarhynchus_psittacula	logvar.sigma_sq	logvar.root	logvar_Certhidea_olivacea	logvar_Platyspiza_crassirostris	logvar_Pinaroloxias_inornata	logvar_Geospiza_fuliginosa	logvar_Geospiza_difficilis	logvar_Geospiza_conirostris	logvar_Geospiza_magnirostris	logvar_Geospiza_scandens	logvar_Geospiza_fortis	logvar_Camarhynchus_heliobates	logvar_Camarhynchus_pauper	logvar_Camarhynchus_pallidus	logvar_Camarhynchus_parvulus	logvar_Camarhynchus_psittacula	acc	temperature 
1000	-409.258294618349	-345.841936796571	-31.9472548883399	-21.9014779324443	2.91762525768281	4.74233583135183	3.50799740885708	6.78716496563756	4.16	5.80625	6.53877551020408	9.0125	12.4745831882601	6.95882352941176	8.7625	5.1	5.1789542211478	5.2	4.26666666666667	5.71428571428571	0.929175135801667	-1.84251484144774	-1.43197603338309	-0.309770485700099	-3.41124771751565	-0.430847020711214	-0.849527450303695	0.596544499168528	1.0279633048046	0.477831368283362	0.244644082760212	-3.40119738166216	-1.92677696129971	-0.809680996815897	-1.86648301542399	-1.68868728408824	0.46	1 
2000	-412.349291353959	-345.841936796571	-34.6805045200719	-21.723490348605	6.08297501028543	10.2451483668111	3.50799740885708	6.78716496563756	4.16	5.80625	6.53877551020408	9.0125	12.4745831882601	6.95882352941176	8.7625	5.1	5.1789542211478	5.2	4.26666666666667	5.71428571428571	0.504033849280867	-0.219181700762683	-1.43197603338309	-0.309770485700099	-3.41124771751565	-0.430847020711214	-0.849527450303695	0.596544499168528	1.0279633048046	0.477831368283362	0.244644082760212	-3.40119738166216	-1.92677696129971	-0.809680996815897	-1.86648301542399	-1.68868728408824	0.4655	1 
3000	-411.26607391349	-346.584521056221	-32.1182118790959	-22.9824195379908	2.98043449211251	6.09544718007618	3.50799740885708	6.78716496563756	4.16	5.80625	6.53877551020408	8.90028806663893	12.4745831882601	6.95882352941176	8.7625	5.1	5.1789542211478	5.34673609280822	4.26666666666667	5.68529846435112	0.959615198652136	-3.45457890021736	-1.43197603338309	-0.309770485700099	-3.41124771751565	-0.430847020711214	-0.849527450303695	0.292182506739901	1.0279633048046	0.477831368283362	0.244644082760212	-3.40119738166216	-1.92677696129971	-1.05929380477258	-1.86648301542399	-2.25750707913958	0.455	1 
4000	-413.538283165627	-347.383853048921	-32.6723989264635	-23.680790816991	4.28097246011707	3.33887004633073	3.50799740885708	6.78716496563756	4.14495996062084	5.80625	6.53877551020408	9.05610143343844	12.4745831882601	6.95882352941176	8.53986821504192	5.1	5.1789542211478	5.34673609280822	4.26666666666667	5.68529846435112	0.921418340985861	-3.94645104314135	-1.43197603338309	-0.309770485700099	-3.55347873524859	-0.430847020711214	-0.849527450303695	0.271664595019253	1.0279633048046	0.477831368283362	0.611364955854836	-3.40119738166216	-1.92677696129971	-1.05929380477258	-1.86648301542399	-2.25750707913958	0.45275	1 
5000	-413.508668996434	-350.088868439467	-32.269930797235	-21.3847889267057	4.14558035947952	5.05967150258153	3.50799740885708	6.78716496563756	4.14495996062084	5.80625	6.53877551020408	9.05610143343844	12.4745831882601	7.42567343383977	8.53986821504192	5.1	5.00535673918983	5.31618528880527	4.26666666666667	5.68529846435112	0.770519336012571	-0.716405962300307	-1.43197603338309	-0.309770485700099	-3.55347873524859	-0.430847020711214	-0.849527450303695	0.271664595019253	1.0279633048046	0.180597525778682	0.611364955854836	-3.40119738166216	-2.27951293224602	-1.63805729821601	-1.86648301542399	-2.25750707913958	0.4504	1 
6000	-419.997342298244	-352.442847197028	-35.3055893547299	-22.5265631340481	3.90051218296116	12.5734513527055	3.67942694450834	6.69228620477224	4.14495996062084	5.80625	6.53877551020408	9.05610143343844	12.4745831882601	7.42567343383977	8.85038455912244	5.02474097443823	5.00535673918983	4.94193745679921	4.26666666666667	5.97261458829585	0.773102202362621	-2.52322421489723	-1.0179317318536	-0.514453109358213	-3.55347873524859	-0.430847020711214	-0.849527450303695	0.271664595019253	1.0279633048046	0.180597525778682	0.112701730623582	-4.09264224191485	-2.27951293224602	-1.56277576349847	-1.86648301542399	-1.57598173559817	0.447	1 
7000	-422.812995501052	-356.963044838968	-33.5931872143815	-22.2983379015178	5.18157597599237	5.58780201177967	3.54743572538797	6.54090886333324	4.14495996062084	5.55087649940136	6.53877551020408	9.68966848443839	12.9084455984123	6.77833615310072	9.04509857171423	5.05498992677658	4.82701749839273	5.43061185067208	4.26666666666667	5.97261458829585	0.878165909304978	0.0323898531487501	-0.680672635465784	-1.38959543270366	-3.55347873524859	-0.608833328108586	-0.849527450303695	0.963360256080487	1.27727282788805	0.620643559830899	-0.0970391946872984	-3.5622833088263	-2.09745423544188	-1.62819443761154	-1.86648301542399	-1.57598173559817	0.442857142857143	1 
8000	-421.352385044129	-355.659426536036	-34.1766730232723	-21.9422485031805	3.09512200614139	11.7269841652823	3.40645692474914	6.38882680958871	4.14495996062084	5.75774054985314	6.53877551020408	9.33755444120826	12.0938345319461	6.95401123327225	8.83185997608886	4.81167672247822	5.21363886821539	5.2019918445407	4.26666666666667	5.4437882802948	0.560804534841526	-2.31943849881574	-0.563191437533433	-0.544901543555126	-3.55347873524859	-0.113529997846032	-0.849527450303695	0.27149274007195	1.25675916571492	0.756693657079634	-0.0368669427065782	-2.92256753626794	-2.27673718908737	-1.37130045660537	-1.86648301542399	-1.59263444703543	0.44375	1 
9000	-416.390605415073	-354.928613091057	-32.2414474428283	-19.5486580608831	3.65662629620936	5.67226366063713	3.10886187911922	6.73447118006857	4.26010824988994	5.8417261534624	6.53877551020408	9.28733762424642	12.3313008430055	6.71363606512061	9.26343485580085	5.21555614436028	5.00138724863315	5.17968970126454	4.26666666666667	6.03673330973973	0.630386976286567	-1.09804353678655	-1.01324372841788	-0.475548602584529	-3.51317905400016	-0.407576359096785	-0.849527450303695	0.479165315217915	0.917748137555128	0.0971036566973116	0.288432623966988	-2.50641842756302	-2.40336130770067	-1.20904738542095	-1.86648301542399	-1.65681951294651	0.443666666666667	1 
10000	-419.969688652001	-359.167158115145	-30.2347740146729	-21.1650743564975	1.87604445973738	7.17454650884851	3.10886187911922	6.73447118006857	4.26010824988994	5.8417261534624	6.53877551020408	9.28733762424642	11.6189952505284	6.71363606512061	8.74935553222404	5.37335599281643	5.08824462841902	5.17968970126454	4.26666666666667	5.46002856359559	0.920608137843796	-0.900664777370501	-1.01324372841788	-0.475548602584529	-3.51317905400016	-0.407576359096785	-0.849527450303695	0.479165315217915	0.800394815562365	0.0971036566973116	-0.255426093127568	-1.96409535617065	-3.01523652017016	-1.20904738542095	-1.86648301542399	-1.22209851401219	0.4464	1 
