iter	posterior	log.lik	prior.mean	prior.logvar	mean.sigma_sq	mean.root	mean_Certhidea_olivacea	mean_Platyspiza_crassirostris	mean_Pinaroloxias_inornata	mean_Geospiza_fuliginosa	mean_Geospiza_difficilis	mean_Geospiza_conirostris	mean_Geospiza_magnirostris	mean_Geospiza_scandens	mean_Geospiza_fortis	mean_Camarhynchus_heliobates	mean_Camarhynchus_pauper	mean_Camarhynchus_pallidus	mean_Camarhynchus_parvulus	mean_Camarhynchus_psittacula	logvar.sigma_sq	logvar.root	logvar_Certhidea_olivacea	logvar_Platyspiza_crassirostris	logvar_Pinaroloxias_inornata	logvar_Geospiza_fuliginosa	logvar_Geospiza_difficilis	logvar_Geospiza_conirostris	logvar_Geospiza_magnirostris	logvar_Geospiza_scandens	logvar_Geospiza_fortis	logvar_Camarhynchus_heliobates	logvar_Camarhynchus_pauper	logvar_Camarhynchus_pallidus	logvar_Camarhynchus_parvulus	logvar_Camarhynchus_psittacula	acc	temperature 
1000	-199.334578343248	-125.636478121259	-41.2142591051223	-21.7061642822026	8.09515308628375	25.6162679707385	12.0625	17.3038597019441	14.2734290824264	12.7666666666667	15.1666666666667	22.1	23.8555555555556	19.0670856515732	18.0555555555556	17.2	14.55	17.6534145813492	11.1463124239542	15.1192100099298	0.954848853806274	-0.47385110982944	-1.3927436847998	-1.34533112941949	-0.152459669503881	-0.411483180433727	-0.873470734691226	0.935112486114744	-0.0803668342709603	1.24690104093747	-0.449765367004743	-1.57664808961111	-1.59290861048289	-1.04762885863214	0.07307341092278	0.205459823877164	0.437	1 
2000	-199.802487141723	-127.153153664963	-38.9580254733336	-22.065929305848	12.4080054047212	16.3821061048513	12.0625	17.1210308782901	14.1421964483171	12.7599837093937	15.1666666666667	22.1	23.8555555555556	19.9607359027812	18.0808230034922	17.2	14.55	16.6806455378649	11.1463124239542	14.5671076254082	1.21417934910717	-0.357429572658058	-1.3927436847998	-1.09563565542887	0.078528866886331	-0.363234500212911	-0.873470734691226	0.935112486114744	-0.0803668342709603	0.995522646236791	-0.241187592705372	-1.57664808961111	-1.59290861048289	-1.21515234214112	0.07307341092278	-0.0436591702743662	0.4355	1 
3000	-197.830994310269	-129.310898874029	-37.4511609021595	-20.9668342251534	4.5359106648886	14.9009316432456	12.0625	17.0548506894701	14.1421964483171	12.7860652033987	15.1666666666667	22.1	23.7067567587787	21.0075218215407	18.0808230034922	17.2	14.55	17.0098147863753	11.5703994464437	14.5671076254082	0.667826531775713	-0.592453613210471	-1.3927436847998	-0.589620707547693	0.078528866886331	-0.802870086154915	-0.873470734691226	0.935112486114744	-0.376164648677477	0.573791057560931	-0.241187592705372	-1.57664808961111	-1.59290861048289	-1.01735814292444	0.7340560644386	-0.0436591702743662	0.438	1 
4000	-200.070921659949	-130.339899052122	-38.1201879571172	-21.4940867490067	4.62641641111069	13.1626601764636	12.0625	17.0548506894701	13.7783451128115	12.7860652033987	15.42780780463	22.4203486150352	24.1988105714279	20.5813675220313	18.0808230034922	17.2	14.55	17.124472712683	11.3842893455084	14.8256766917444	0.636103573770099	-3.20197141708097	-1.3927436847998	-0.589620707547693	-0.103466995954434	-0.802870086154915	-0.882824265859213	0.801757175165457	-0.0815676628771165	0.606477960993435	-0.241187592705372	-1.57664808961111	-1.59290861048289	-1.06529614700598	0.560588099299091	-0.389856990585718	0.44075	1 
5000	-200.884938489462	-129.59509806414	-37.487035034877	-23.579880538339	4.89517039055752	14.7501220220458	12.0625	17.0548506894701	14.5069167468314	12.7860652033987	15.2795340793257	22.4995053442278	23.8034534971325	20.5220967490497	17.8321057623339	17.2	14.55	17.124472712683	11.3842893455084	14.2065886656417	1.27358075036442	0.257506790416674	-1.3927436847998	-0.589620707547693	-0.188295790725586	-0.802870086154915	-1.13993318194737	1.32793864137731	-0.245397260580039	0.719220870967879	-0.486442414321087	-1.57664808961111	-1.59290861048289	-1.06529614700598	0.560588099299091	-0.465517684950582	0.4396	1 
6000	-207.81190778234	-133.964641518961	-38.1448630145373	-25.1380521294801	6.93696828340609	8.47321214120181	12.35782691692	17.2503200838484	13.6815673530763	12.7981301120613	15.5173691902212	22.3499420125361	23.6753260536867	19.8088150153709	18.3352301175742	16.8835223328707	14.6001353694946	17.081010800738	11.8605839089874	15.4132865081126	0.984490178171297	-2.0381458331506	-1.24010129112249	-1.06993710614466	0.609223041525457	-1.1046395710022	-0.677120530873554	1.17967886189074	-0.595085248709235	1.13503172478324	-1.07236477301002	-1.41922531584433	-1.14000759129165	-1.03583845347933	0.865371569680345	0.863534428737614	0.442	1 
7000	-207.266051428218	-133.705278270707	-37.6532095227785	-25.1263087494577	8.17708653541254	16.9371690804048	12.1501195658643	17.2503200838484	14.792086372024	12.7981301120613	14.8105936781587	21.5590289542333	23.3036935658555	18.6167303091939	17.8924534041949	16.8835223328707	14.6001353694946	17.5540957755876	11.1759162778365	14.7025101069749	0.819273047660935	0.201343012354502	-1.42074965617322	-1.06993710614466	0.276846938479979	-1.1046395710022	-0.681841320907746	0.81684807447516	-0.416653925142669	1.93358486743678	-0.183052161804205	-1.41922531584433	-1.14000759129165	-1.38779914208764	1.27000038134919	0.481571651681103	0.443428571428571	1 
8000	-213.503073643247	-137.445867851932	-40.3159240764594	-24.6911836425305	9.19901065326287	24.0277207258076	12.2405407745525	17.5330137175267	14.8611502080762	12.3746129636541	15.3635273315164	22.8879993469769	23.9895719116171	20.1723411549269	17.7308523967827	16.8835223328707	14.9563103156174	17.3118517859111	11.1759162778365	14.495366211921	1.50426651194312	0.484158753506586	-1.53177498170669	-1.0790060965823	0.454681208634681	-1.70686206095718	-0.423473045937995	0.860478717476005	-0.151475473460281	1.38039650954325	0.102612170007025	-1.41922531584433	-1.28666600681297	-0.922667743502001	1.27000038134919	-0.432933079567208	0.443	1 
9000	-208.801359172446	-139.313928231725	-38.8323416302144	-20.1720472967713	6.64705774564917	19.6785771556884	11.9262137721473	17.5330137175267	13.5690023218808	12.7757396445067	15.0856514434742	22.6521437146882	23.8868091522671	20.6234666127491	18.4353958241922	17.630667987716	14.6037782689484	16.9059495977267	10.74739914508	14.1206998992805	0.593287622966579	-2.38562151762106	-2.00597994649364	-1.0790060965823	0.064538707465158	-1.66452167369642	-0.0595917757282647	0.204095178227482	0.131362679933002	1.39012856402241	0.143014184020126	-1.41824785367703	-1.31664020599457	-0.735163367087134	0.607421585988825	-0.188535378172009	0.443777777777778	1 
10000	-206.996949047638	-134.812666251552	-38.787684090794	-22.8025658641136	7.00714423496129	17.4498444623599	11.9262137721473	17.5330137175267	14.2428734270179	12.687589442997	15.176659806686	22.2427260874107	24.5189545774336	20.6368248283528	18.4353958241922	17.5188097932694	14.6849881942914	17.4087132131085	10.8725951801346	14.6510436769719	1.1419319954655	-0.134752760850917	-2.00597994649364	-1.0790060965823	0.601941859055019	-1.505699553958	-0.492736846546398	0.459059072975131	0.405650327067055	1.51994573758695	0.143014184020126	-1.01041714092331	-1.44570020111394	-0.247824051013645	1.2756441673396	0.217189850163965	0.4439	1 
