iter	posterior	log.lik	prior.mean	prior.logvar	mean.sigma_sq	mean.root	mean_Certhidea_olivacea	mean_Platyspiza_crassirostris	mean_Pinaroloxias_inornata	mean_Geospiza_fuliginosa	mean_Geospiza_difficilis	mean_Geospiza_conirostris	mean_Geospiza_magnirostris	mean_Geospiza_scandens	mean_Geospiza_fortis	mean_Camarhynchus_heliobates	mean_Camarhynchus_pauper	mean_Camarhynchus_pallidus	mean_Camarhynchus_parvulus	mean_Camarhynchus_psittacula	logvar.alpha	logvar.sigma_sq	logvar.theta	logvar_Certhidea_olivacea	logvar_Platyspiza_crassirostris	logvar_Pinaroloxias_inornata	logvar_Geospiza_fuliginosa	logvar_Geospiza_difficilis	logvar_Geospiza_conirostris	logvar_Geospiza_magnirostris	logvar_Geospiza_scandens	logvar_Geospiza_fortis	logvar_Camarhynchus_heliobates	logvar_Camarhynchus_pauper	logvar_Camarhynchus_pallidus	logvar_Camarhynchus_parvulus	logvar_Camarhynchus_psittacula	acc	temperature 
1000	-555.714476097979	-488.217800701924	-36.0552517048513	-18.5496462032778	3.96016208731953	16.2272068592247	8.8499537601433	10.5739068282353	9.91952866183837	9.23972084885686	11.322812413435	15.7222811930216	17.3879626988978	14.581796946103	11.8428216526609	11.321254861751	9.66961449874224	11.2463224296016	6.82303158814431	9.54957057154237	3.51786412111453e-06	0.528742375312107	3.03111811266107	-0.603900093898538	-1.71027258321197	-0.29920811264522	0.114843959322158	0.632056816179164	1.31469375597959	1.81206312322503	1.84343521157482	1.0859948102925	-0.65519783038602	-1.17853446224587	-1.76144589686962	-0.270695791799643	-0.926660278003002	0.443	1 
2000	-555.160769010948	-487.704387394657	-34.1455212200861	-19.4359067538775	3.59164243867925	7.33630658712545	7.99142105371918	10.3811002137162	10.3840021383641	8.68121878418929	11.171185574822	15.2016492050797	17.5581235962174	14.581796946103	12.3083832274993	10.5377308320946	9.52847392908038	11.1836200398925	7.08364332782768	9.44036478910874	1.00058795230119e-10	0.552303834832449	-0.296333162398466	-0.286211045121808	-1.53193659653885	-0.506754738403123	-0.143252103597449	0.612203132709317	0.769980441830702	1.54964653686414	1.84343521157482	1.45472914135589	-0.338211586857706	-1.07202042231092	-1.89667532244376	-0.0158993064310403	-0.774938240050186	0.438	1 
3000	-556.963160847893	-486.973399176576	-34.8400947780721	-20.2396037036602	3.91283865046883	4.96502637033168	7.85390239207734	10.7470547752178	9.99372285334358	9.18946318809182	11.171185574822	16.1705016122577	17.5581235962174	15.1961071599534	13.0299664177208	11.4219979554201	9.44319489600726	11.4186173642539	7.25741050328992	9.07925237634173	6.1641154715274e-15	0.764961235570329	2.9816242973074	-0.351311199567722	-1.0806181715161	-1.73008625910001	-0.320082167697828	0.612203132709317	1.48447891709677	1.54964653686414	1.37714664220542	0.670202957671722	0.0327442399958306	-1.18987165682504	-2.05914299205869	-0.429629548651107	-1.49061409484555	0.435333333333333	1 
4000	-572.343169622636	-496.317241581761	-37.2564377587081	-22.6281167611726	8.40035033038931	8.48377639042922	8.26253479459759	10.5864807731848	9.56920397693679	8.31441212378252	11.171185574822	15.9664688687801	18.7171173437155	14.4234943588185	11.9821893579959	12.2428641944437	9.90626560070785	11.6053137032281	6.3860875999575	8.896631698608	1.1790490401575e-16	0.941543062796409	2.05104724064139	1.07287069369532	-0.86864248078043	-2.13435833403511	-0.126307507991673	0.612203132709317	1.5939900484311	2.35429731467485	1.40623306370082	1.20354891194439	-0.0887902056932551	-1.72262204413869	-1.8527321097736	-0.122460521725756	-1.17946779009308	0.43775	1 
5000	-565.468758463675	-494.862848691737	-35.4866647538279	-19.7443209838096	4.24936425566616	8.3935529744487	6.57410437716646	10.5181663662856	9.87160721960971	9.34181682387433	11.171185574822	15.463878264823	18.8528628432367	14.4952906698668	12.0415922386548	9.71974133448469	9.67556517759122	11.1875296496142	7.40122493306021	9.59837019611669	1.00711346717009e-16	0.359969920983274	1.52620764253482	1.67610087960495	-1.88503352103131	-1.41110262451872	-0.829223902425943	0.612203132709317	1.17999590773095	1.62143811389125	1.7667203042691	0.965988084149102	0.763070288382664	-1.11386874046036	-1.68464744144891	-0.918478077311507	-0.754226325387817	0.4406	1 
6000	-558.651981269202	-490.766832185996	-34.8003480865374	-17.6373523325395	4.93229284805426	15.1606432832696	9.07112469631095	10.6599993143147	9.76742481131011	9.12179211020726	11.171185574822	16.0154057755621	17.2212485402931	14.0162102533407	12.0327664777332	11.2391597851589	9.67556517759122	11.3058079609142	7.16246366236123	9.00896902868421	1.57748691153497e-16	0.448515372223103	0.00591866695592866	1.19930069983359	0.0262590141368798	-1.98309592830319	0.164797980750949	0.612203132709317	1.76631926201279	1.30058561320305	1.75280667356205	0.848531232963076	0.405175629486124	-1.11386874046036	-0.955531839359784	-0.698500387034858	-0.4117386303409	0.436166666666667	1 
7000	-560.799011480608	-491.645319249734	-34.5270600113372	-19.3139296525444	4.01219341330467	10.362123382613	8.08566878012859	10.2924068799726	9.90073171996304	8.88450162928948	11.171185574822	15.2326997452778	17.8809728910254	13.9757387598498	12.2381795854871	10.2997468281649	9.11650262855831	11.3058079609142	6.7899864095907	9.65603282229711	1.20944706707334e-16	0.393923872720893	-0.794306280563333	0.578815656384313	-0.413798092715235	-1.82256344262084	0.726203715499327	0.612203132709317	0.995026302789636	1.63672405113748	1.31741339786584	0.73264054409322	0.414710291021672	-1.04692914546165	-0.955531839359784	-0.0646118569212461	0.903109703819937	0.429714285714286	1 
8000	-565.863400301457	-500.009344080566	-35.2768535309244	-15.0603196081745	4.69007209845758	7.22850601613505	8.03186725192086	10.3060735082566	9.53195412085949	9.56147144575552	11.2915028263104	16.5163542695604	18.6097024070545	13.8643839043619	12.4727200090339	12.798385234761	9.25864328129626	11.7430334980685	7.58196127782433	8.84544822782361	6.40751167667917e-17	0.231435256013116	-1.48695713535699	0.411186578863269	0.385074065346015	-0.154921557925701	0.481654925089979	0.718236183328662	1.67364425058573	1.72795466170716	1.27616414557618	1.26447064690757	0.956151116931462	0.11629134046471	-0.409228123878802	0.171516717268592	-0.361704482359789	0.428875	1 
9000	-560.944162181491	-496.033961115925	-35.0207024141947	-14.5050864928212	4.04162402179071	6.77977713194948	9.5051747927405	10.5456896410432	10.0262654906096	8.8089613333915	11.2915028263104	17.5004215727224	17.5902751364997	14.8236682517088	12.3658455687638	11.2777714155939	9.60338129297475	11.4360314055949	7.07382619071831	8.96521143616837	8.15309625443811e-17	0.206435609422836	3.2692750924822	0.836014371435956	-0.090200282906055	0.029672237761743	0.103523488166096	0.718236183328662	1.90647284587161	1.36752177858901	1.62353016273289	0.771954440811544	0.0366660523396632	-0.734960010227247	-0.558784120887186	-0.136903104863981	0.286636449664324	0.426222222222222	1 
10000	-565.036745508245	-497.346425916769	-32.841145011761	-19.6116046500739	3.3508141120352	10.394960829975	7.8993087476655	10.4414339046093	9.02350753432164	8.92107311046487	11.2915028263104	15.9255080385778	16.8323480425306	13.5770505442812	12.834363319354	11.4354385296059	9.47437377744171	11.7635589716564	7.23678227725364	9.69352709904588	8.11143618208931e-17	0.410752586835344	3.4101875131644	1.70249316563107	-0.725444101446074	0.36761844674085	-0.127037627378651	0.718236183328662	0.993080851006481	2.4808035974246	1.32929059904504	1.71685400248187	0.572651901644853	-0.903245746894521	-0.653342419239791	0.0457478668096508	0.937161376852533	0.4265	1 
11000	-575.219333329789	-506.658183858275	-33.3621841235028	-20.2319224834196	2.17029059732272	8.28523329739279	7.83546192078675	11.243749589586	9.17499737563539	8.96242862764056	11.5247419197584	16.1853646742199	17.1842400116978	14.613722060045	13.6891937878912	10.6468453464675	9.15275776041551	10.9381909356797	6.96477368545336	9.56446227109929	1.76244513940534e-16	0.59349280436495	2.64545039627442	-0.574004252744915	0.00386250209902966	0.496396597376535	-0.206349342637212	0.676238420716647	1.41717691849287	1.60158628107252	1.58422126423886	2.47951434122198	0.68959260286895	-1.11329661929892	0.122825480780761	1.65272929587742	0.146742242739794	0.425181818181818	1 
12000	-574.695220948633	-501.397368078283	-35.3855481239976	-22.5248778337218	4.36344995721718	17.24614371285	7.95291218360701	11.3545627281581	8.97560634278454	8.93208077691857	11.2231400973626	16.2323919420053	15.6783623363671	13.5067418784273	12.4038493727841	10.66464794066	9.77342484380401	12.3521877522716	7.92561452275783	9.2574823284683	1.75777969358787e-16	1.20369058839897	1.88792552671198	-0.476135621099632	0.781260987653039	-0.378048881324598	-0.294269455750506	0.600536327303855	1.18965003444589	2.28402814530433	1.8240354999842	1.09611940834563	1.33544661887414	-1.68812131206302	1.14035620184594	0.578333141082885	0.309219811915096	0.425833333333333	1 
13000	-564.425966039797	-498.009329416158	-33.6209703291718	-17.3447034328041	4.5233364990538	11.8839365081661	8.76344851258412	10.5813785144858	10.1934772518501	9.20480087604001	11.2231400973626	16.0048402626892	16.8443785704197	15.1210637665895	12.7869702727813	10.8432551087155	9.37857123974383	10.7674610453972	6.40720069723045	8.21120649863063	9.8856295715568e-17	0.203871736599349	-2.0604885429761	-0.252247666289155	-0.630718449261561	-1.49535757037737	0.00548808315567806	0.600536327303855	0.392729991604345	1.44675940972723	1.46793316953116	0.914667215846321	1.15100074417555	-1.07904602757707	-1.08325424197401	-0.470292921653054	-0.0943191032981452	0.424846153846154	1 
14000	-564.232491094689	-499.230514906834	-33.2473591267374	-16.457562867544	3.90494756206131	11.5949526691197	8.21662752484976	9.94163145414907	9.72577060269768	8.94774347955387	11.2231400973626	15.9659025301903	16.3184243959282	14.0946970330921	13.0574109231653	10.8624299616104	9.11570796948808	11.9078364141718	6.99021345762026	10.2164876810018	1.37208775879097e-16	0.254980190954726	1.83906604280269	0.428408542710778	1.13861471965527	-1.111867693447	-0.412478848613562	0.600536327303855	1.37919427732405	1.49514654922206	1.8143819632236	0.519553948342572	0.13790546028505	-0.575567740400626	-0.125280245849032	-0.337359085476973	0.287549864300556	0.423857142857143	1 
15000	-555.02292437141	-493.372638562444	-33.4001522898253	-13.2874793693895	2.11140085164688	6.34969054734388	8.58264622869345	9.70254994992771	9.65254720023909	8.94774347955387	11.2231400973626	15.9761714913033	17.1934130602753	14.4919346358385	12.9591497772748	10.8343451816849	9.11570796948808	10.4207072083393	7.43545475595214	9.22183195703863	1.95828293620136e-16	0.263632265291147	3.84429636855587	-0.244686398579946	0.445926984665128	-0.53430917698396	-0.412478848613562	0.600536327303855	1.16727689978012	1.84818197729934	1.20664337813971	1.26270635567045	-0.0359857180819117	-0.575567740400626	-0.00591321306447845	-0.319736912645987	-0.645517743561133	0.422666666666667	1 
16000	-564.464229740271	-497.269407274129	-31.2714109467673	-20.8139940322169	2.7326438233575	11.3176851590587	7.81439640250967	11.0172961672154	10.0984720003934	8.94774347955387	11.2231400973626	15.4888148915246	15.720533622325	13.3162906600764	12.2436980138296	12.2545986108209	9.14328818942794	11.1341797478354	7.77805474587462	10.2198974732465	1.03001954478699e-16	0.565477275236451	1.48422427112874	-0.496263679051676	-0.989180907875228	-0.858141477831751	-0.412478848613562	0.600536327303855	1.36770888489148	1.86668481425048	1.75209350443734	0.963774636405703	1.14601219432937	-0.975215014604629	-1.19712894875403	0.640345447473856	-0.178349415415745	0.42	1 
