iter	posterior	log.lik	prior.mean	prior.logvar	mean.sigma_sq	mean.root	mean_Certhidea_olivacea	mean_Platyspiza_crassirostris	mean_Pinaroloxias_inornata	mean_Geospiza_fuliginosa	mean_Geospiza_difficilis	mean_Geospiza_conirostris	mean_Geospiza_magnirostris	mean_Geospiza_scandens	mean_Geospiza_fortis	mean_Camarhynchus_heliobates	mean_Camarhynchus_pauper	mean_Camarhynchus_pallidus	mean_Camarhynchus_parvulus	mean_Camarhynchus_psittacula	logvar.alpha	logvar.sigma_sq	logvar.theta	logvar_Certhidea_olivacea	logvar_Platyspiza_crassirostris	logvar_Pinaroloxias_inornata	logvar_Geospiza_fuliginosa	logvar_Geospiza_difficilis	logvar_Geospiza_conirostris	logvar_Geospiza_magnirostris	logvar_Geospiza_scandens	logvar_Geospiza_fortis	logvar_Camarhynchus_heliobates	logvar_Camarhynchus_pauper	logvar_Camarhynchus_pallidus	logvar_Camarhynchus_parvulus	logvar_Camarhynchus_psittacula	acc	temperature 
1000	-414.938047489707	-344.602428895443	-34.4383121248251	-23.6887073417844	5.12606265661804	10.0417208772942	3.425	6.74444444444444	4.16	5.80625	6.53877551020408	9.0125	12.69375	6.95882352941176	8.7625	5.1	5.175	5.2	4.26666666666667	5.71428571428571	0.00848574264992647	1.4257566483607	-3.2825845631195	-1.67207348342559	-0.733390638760911	-3.41124771751565	-0.430847020711214	-0.849527450303695	0.596544499168528	1.20495981706856	0.477831368283362	0.244644082760212	-3.40119738166216	-2.21487951257494	-0.809680996815897	-1.86648301542399	-1.68868728408824	0.427	1 
2000	-416.334503609349	-348.610522351973	-31.3316229180587	-23.4324263067965	2.9298209289708	3.86716280914903	3.425	6.74444444444444	4.16	5.80625	6.53877551020408	9.6060169092339	12.3697969027808	6.99479721407587	8.7625	5.19178871333248	5.175	5.2	4.26666666666667	5.65682517731446	6.90404022288815e-08	1.13287544009743	-4.89368121388871	-1.67207348342559	-0.733390638760911	-3.41124771751565	-0.430847020711214	-0.849527450303695	0.345090959795434	0.991302392844559	0.880489253021706	0.244644082760212	-3.65637837271634	-2.21487951257494	-0.809680996815897	-1.86648301542399	-1.5671201084649	0.4375	1 
3000	-422.79810299864	-353.718254605321	-30.6672253301455	-24.1715349829335	3.74608980970411	5.74276687553153	3.425	6.74444444444444	4.16	5.83869030350112	6.53877551020408	9.6060169092339	11.6606656738841	7.36449001434628	8.79098152291449	5.13611027938065	4.86560563953629	5.2	4.26666666666667	5.65682517731446	7.20636795142232e-13	1.09175065623371	-3.24173704994663	-1.67207348342559	-0.733390638760911	-3.41124771751565	0.277791495522745	-0.849527450303695	0.345090959795434	1.54580487110389	0.406018604392781	0.0482691303916802	-3.67173629803477	-2.05749024029316	-0.809680996815897	-1.86648301542399	-1.5671201084649	0.430666666666667	1 
4000	-423.139258870693	-353.486295466692	-32.0537628356253	-22.8109568857926	2.09009967445363	0.602169125209775	3.30993259126018	6.74444444444444	4.33573854049612	5.7189164457602	6.54513911972076	9.09312007592169	11.6606656738841	6.8405859943624	8.79098152291449	4.98219941615632	5.0386491956594	4.90898727984611	4.229656620596	5.65682517731446	1.35452125626983e-16	0.615930092291204	-2.31850531772426	-2.09060439395438	-0.733390638760911	-2.85305247256088	-0.380673747674382	-0.982167571186043	0.612404877007207	1.54580487110389	0.90720724694305	0.0482691303916802	-3.56395919323978	-2.51456290654848	-1.16344576897221	-1.94100044572731	-1.5671201084649	0.43075	1 
5000	-421.105042438674	-352.397627421917	-30.8217263538016	-23.1310306434962	1.89986368753768	4.35762043447564	3.30993259126018	6.74444444444444	4.33573854049612	5.7189164457602	6.54513911972076	9.06927513951163	12.0409584461215	7.15810671076425	8.79098152291449	5.16666305870787	5.34260788522325	5.0942134754249	4.229656620596	5.65682517731446	1.74047735909459e-16	0.912291888848224	-1.45620391336883	-2.09060439395438	-0.733390638760911	-2.85305247256088	-0.380673747674382	-0.982167571186043	0.19400979003238	1.52783949630094	0.758984730567317	0.0482691303916802	-2.92805618857038	-1.22776203726583	-1.15216922467911	-1.94100044572731	-1.5671201084649	0.42	1 
6000	-430.29534101769	-362.653145520952	-30.5728109152614	-22.3293802384762	1.59110064646094	4.71483726612589	3.43543368475837	6.45678806257332	4.04572965237289	5.6161044650029	6.54513911972076	9.08729167546416	11.6616145805031	7.0124636583612	9.12939714375872	5.16666305870787	5.0291521074301	4.5874064116539	4.15350437044214	5.75887546434724	1.176226138292e-16	0.793313707048482	-0.955951343457188	-2.02657967443426	-0.755209529082087	-3.45446794450893	0.424916803903793	-0.982167571186043	0.124095276492091	0.821216529190048	0.89216538627503	0.121174508261047	-2.92805618857038	-1.35766482884547	-0.990258645826038	-0.716797488030592	-1.74098374500118	0.4125	1 
7000	-425.412778362148	-355.969009055743	-33.0530849083419	-21.241873128217	4.26550448730805	9.38823841919656	3.43543368475837	6.60279777770145	4.04572965237289	6.15074443046719	6.54513911972076	9.18455866655502	12.2049473020175	7.0124636583612	8.95125991470786	5.12699118674222	5.11171766729724	5.25104798218053	4.24636240449056	5.75887546434724	1.38496678841388e-16	0.587654295172582	1.52322341373502	-2.02657967443426	-0.633558622799113	-3.45446794450893	-0.0704764591054653	-0.982167571186043	0.206907165403797	0.932333390470639	0.89216538627503	-0.27755448034564	-2.81299576376044	-1.02301532725154	-1.86819232138516	-1.21447761605125	-1.74098374500118	0.407285714285714	1 
8000	-426.656591619306	-355.795825542809	-31.8897821399393	-23.8776916897328	3.4154946694342	5.94206725647978	3.62066263484532	6.60279777770145	4.1366757463142	5.98445962149725	6.54513911972076	8.63255493730501	12.2049473020175	7.05512441033835	8.95125991470786	5.12699118674222	5.11171766729724	5.33159132795434	4.34508278737854	5.62235032762563	6.29098725251417e-17	0.822456990365168	-2.00736974330733	-1.72523244151056	-0.633558622799113	-4.11538699567804	-0.25961504515002	-0.982167571186043	0.407661034361024	0.932333390470639	0.307178737210898	-0.27755448034564	-2.81299576376044	-1.02301532725154	-2.10200153777929	-1.83152306318871	-1.12145093304006	0.403	1 
9000	-426.49402578024	-354.197461514555	-32.5247489374445	-24.6633221975814	3.43745583397534	1.09253960888931	3.50117713438729	6.76864416680845	4.1366757463142	5.98445962149725	6.54513911972076	9.57744035127434	12.2944009840316	6.97588958683632	9.0827837205383	5.12699118674222	5.11171766729724	5.33159132795434	4.34508278737854	5.76440473097421	6.24333486818281e-17	0.945737591158211	-4.50304353034668	-1.96849979796361	-0.899672182944883	-4.11538699567804	-0.25961504515002	-0.982167571186043	1.07634675100008	0.896435914854873	0.420329520365953	0.231896896268183	-2.81299576376044	-1.02301532725154	-2.10200153777929	-1.83152306318871	-1.79173182713671	0.407222222222222	1 
10000	-431.26091410841	-361.337565129064	-31.2995056096252	-23.6976168070648	2.63651577136966	5.12028690548091	3.28071431979006	6.76864416680845	4.31044762666658	5.54610491547915	6.54513911972076	9.49942152294428	12.3498680639295	6.99641393150574	8.52616411211769	5.33986171869132	4.97271964520803	4.81435356187685	3.98735916233775	5.64328460426958	1.40248997782041e-16	1.24471736574753	0.0737254624593885	-2.2792908019774	-0.899672182944883	-3.15073881205157	-0.80226619254049	-0.982167571186043	0.54187392337627	1.81382715608869	0.00239824616366602	-0.113958903240481	-2.76384587251846	-1.30330587306776	-1.40639820712589	-1.91020092140059	-2.1085382223194	0.4021	1 
