iter	posterior	log.lik	prior.mean	prior.logvar	mean.sigma_sq	mean.root	mean_Certhidea_olivacea	mean_Platyspiza_crassirostris	mean_Pinaroloxias_inornata	mean_Geospiza_fuliginosa	mean_Geospiza_difficilis	mean_Geospiza_conirostris	mean_Geospiza_magnirostris	mean_Geospiza_scandens	mean_Geospiza_fortis	mean_Camarhynchus_heliobates	mean_Camarhynchus_pauper	mean_Camarhynchus_pallidus	mean_Camarhynchus_parvulus	mean_Camarhynchus_psittacula	logvar.alpha	logvar.sigma_sq	logvar.theta	logvar_Certhidea_olivacea	logvar_Platyspiza_crassirostris	logvar_Pinaroloxias_inornata	logvar_Geospiza_fuliginosa	logvar_Geospiza_difficilis	logvar_Geospiza_conirostris	logvar_Geospiza_magnirostris	logvar_Geospiza_scandens	logvar_Geospiza_fortis	logvar_Camarhynchus_heliobates	logvar_Camarhynchus_pauper	logvar_Camarhynchus_pallidus	logvar_Camarhynchus_parvulus	logvar_Camarhynchus_psittacula	acc	temperature 
1000	-197.456567896383	-120.949299485233	-39.1631829751436	-23.4650673198908	8.37131255149894	21.7785169506363	12.0625	17.31	14.46	12.7666666666667	15.1666666666667	22.1	23.8555555555556	20.3111111111111	18.0555555555556	17.2	14.55	17.2666666666667	11.3142857142857	14.6875	2.25872240768172e-06	1.22303172111972	-2.46798669940117	-1.3927436847998	-1.73411968978164	0.25696509978972	-0.411483180433727	-0.873470734691226	0.935112486114744	-0.0803668342709603	1.49707764694611	-0.449765367004743	-1.57664808961111	-1.59290861048289	-1.26348693185834	0.308534568610798	0.263325340947041	0.408	1 
2000	-199.185113821437	-122.181835199708	-38.2944612840417	-23.9079174402066	5.40126789314647	10.5348293788615	12.0625	17.31	14.0717426631125	12.7666666666667	15.1666666666667	22.098512506524	23.7938186901915	20.4511527295694	18.0555555555556	17.2	14.55	17.2500829902516	11.3022618147136	14.9145875761155	1.26265796974371e-12	1.48031449108084	-3.02925577444041	-1.3927436847998	-1.73411968978164	0.620229729795999	-0.411483180433727	-0.873470734691226	0.732063630758228	-0.137581663288347	1.47446940482668	-0.449765367004743	-1.57664808961111	-1.59290861048289	-0.865011244500771	0.537620034990288	0.0546149802984243	0.424	1 
3000	-203.459278740966	-124.862251527595	-37.6116278883256	-25.3777984442483	4.84734119008107	11.3976896751224	11.9568680039714	17.4465215508756	13.9760524271658	12.5811770209342	15.1666666666667	22.3430309250356	23.7938186901915	20.6283915289689	18.0555555555556	17.2	14.5120327268575	17.2662644537498	12.133656716742	14.6437047894507	2.14091863085646e-16	1.75861953264472	-0.758849143687793	-1.68597222361318	-1.81157274661563	0.855759583472018	-0.064964222023569	-0.873470734691226	0.753669695585979	-0.137581663288347	1.1871543473115	-0.449765367004743	-1.57664808961111	-1.64083199806001	-1.48795338935614	0.810302998492037	0.0728658782830359	0.425	1 
4000	-203.643374914297	-126.212528875976	-38.9280185742458	-22.5391457584765	6.31132953256388	18.8621771469603	11.9568680039714	17.3063589899892	14.9970309519945	12.5811770209342	15.1666666666667	21.8355030503181	23.7938186901915	20.8799612316508	18.0555555555556	17.2	14.5120327268575	17.2662644537498	10.4639106136975	14.4554273743124	2.69113324854401e-17	0.32346003310234	-0.212491624434031	-1.68597222361318	-1.57882129503629	1.25871115911257	-0.064964222023569	-0.873470734691226	0.935263685940158	-0.137581663288347	1.26132881147545	-0.449765367004743	-1.57664808961111	-1.64083199806001	-1.48795338935614	0.234574233366415	0.661216318752925	0.4145	1 
5000	-206.982662548376	-128.664540642498	-39.516916261966	-22.0957590778843	10.2437495564344	21.6906248169112	11.9568680039714	17.4362656603519	13.9177118101827	12.9817127227553	15.1666666666667	23.1463302832408	23.7938186901915	20.2174801407738	18.0555555555556	17.0023619503015	14.5120327268575	17.2662644537498	11.1888949856885	14.3992984850632	2.72416954705487e-17	0.285222338020942	-0.064708234415231	-1.68597222361318	-1.19162586892679	1.05635474302389	-0.192510078067362	-0.873470734691226	1.78788843894124	-0.137581663288347	0.974081238973803	-0.449765367004743	-1.21062297761521	-1.64083199806001	-1.48795338935614	-0.577022244714933	0.433694802282996	0.4048	1 
6000	-207.176067810685	-129.504158388714	-37.4326660246689	-24.4983094425429	5.15438896081382	13.4674749283447	11.9030830354628	17.4362656603519	14.7701868049997	13.1799125903645	15.1666666666667	22.0185961162326	23.7938186901915	20.9670221542129	18.0555555555556	17.3384227118552	14.5120327268575	17.2662644537498	11.5621819989208	14.594733441653	2.80438434480679e-17	0.564115594270182	-2.90445681602139	-1.3930306599999	-1.19162586892679	1.72103868450401	0.314143413866533	-0.873470734691226	2.15357428531115	-0.137581663288347	1.21376469635348	-0.449765367004743	-1.45626717973385	-1.64083199806001	-1.48795338935614	0.143352438572959	0.0294578365344823	0.407333333333333	1 
7000	-214.671107951047	-136.360251563144	-38.7536150677781	-22.9492387868288	10.0531354697989	15.3151957279455	11.9030830354628	17.5716916226593	13.5352285594247	12.6386656712877	15.6109157312934	22.7943226538408	23.8760519654032	20.2380375129185	17.8603042390516	17.6560097953486	14.5069066060486	17.4775934400633	11.114736662149	15.2873273334904	4.44334323334658e-17	0.435775456189085	0.32883709605025	-1.3930306599999	-1.97963549576841	1.01680536843675	-0.374431233988692	-0.731595539355973	1.87714936863242	0.698395641234274	0.712850667315627	-0.929270404907875	-1.25102349291156	-1.56177956830502	-1.18881399554247	0.0643774058205817	0.323082523700333	0.404714285714286	1 
8000	-212.152633596592	-138.496389935428	-37.5127544560279	-20.270805147448	6.29369674358534	12.7933333513803	11.8303931078219	17.5716916226593	14.272600201433	12.9602365252446	15.3513025888888	23.063895577912	23.4056823129479	21.4080024230723	17.825850967476	17.5023148483682	14.8500228326495	17.4260431420331	11.9721009672998	14.5096784171894	6.57332656333774e-17	0.310027900019925	-0.236164481556748	-1.68006125781559	-1.97963549576841	0.342572074412366	-0.135725416430002	-0.429085771826963	1.79673881352248	0.228162119681843	0.961676055437644	-0.60364065294399	-1.40459612051542	-1.07432334854509	-1.43808723183882	-0.581892070128942	-0.224665969358781	0.403	1 
9000	-207.694921467543	-133.266932729232	-38.6122582633318	-19.6042237631508	7.49423868654331	16.7430593524434	11.8303931078219	17.2408987142409	14.7041679780542	12.2641987443784	14.7957263356023	21.6449712697329	23.8116788915063	21.0267233285349	18.1586874027449	17.3216214878149	14.8943007980347	17.5813946002664	10.8496511772299	14.5096784171894	2.7442861133403e-17	0.178719061435034	-2.34904206950829	-1.68006125781559	-1.65234858973023	0.416999007146175	-0.0738989043831333	-0.394350976372972	1.29979920341842	-0.00597011353122841	1.05820459953508	-0.0719840439386297	-1.1777336956844	-1.11519455563415	-1.09161220444531	-0.651446592729326	-0.224665969358781	0.401333333333333	1 
10000	-210.217693029377	-137.531549443506	-37.3870376608177	-19.6484690479941	5.53428442453251	16.5462072877873	11.9319969706429	17.0551978933417	14.2616838348076	12.7536216647591	15.2461098629619	23.14110557913	23.09824779284	19.5426683297461	18.3576892291521	17.3216214878149	14.3417613857799	17.2335603243381	11.05673126248	14.3012918384937	1.37940902383796e-16	0.5700674988644	-1.1957747990916	-1.12753410757704	-1.41575759876361	-0.136793457152385	-0.188242860814109	0.230424705737344	0.723945663036028	0.393600614622361	1.08753503750433	0.0987840987322924	-1.1777336956844	-1.59687884605032	0.381515436220992	-0.23270088297855	0.528014586582029	0.4019	1 
