iter	posterior	m_anc_n1	m_anc_n2	m_anc_n3	m_anc_n4	m_anc_n5	m_anc_n6	m_anc_n7	m_anc_n8	m_anc_n9	logX_anc_n1	logX_anc_n2	logX_anc_n3	logX_anc_n4	logX_anc_n5	logX_anc_n6	logX_anc_n7	logX_anc_n8	logX_anc_n9	S_m1	S_m2	S_m3	S_m4	S_m5	S_m6	S_m7	S_m8	S_m9	S_m10	S_m11	S_m12	S_m13	S_m14	S_m15	S_m16	S_m17	S_m18	S_X1	S_X2	S_X3	S_X4	S_X5	S_X6	S_X7	S_X8	S_X9	S_X10	S_X11	S_X12	S_X13	S_X14	S_X15	S_X16	S_X17	S_X18	sigma^2_m	sigma^2_logX	nu	omega	log.lik	acc 
1	-304944.074530399	10	10.0494004566291	9.44057128514453	9.09884300625991	9.09425677273516	9.16186959261426	9.16571952379779	9.29026176773245	9.0394700634001	0.7	-0.725453770018721	-1.40043389769707	-4.65142198676517	-5.95757281033126	-2.67025749205194	-5.37442472189042	-2.20424446810561	-4.96311514874769	1	1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	1	1	-1	1	1	-1	1	1	-1	-1	-1	1	-1	-1	-1	0.001	0.001	0.9	0	-304883.325206494	1 
2	-415523.173455389	10	10.0385864152314	9.51721263098425	9.12538152346726	9.09201664066307	9.40450333612818	9.16394084617134	9.32276069477094	9.20397118211584	0.7	-0.715172991948255	-1.33506823634248	-4.36921545121156	-5.40097382028659	-1.85148996725452	-5.37333549444172	-2.19948460320327	-4.89529518220251	1	1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	1	1	-1	1	1	-1	1	1	-1	-1	-1	1	-1	-1	-1	0.001	0.001	0.9	0	-415462.395885162	1 
3	-477081.069342498	10	10.0475087931671	9.56338367203783	9.13817360899176	9.11366537640112	9.47717875352664	9.16693934544339	9.32660052805922	9.23384754560526	0.7	-0.712880655366155	-1.2846125627702	-4.27423391918504	-5.17140057856268	-1.78265081276566	-5.36943962464768	-2.21137216422651	-4.89553071096559	1	1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	1	1	-1	1	1	-1	1	1	-1	-1	-1	1	-1	-1	-1	0.001	0.001	0.9	0	-477020.251013724	1 
4	-497094.594534812	10	10.0510897201524	9.58159374925645	9.14405618264326	9.12410434173473	9.51005351114024	9.16656776793225	9.31257392973711	9.22632311048988	0.7	-0.727128675912202	-1.25642078784072	-4.2293177715415	-5.09299019920264	-1.73807555496766	-5.3676909132501	-2.2082480075688	-4.90033768425324	1	1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	1	1	-1	1	1	-1	1	1	-1	-1	-1	1	-1	-1	-1	0.001	0.001	0.9	0	-497033.759469213	1 
5	-505088.33636322	10	10.0451247509542	9.60818824124012	9.14660752179772	9.13723497079593	9.54296287430278	9.16838055440711	9.31302263733056	9.2221183009595	0.7	-0.726209092120549	-1.23115494967984	-4.21789172459083	-5.06579461413071	-1.71176352555891	-5.36644903150407	-2.20516618772411	-4.90130098115157	1	1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	1	1	-1	1	1	-1	1	1	-1	-1	-1	1	-1	-1	-1	0.001	0.001	0.9	0	-505027.485602023	1 
6	-506771.649309479	10	10.0354288210392	9.61410615100431	9.15588329085301	9.13220505466045	9.55132789488142	9.16578282816162	9.30099404739967	9.21417964273441	0.7	-0.732449976275749	-1.22402557879448	-4.21246751110803	-5.05846257406325	-1.68871713774704	-5.36739486190395	-2.20186960923032	-4.90433228074076	1	1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	1	1	-1	1	1	-1	1	1	-1	-1	-1	1	-1	-1	-1	0.001	0.001	0.9	0	-506710.80294035	1 
7	-509647.550484887	10	10.0236243183558	9.60788436135253	9.15618114267468	9.13880010937217	9.55109375273185	9.16471898679917	9.31185449866633	9.22437179522401	0.7	-0.698829740282937	-1.21894173625824	-4.21284003622532	-5.0496495627908	-1.68451111416633	-5.36875944582666	-2.21762218181053	-4.90209311560185	1	1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	1	1	-1	1	1	-1	1	1	-1	-1	-1	1	-1	-1	-1	0.001	0.001	0.9	0	-509586.715205226	1 
8	-508369.194012779	10	10.0451520480353	9.61924475444427	9.15281290428711	9.14460584567521	9.5578105362907	9.16896034504267	9.31702540555613	9.22190672642957	0.7	-0.723785299233705	-1.22344516553795	-4.2065724875192	-5.05085671969401	-1.68484458125341	-5.36716964912475	-2.20905465708922	-4.91001738920644	1	1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	1	1	-1	1	1	-1	1	1	-1	-1	-1	1	-1	-1	-1	0.001	0.001	0.9	0	-508308.333317292	1 
9	-511140.523972799	10	10.0358367606288	9.6230030396512	9.15586282093015	9.13478081075653	9.55287427817082	9.16530856711354	9.3080532344544	9.21797712259105	0.7	-0.708077434450946	-1.21679745728701	-4.20279253009366	-5.04085802093578	-1.67432156222496	-5.36577922885651	-2.19849233422581	-4.89905723435728	1	1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	1	1	-1	1	1	-1	1	1	-1	-1	-1	1	-1	-1	-1	0.001	0.001	0.9	0	-511079.672114978	1 
10	-509540.069052134	10	10.050025770716	9.62263207453763	9.15756134251931	9.14198909046243	9.56621366152269	9.16647282862928	9.32172671679833	9.2105590727794	0.7	-0.72476314386053	-1.21322397949355	-4.19659844410447	-5.04328085279203	-1.67891406697982	-5.36830949799953	-2.20720664449843	-4.89500464351161	1	1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	1	1	-1	1	1	-1	1	1	-1	-1	-1	1	-1	-1	-1	0.001	0.001	0.9	0	-509479.1994289	1 
