GBD_Specimen_ID,BirdLife_name,Jetz_taxo,"Source (Museum, Field)",Specimen_Ring.Number,Collector,Sex,Juv,Bill_TotalCulmen,Bill_Nares,Bill_Width,Bill_Depth,Subspecies,Measurer,Publication
Sporophila lineola_1,Sporophila lineola,Sporophila lineola,MPEG,14373,,F,,9.5,6,4.7,5.8,,BDK,
Sporophila lineola_2,Sporophila lineola,Sporophila lineola,MPEG,15079,,M,,10,5.8,4.5,5.3,,BDK,
Sporophila lineola_3,Sporophila lineola,Sporophila lineola,MPEG,18358,,M,,8.9,5.5,4.1,5.4,,BDK,
Sporophila lineola_4,Sporophila lineola,Sporophila lineola,MPEG,23571,,M,,9.3,5.7,4.9,5.7,,BDK,
Sporophila lineola_5,Sporophila lineola,Sporophila lineola,NHMUK,92.1.16.209,,M,,8.5,NA,4.6,5.9,lineola,GT,
Sporophila lineola_6,Sporophila lineola,Sporophila lineola,UFPE,41,,M,,7.2,NA,NA,6.4,,VL,
Sporophila lineola_7,Sporophila lineola,Sporophila lineola,UFPE,193,,M,,7.3,NA,NA,6.2,,VL,
Sporophila crassirostris_1,Sporophila crassirostris,Oryzoborus crassirostris,NHMUK,1869.5.25.136,,F,,15.8,10,8.5,11.6,,HM,
Sporophila crassirostris_10,Sporophila crassirostris,Oryzoborus crassirostris,Field sample,NA,,M,Adult,14.4,NA,9.5,12.4,,LJCS,Cardona-Salazar et al. 2020
Sporophila crassirostris_11,Sporophila crassirostris,Oryzoborus crassirostris,Field sample,NA,,M,Adult,12.2,NA,6.8,11,,LJCS,Cardona-Salazar et al. 2020
Sporophila crassirostris_12,Sporophila crassirostris,Oryzoborus crassirostris,Field sample,NA,,F,Adult,13.7,NA,6.6,9.6,,LJCS,Cardona-Salazar et al. 2020
Sporophila crassirostris_13,Sporophila crassirostris,Oryzoborus crassirostris,Field sample,NA,,F,Adult,13.4,NA,7.6,10.4,,LJCS,Cardona-Salazar et al. 2020
Sporophila crassirostris_2,Sporophila crassirostris,Oryzoborus crassirostris,NHMUK,1885.12.14.353,,M,,15.5,9.8,7.4,11,,HM,
Sporophila crassirostris_3,Sporophila crassirostris,Oryzoborus crassirostris,NHMUK,1885.2.10.88,,F,,16.9,10,7.4,11.1,,HM,
Sporophila crassirostris_4,Sporophila crassirostris,Oryzoborus crassirostris,NHMUK,1885.2.10.90,,M,,16.4,10.8,8.8,12.3,,HM,
Sporophila crassirostris_5,Sporophila crassirostris,Oryzoborus crassirostris,NHMUK,85.12.14.349,,M,,17.3,NA,10.5,13.1,crassirostris,GT,
Sporophila crassirostris_6,Sporophila crassirostris,Oryzoborus crassirostris,Field sample,NA,,U,Inmature,14.4,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila crassirostris_7,Sporophila crassirostris,Oryzoborus crassirostris,Field sample,NA,,U,Adult,14.8,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila crassirostris_8,Sporophila crassirostris,Oryzoborus crassirostris,Field sample,NA,,F,Adult,17.8,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila crassirostris_9,Sporophila crassirostris,Oryzoborus crassirostris,Field sample,NA,,F,Adult,18,NA,9.7,12.6,,LJCS,Cardona-Salazar et al. 2020
Sporophila atrirostris_1,Sporophila atrirostris,Oryzoborus atrirostris,AMNH,168065,,M,,18.9,13.1,10.1,13.8,,CS,
Sporophila maximiliani_1,Sporophila maximiliani,Oryzoborus maximiliani,LSUMZ,83541,,M,,18.7,11.7,14.4,17.5,,DS,
Sporophila maximiliani_2,Sporophila maximiliani,Oryzoborus maximiliani,NHMUK,1885.12.14.348,,M,,17.6,14.6,10.1,14.5,,TB,
Sporophila maximiliani_3,Sporophila maximiliani,Oryzoborus maximiliani,NHMUK,1885.2.10.84,,M,,14.9,12.6,9.5,13.7,,TB,
Sporophila maximiliani_4,Sporophila maximiliani,Oryzoborus maximiliani,NHMUK,1885.2.10.85,,F,,17.9,12.6,8.9,13.1,,TB,
Sporophila maximiliani_5,Sporophila maximiliani,Oryzoborus maximiliani,NHMUK,85.12.14.348,,M,,18.6,NA,10.9,NA,maximiliani,GT,
Sporophila nuttingi_1,Sporophila nuttingi,Oryzoborus nuttingi,NHMUK,99.2.1.362,,M,,18.4,11.9,9.7,14.2,,JAT,
Sporophila nuttingi_2,Sporophila nuttingi,Oryzoborus nuttingi,NHMUK,99.2.1.363,,F,,18.6,11.9,9.3,13.7,,JAT,
Sporophila nuttingi_3,Sporophila nuttingi,Oryzoborus nuttingi,NHMUK,99.2.1.364,,M,,19.8,12.8,10.5,15.3,,JAT,
Sporophila leucoptera_1,Sporophila leucoptera,Sporophila leucoptera,NHMUK,1885.12.14.536,,U,,14.3,8.2,7,8.7,Subspecies cinereola,HM,
Sporophila leucoptera_2,Sporophila leucoptera,Sporophila leucoptera,NHMUK,1885.12.14.538,,U,,13,8.8,7.2,9,Subspecies cinereola,HM,
Sporophila leucoptera_3,Sporophila leucoptera,Sporophila leucoptera,NHMUK,1885.2.10.135,,F,,14.8,7.2,6.8,8.3,Subspecies cinereola,HM,
Sporophila leucoptera_4,Sporophila leucoptera,Sporophila leucoptera,NHMUK,1885.2.10.196,,F,,13.6,8.5,6.1,8.8,Subspecies cinereola,HM,
Sporophila leucoptera_5,Sporophila leucoptera,Sporophila leucoptera,NHMUK,85.2.10.195,,M,,11.6,NA,6.6,8.8,cinereola,GT,
Sporophila leucoptera_6,Sporophila leucoptera,Sporophila leucoptera,UFPE,47,,M,,9.8,NA,NA,9.4,,VL,
Sporophila leucoptera_7,Sporophila leucoptera,Sporophila leucoptera,UFPE,252,,F,,9.6,NA,NA,8.7,,VL,
Sporophila leucoptera_8,Sporophila leucoptera,Sporophila leucoptera,UFPE,255,,M,,9.8,NA,NA,8.9,,VL,
Sporophila peruviana_1,Sporophila peruviana,Sporophila peruviana,NA,NA,,U,-,14,NA,NA,NA,,RR,Ricklefs 2017
Sporophila peruviana_2,Sporophila peruviana,Sporophila peruviana,NHMUK,1885.2.10.219,,M,,13,9,6.2,10.3,peruvianus,HM,
Sporophila peruviana_3,Sporophila peruviana,Sporophila peruviana,NHMUK,1885.2.10.220,,F,,12.1,8.2,6.6,9.9,peruvianus,HM,
Sporophila peruviana_4,Sporophila peruviana,Sporophila peruviana,NHMUK,1896.10.6.264,,M,,12.8,7.8,6.3,9.5,peruvianus,HM,
Sporophila peruviana_5,Sporophila peruviana,Sporophila peruviana,NHMUK,1920.12.20.623,,F,,12.5,8.5,6.6,9.6,peruvianus,HM,
Sporophila peruviana_6,Sporophila peruviana,Sporophila peruviana,NHMUK,1920.12.20.628,,M,,12.8,NA,6.9,9.9,peruviana,GT,
Sporophila simplex_1,Sporophila simplex,Sporophila simplex,NHMUK,1920.12.20.523,,M,,10.8,NA,5.2,7.2,,GT,
Sporophila simplex_2,Sporophila simplex,Sporophila simplex,NHMUK,1920.12.20.527,,M,,10.5,7.1,4.8,7.3,,CS,
Sporophila simplex_3,Sporophila simplex,Sporophila simplex,NHMUK,1920.12.20.530,,F,,10.3,6.7,4.9,6.9,,CS,
Sporophila simplex_4,Sporophila simplex,Sporophila simplex,NHMUK,1920.12.20.539,,M,,13.3,7.1,5.4,6.7,,CS,
Sporophila simplex_5,Sporophila simplex,Sporophila simplex,NHMUK,1920.12.20.556,,F,,10.1,5.9,4.7,7.3,,CS,
Sporophila telasco_1,Sporophila telasco,Sporophila telasco,NA,NA,,U,-,10,NA,NA,NA,,RR,Ricklefs 2017
Sporophila telasco_2,Sporophila telasco,Sporophila telasco,NHMUK,1914.12.2.227,,M,,10.1,5.6,3.6,6.3,,CS,
Sporophila telasco_3,Sporophila telasco,Sporophila telasco,NHMUK,1920.12.20.560,,M,,10.2,7,4.1,6.8,,CS,
Sporophila telasco_4,Sporophila telasco,Sporophila telasco,NHMUK,1920.12.20.575,,F,,10.1,6.5,4.3,7.4,,CS,
Sporophila telasco_5,Sporophila telasco,Sporophila telasco,NHMUK,88.9.12.66,,M,,10.1,6.9,4.5,6.2,,CS,
Sporophila castaneiventris_1,Sporophila castaneiventris,Sporophila castaneiventris,NHMUK,1869.5.25.129,,M,,11,7.8,5.2,6.1,,HM,
Sporophila castaneiventris_2,Sporophila castaneiventris,Sporophila castaneiventris,NHMUK,1869.5.25.130,,F,,12.3,6.7,4.8,5.6,,HM,
Sporophila castaneiventris_3,Sporophila castaneiventris,Sporophila castaneiventris,NHMUK,1885.12.14.406,,F,,10,6.5,4.2,5.5,,HM,
Sporophila castaneiventris_4,Sporophila castaneiventris,Sporophila castaneiventris,NHMUK,1885.12.14.407,,M,,10.7,6.5,4.1,5.6,,HM,
Sporophila castaneiventris_5,Sporophila castaneiventris,Sporophila castaneiventris,NHMUK,69.5.25.129,,M,,9.6,NA,4.9,5.7,,GT,
Sporophila minuta_1,Sporophila minuta,Sporophila minuta,Field sample,A17194,CATIE mist-netting stations,F,,NA,7,5,6.5,,AMR,
Sporophila minuta_10,Sporophila minuta,Sporophila minuta,NHMUK,1922.3.5.3771,,M,,10.1,7.1,5.2,7.7,,PW,
Sporophila minuta_11,Sporophila minuta,Sporophila minuta,NHMUK,1922.3.5.3778,,M,,9.3,6.5,6.2,NA,,PW,
